Query ID;Query;Retrieved Passage ID;Document Title;Position;Cosine Similarity;Relevance Score;Hits@3;MRR@3;Precision@3
1;Wie aktiviert man George Pro ?;1;Get to know George Pro.txt;1996-2295;0.6476782641063636;1;1;1.0;1.0
1;Wie aktiviert man George Pro ?;2;Get to know George Pro.txt;1896-2192;0.6681900474110999;1;;;
1;Wie aktiviert man George Pro ?;3;Get to know George Pro.txt;1515-1811;0.6099587933038675;1;;;
2;Welche Funktionen bietet das Rechnungs-Management in ? eorge Pro ?;1;Get to know George Pro.txt;6887-7183;0.6406154655980076;1;1;1.0;1.0
2;Welche Funktionen bietet das Rechnungs-Management in ? eorge Pro ?;2;Get to know George Pro.txt;7087-7375;0.6360181532597033;1;;;
2;Welche Funktionen bietet das Rechnungs-Management in ? eorge Pro ?;3;Get to know George Pro.txt;6984-7279;0.6254919685168475;1;;;
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro ?;1;Get to know George Pro.txt;10705-11002;0.6209122529298696;1;1;1.0;1.0
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro ?;2;Get to know George Pro.txt;10530-10825;0.6522603519703001;1;;;
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro ?;3;Get to know George Pro.txt;10903-11201;0.6185277764833473;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen ?;1;Export Your Search Results.txt;267-564;0.5317590796171822;0;0;0.0;0.0
4;Wie funktioniert der Export von Transaktionen und Rechnungen ?;2;Get to know George Pro.txt;12813-13110;0.5187300010835686;0;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen ?;3;Export Your Search Results.txt;365-661;0.536028313832193;0;;;
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt ewrden ?;1;Get to know George Pro.txt;13956-14255;0.6554926271520026;1;1;1.0;1.0
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt ewrden ?;2;Get to know George Pro.txt;14057-14353;0.6461230355675052;1;;;
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt ewrden ?;3;Get to know George Pro.txt;5624-5923;0.6248928971886965;1;;;
6;Aktivierung von George Pro Schritt-für-Schritt;1;Get to know George Pro.txt;1896-2192;0.6475884081226311;1;1;1.0;1.0
6;Aktivierung von George Pro Schritt-für-Schritt;2;Get to know George Pro.txt;1996-2295;0.6169800144693642;1;;;
6;Aktivierung von George Pro Schritt-für-Schritt;3;Get to know George Pro.txt;1515-1811;0.6076385069733212;1;;;
7;Automatischer Rechnungsabgleich mit George Pro;1;Get to know George Pro.txt;7178-7470;0.6219585444927072;1;1;1.0;0.6666666666666666
7;Automatischer Rechnungsabgleich mit George Pro;2;Get to know George Pro.txt;8326-8622;0.5977005577121707;0;;;
7;Automatischer Rechnungsabgleich mit George Pro;3;Get to know George Pro.txt;8148-8447;0.6069801212662937;1;;;
8;Liquditätsprognose in George Pro Funktionen;1;Get to know George Pro.txt;12472-12771;0.6729601682650685;1;1;1.0;1.0
8;Liquditätsprognose in George Pro Funktionen;2;Get to know George Pro.txt;12374-12669;0.6648061926357056;1;;;
8;Liquditätsprognose in George Pro Funktionen;3;Get to know George Pro.txt;10903-11201;0.6263279243674785;1;;;
9;ExportfunktionGeorgeProBuchhaltungsdaten;1;Get to know George Pro.txt;12616-12909;0.652306290912278;1;1;1.0;1.0
9;ExportfunktionGeorgeProBuchhaltungsdaten;2;Get to know George Pro.txt;713-1008;0.664202544486463;1;;;
9;ExportfunktionGeorgeProBuchhaltungsdaten;3;Get to know George Pro.txt;13016-13311;0.6204998944997402;1;;;
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;1;Get to know George Pro.txt;13956-14255;0.5956790777591623;0;0;0.0;0.0
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;2;Get to know George Pro.txt;14162-14452;0.5923045088132202;0;;;
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;3;Get to know George Pro.txt;13212-13506;0.533660724160212;0;;;
11;Geroge Benachrichtigungen aktivieren;1;How and Where You Receive Notifications.txt;1199-1498;0.5720022405830165;0;0;0.0;0.0
11;Geroge Benachrichtigungen aktivieren;2;How and Where You Receive Notifications.txt;2623-2918;0.5888255089352714;0;;;
11;Geroge Benachrichtigungen aktivieren;3;How and Where You Receive Notifications.txt;2723-3018;0.5840875369072311;0;;;
12;Push-Benachrichtigugen Themenauswahl;1;How and Where You Receive Notifications.txt;1348-1639;0.5687059822055124;0;0;0.0;0.0
12;Push-Benachrichtigugen Themenauswahl;2;Credit Card Notifications from George.txt;2377-2674;0.5343364369219218;0;;;
12;Push-Benachrichtigugen Themenauswahl;3;General Bank Messages.txt;1812-2108;0.5075658636227371;0;;;
13;eorge Konto Transaktionsbenachrichtigungen;1;How and Where You Receive Notifications.txt;2723-3018;0.6225113523600363;1;1;1.0;0.6666666666666666
13;eorge Konto Transaktionsbenachrichtigungen;2;How and Where You Receive Notifications.txt;1793-2091;0.5917326422478735;0;;;
13;eorge Konto Transaktionsbenachrichtigungen;3;How and Where You Receive Notifications.txt;3619-3891;0.6181790397128231;1;;;
14;BenachrichtigungeninSystemeinstellungenaktivieren;1;Credit Card Notifications from George.txt;2771-3070;0.5970942948811959;0;0;0.0;0.0
14;BenachrichtigungeninSystemeinstellungenaktivieren;2;How and Where You Receive Notifications.txt;1613-1887;0.5785354011565816;0;;;
14;BenachrichtigungeninSystemeinstellungenaktivieren;3;How and Where You Receive Notifications.txt;2623-2918;0.562770229803283;0;;;
15;Benachrichtigung bei Währnugsumrechnung George;1;How and Where You Receive Notifications.txt;1793-2091;0.5922814337835869;0;0;0.0;0.0
15;Benachrichtigung bei Währnugsumrechnung George;2;How and Where You Receive Notifications.txt;3074-3365;0.5997117661477358;0;;;
15;Benachrichtigung bei Währnugsumrechnung George;3;How and Where You Receive Notifications.txt;3261-3552;0.5860480559766311;0;;;
16;We aktiviere ich Benachrichtigungen in George ?;1;Credit Card Notifications from George.txt;1377-1673;0.6365306185789344;1;1;1.0;1.0
16;We aktiviere ich Benachrichtigungen in George ?;2;Credit Card Notifications from George.txt;2881-3180;0.6208436445187415;1;;;
16;We aktiviere ich Benachrichtigungen in George ?;3;Credit Card Notifications from George.txt;2771-3070;0.6239911921264973;1;;;
17;Benachrichtigungen über George einstellen;1;Credit Card Notifications from George.txt;4619-4916;0.5689427644367311;0;0;0.0;0.0
17;Benachrichtigungen über George einstellen;2;Account Settings.txt;2835-3130;0.564531502222131;0;;;
17;Benachrichtigungen über George einstellen;3;Credit Card Notifications from George.txt;2279-2574;0.5402623943653844;0;;;
18;Für welcöhe Themen kann man Benachrichtigungen in George erhalten ?;1;General Bank Messages.txt;1613-1910;0.6038647517850417;1;1;1.0;0.6666666666666666
18;Für welcöhe Themen kann man Benachrichtigungen in George erhalten ?;2;How and Where You Receive Notifications.txt;2872-3170;0.601289217781485;1;;;
18;Für welcöhe Themen kann man Benachrichtigungen in George erhalten ?;3;How and Where You Receive Notifications.txt;1199-1498;0.5854163285180984;0;;;
19;"Benachrichtigungsthemen bei ; George bearbeiten";1;Account Settings.txt;2835-3130;0.6465381809635262;1;1;1.0;1.0
19;"Benachrichtigungsthemen bei ; George bearbeiten";2;General Bank Messages.txt;1712-2010;0.6508918773735299;1;;;
19;"Benachrichtigungsthemen bei ; George bearbeiten";3;General Bank Messages.txt;1613-1910;0.6608884355088589;1;;;
20;Wie informiert George über Kontobewegungen ?;1;How and Where You Receive Notifications.txt;2972-3271;0.6335224409204192;1;1;1.0;1.0
20;Wie informiert George über Kontobewegungen ?;2;Account Settings.txt;2835-3130;0.6307676088001645;1;;;
20;Wie informiert George über Kontobewegungen ?;3;How and Where You Receive Notifications.txt;1793-2091;0.6035397051618233;1;;;
21;George Push bi Transaktionen;1;How and Where You Receive Notifications.txt;1441-1736;0.5150154689096538;0;0;0.0;0.0
21;George Push bi Transaktionen;2;How to Search & Find Transactions with George.txt;3299-3598;0.5002890738080694;0;;;
21;George Push bi Transaktionen;3;Quick search with Filters.txt;865-1164;0.5380845439580311;0;;;
22;Systemeinstellungen für Benachrichtigungen aktivieren;1;Credit Card Notifications from George.txt;2771-3070;0.5801163677493657;0;0;0.0;0.0
22;Systemeinstellungen für Benachrichtigungen aktivieren;2;How and Where You Receive Notifications.txt;2623-2918;0.541347777131841;0;;;
22;Systemeinstellungen für Benachrichtigungen aktivieren;3;How and Where You Receive Notifications.txt;1613-1887;0.5515755666952468;0;;;
23;George Benachrichtigungen im Handy atkivieren;1;Credit Card Notifications from George.txt;4619-4916;0.6095410577362278;1;1;1.0;0.3333333333333333
23;George Benachrichtigungen im Handy atkivieren;2;Credit Card Notifications from George.txt;1377-1673;0.5832013213240488;0;;;
23;George Benachrichtigungen im Handy atkivieren;3;Credit Card Notifications from George.txt;5498-5797;0.5751356062423476;0;;;
24;George Benachrichtigung bei Kartenzahlung mit Fremdwährung;1;How and Where You Receive Notifications.txt;3261-3552;0.6638052101644025;1;1;1.0;1.0
24;George Benachrichtigung bei Kartenzahlung mit Fremdwährung;2;How and Where You Receive Notifications.txt;3167-3459;0.6700219681852011;1;;;
24;George Benachrichtigung bei Kartenzahlung mit Fremdwährung;3;How and Where You Receive Notifications.txt;2034-2332;0.6675559778034372;1;;;
25;Push bei Währungsum ? echnung aktivieren;1;Credit Card Notifications from George.txt;467-758;0.5444304599194603;0;0;0.0;0.0
25;Push bei Währungsum ? echnung aktivieren;2;Credit Card Notifications from George.txt;2166-2465;0.5750304377947815;0;;;
25;Push bei Währungsum ? echnung aktivieren;3;How and Where You Receive Notifications.txt;1199-1498;0.5499513580693908;0;;;
26;Wie kann man das App-Symbol in der George App ändern ?;1;How to Change Your App Icon.txt;0-300;0.6801681264159505;1;1;1.0;0.6666666666666666
26;Wie kann man das App-Symbol in der George App ändern ?;2;How to Change Your App Icon.txt;167-460;0.62703536446695;1;;;
26;Wie kann man das App-Symbol in der George App ändern ?;3;How to Change Your App Icon.txt;262-557;0.5927876095824602;0;;;
27;Welche Farboptionen stehen beim Ändern des App-Symobls zur Verfügung ?;1;How to Change Your App Icon.txt;781-1080;0.5755279390754144;0;0;0.0;0.0
27;Welche Farboptionen stehen beim Ändern des App-Symobls zur Verfügung ?;2;How to Change Your App Icon.txt;978-1274;0.5717468354206202;0;;;
27;Welche Farboptionen stehen beim Ändern des App-Symobls zur Verfügung ?;3;How to Change Your App Icon.txt;167-460;0.523292083888361;0;;;
28;Ist das Ändern des App-Symbols auch an Android möglich ?;1;How to Change Your App Icon.txt;558-853;0.6281226627574825;1;1;1.0;0.3333333333333333
