Query ID;Query;Retrieved Passage ID;Document Title;Position;Cosine Similarity;Relevance Score;Hits@3;MRR@3;Precision@3
1;Wi aktiviert man Gorege Pro ?;1;Get to know George Pro.txt;4241-4538;0.5194133950420661;0;0;0.0;0.0
1;Wi aktiviert man Gorege Pro ?;2;Get to know George Pro.txt;1520-1814;0.5023488802571481;0;;;
1;Wi aktiviert man Gorege Pro ?;3;Get to know George Pro.txt;2687-2980;0.4871674425183118;0;;;
2;Welche Funktionen bietet das Rechnuns-Management in Gesorge Pro ?;1;Get to know George Pro.txt;6981-7279;0.5998055216001275;0;1;0.3333333333333333;0.3333333333333333
2;Welche Funktionen bietet das Rechnuns-Management in Gesorge Pro ?;2;Get to know George Pro.txt;6881-7178;0.5972087607155738;0;;;
2;Welche Funktionen bietet das Rechnuns-Management in Gesorge Pro ?;3;Get to know George Pro.txt;912-1207;0.6237982849316647;1;;;
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro;1;Get to know George Pro.txt;10906-11199;0.6478246228879709;1;1;1.0;1.0
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro;2;Get to know George Pro.txt;10524-10818;0.6494727363232922;1;;;
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro;3;Get to know George Pro.txt;10699-10998;0.6139782756114711;1;;;
4;WiefunktioniertderExportvonTransaktionenundRechnungen ?;1;Export Your Search Results.txt;269-566;0.555999649094421;0;0;0.0;0.0
4;WiefunktioniertderExportvonTransaktionenundRechnungen ?;2;Export Your Search Results.txt;367-664;0.5496231673599858;0;;;
4;WiefunktioniertderExportvonTransaktionenundRechnungen ?;3;Get to know George Pro.txt;12809-13106;0.5405317235993137;0;;;
5;nWofür können Labels und Geschäftskontakte in George Pro genutzt werden ?;1;Get to know George Pro.txt;13963-14260;0.6661741806682957;1;1;1.0;1.0
5;nWofür können Labels und Geschäftskontakte in George Pro genutzt werden ?;2;Get to know George Pro.txt;14067-14364;0.6529763334675783;1;;;
5;nWofür können Labels und Geschäftskontakte in George Pro genutzt werden ?;3;Get to know George Pro.txt;5617-5915;0.6366266963547468;1;;;
6;Aktivieurng von George Pro Schritt-für-Schritt;1;Get to know George Pro.txt;2687-2980;0.6357453606663499;1;1;1.0;1.0
6;Aktivieurng von George Pro Schritt-für-Schritt;2;Get to know George Pro.txt;811-1107;0.6718977359599834;1;;;
6;Aktivieurng von George Pro Schritt-für-Schritt;3;Get to know George Pro.txt;2289-2587;0.6305653517866956;1;;;
7;Automatischer Rechnungsabgleich mit George Pro;1;Get to know George Pro.txt;7173-7465;0.6180925433797496;1;1;1.0;0.6666666666666666
7;Automatischer Rechnungsabgleich mit George Pro;2;Get to know George Pro.txt;8140-8437;0.580912331314561;0;;;
7;Automatischer Rechnungsabgleich mit George Pro;3;Get to know George Pro.txt;10013-10309;0.6003164955900712;1;;;
8;Liquditätsprognose in Georhge Pro Funktionen;1;Get to know George Pro.txt;12382-12681;0.6437419679658567;1;1;1.0;1.0
8;Liquditätsprognose in Georhge Pro Funktionen;2;Get to know George Pro.txt;10799-11098;0.6187556458587131;1;;;
8;Liquditätsprognose in Georhge Pro Funktionen;3;Get to know George Pro.txt;11004-11296;0.6319085220116989;1;;;
9;ExportfunktonGeorgeProBuchhaltungsdaten;1;Get to know George Pro.txt;717-1009;0.6317565083808985;1;1;1.0;1.0
9;ExportfunktonGeorgeProBuchhaltungsdaten;2;Get to know George Pro.txt;12611-12905;0.611197948204087;1;;;
9;ExportfunktonGeorgeProBuchhaltungsdaten;3;Get to know George Pro.txt;12709-13007;0.610975634141274;1;;;
10;Ntuzung von Label_ und Kontakten für Geschäftsvorgänge;1;Get to know George Pro.txt;13963-14260;0.6261101037800132;1;1;1.0;0.3333333333333333
10;Ntuzung von Label_ und Kontakten für Geschäftsvorgänge;2;Get to know George Pro.txt;14173-14472;0.5979076971913141;0;;;
10;Ntuzung von Label_ und Kontakten für Geschäftsvorgänge;3;Get to know George Pro.txt;13208-13501;0.5749029882724912;0;;;
11;GergeBenachrichtigungenaktivieren;1;How and Where You Receive Notifications.txt;1197-1496;0.5572801979704658;0;0;0.0;0.0
11;GergeBenachrichtigungenaktivieren;2;Credit Card Notifications from George.txt;1276-1575;0.5703697605573904;0;;;
11;GergeBenachrichtigungenaktivieren;3;How and Where You Receive Notifications.txt;2624-2923;0.561015167498031;0;;;
12;Push-Benachrichtigunvgen Themenauswahl;1;How and Where You Receive Notifications.txt;1346-1637;0.5518237289890041;0;0;0.0;0.0
12;Push-Benachrichtigunvgen Themenauswahl;2;Credit Card Notifications from George.txt;2380-2679;0.5262498211759743;0;;;
12;Push-Benachrichtigunvgen Themenauswahl;3;General Bank Messages.txt;1808-2106;0.5051740410001242;0;;;
13;Ggeorg Konto Transaktionsbenachrichtigungen;1;How and Where You Receive Notifications.txt;1790-2079;0.6317747427422751;1;1;1.0;1.0
