Query ID;Query;Retrieved Passage ID;Document Title;Position;Cosine Similarity;Relevance Score;Hits@3;MRR@3;Precision@3
1;Wi aktiviert man Gorege Pro ?;1;Get to know George Pro.txt;1965-2247;0.5375053372104651;1;1;1.0;1.0
1;Wi aktiviert man Gorege Pro ?;2;Get to know George Pro.txt;2717-3003;0.48525057038239106;1;;;
1;Wi aktiviert man Gorege Pro ?;3;Get to know George Pro.txt;2619-2913;0.4793455257502635;1;;;
2;Welche Funktionen bietet das Rechnuns-Management in Gesorge Pro ?;1;Get to know George Pro.txt;6840-7128;0.4794158358895263;1;1;1.0;1.0
2;Welche Funktionen bietet das Rechnuns-Management in Gesorge Pro ?;2;Get to know George Pro.txt;6930-7223;0.45002767583854936;1;;;
2;Welche Funktionen bietet das Rechnuns-Management in Gesorge Pro ?;3;Get to know George Pro.txt;5901-6171;0.4375934377289456;1;;;
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro;1;Get to know George Pro.txt;10672-10952;0.4950466433792348;1;1;1.0;1.0
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro;2;Get to know George Pro.txt;10499-10762;0.47513532985050977;1;;;
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro;3;Get to know George Pro.txt;10579-10850;0.4681038015383282;1;;;
4;WiefunktioniertderExportvonTransaktionenundRechnungen ?;1;What's the Difference between your Order List and your Transaction History?.txt;1853-2135;0.4383770483986206;1;1;1.0;1.0
4;WiefunktioniertderExportvonTransaktionenundRechnungen ?;2;What's the Difference between your Order List and your Transaction History?.txt;1249-1546;0.4336841668850774;1;;;
4;WiefunktioniertderExportvonTransaktionenundRechnungen ?;3;What's the Difference between your Order List and your Transaction History?.txt;985-1260;0.4254390948791479;1;;;
5;nWofür können Labels und Geschäftskontakte in George Pro genutzt werden ?;1;Get to know George Pro.txt;5524-5796;0.5516990532438879;1;1;1.0;1.0
5;nWofür können Labels und Geschäftskontakte in George Pro genutzt werden ?;2;Get to know George Pro.txt;13726-14013;0.5258420901037311;1;;;
5;nWofür können Labels und Geschäftskontakte in George Pro genutzt werden ?;3;Get to know George Pro.txt;4896-5184;0.5244394796443965;1;;;
6;Aktivieurng von George Pro Schritt-für-Schritt;1;Get to know George Pro.txt;2619-2913;0.6080214829635705;1;1;1.0;1.0
6;Aktivieurng von George Pro Schritt-für-Schritt;2;Get to know George Pro.txt;2524-2818;0.5897382940777967;1;;;
6;Aktivieurng von George Pro Schritt-für-Schritt;3;Get to know George Pro.txt;5636-5898;0.5892095542474856;1;;;
7;Automatischer Rechnungsabgleich mit George Pro;1;Get to know George Pro.txt;993-1291;0.5799329489206609;1;1;1.0;1.0
7;Automatischer Rechnungsabgleich mit George Pro;2;Get to know George Pro.txt;7038-7315;0.5767702323071004;1;;;
7;Automatischer Rechnungsabgleich mit George Pro;3;Get to know George Pro.txt;890-1155;0.5564755563208416;1;;;
8;Liquditätsprognose in Georhge Pro Funktionen;1;Get to know George Pro.txt;5797-6088;0.4256141679826876;1;1;1.0;1.0
8;Liquditätsprognose in Georhge Pro Funktionen;2;Get to know George Pro.txt;10672-10952;0.42214536113886664;1;;;
8;Liquditätsprognose in Georhge Pro Funktionen;3;Get to know George Pro.txt;3601-3894;0.41928245594682856;1;;;
9;ExportfunktonGeorgeProBuchhaltungsdaten;1;Get to know George Pro.txt;12437-12730;0.5111754892952038;1;1;1.0;1.0
9;ExportfunktonGeorgeProBuchhaltungsdaten;2;Get to know George Pro.txt;704-992;0.46281820218263436;1;;;
9;ExportfunktonGeorgeProBuchhaltungsdaten;3;Get to know George Pro.txt;993-1291;0.45096410967926404;1;;;
10;Ntuzung von Label_ und Kontakten für Geschäftsvorgänge;1;Get to know George Pro.txt;8643-8903;0.3901338823436836;0;0;0.0;0.0
10;Ntuzung von Label_ und Kontakten für Geschäftsvorgänge;2;Get to know George Pro.txt;13726-14013;0.3478654530025237;0;;;
10;Ntuzung von Label_ und Kontakten für Geschäftsvorgänge;3;Tips & Tricks for your Search.txt;760-1043;0.3336659560769798;0;;;
11;GergeBenachrichtigungenaktivieren;1;How and Where You Receive Notifications.txt;1063-1331;0.3679928374636079;0;0;0.0;0.0
11;GergeBenachrichtigungenaktivieren;2;Credit Card Notifications from George.txt;4735-5025;0.3582523661361354;0;;;
11;GergeBenachrichtigungenaktivieren;3;Credit Card Notifications from George.txt;1691-1983;0.33995080725923826;0;;;
12;Push-Benachrichtigunvgen Themenauswahl;1;How and Where You Receive Notifications.txt;1138-1436;0.3428965954189181;0;0;0.0;0.0
12;Push-Benachrichtigunvgen Themenauswahl;2;Credit Card Notifications from George.txt;2307-2589;0.32364719947528886;0;;;
12;Push-Benachrichtigunvgen Themenauswahl;3;How and Where You Receive Notifications.txt;1325-1587;0.32250400827666703;0;;;
13;Ggeorg Konto Transaktionsbenachrichtigungen;1;How and Where You Receive Notifications.txt;2921-3205;0.45935127553513055;1;1;1.0;1.0
13;Ggeorg Konto Transaktionsbenachrichtigungen;2;What's the Difference between your Order List and your Transaction History?.txt;527-806;0.4515166897510464;1;;;
13;Ggeorg Konto Transaktionsbenachrichtigungen;3;How and Where You Receive Notifications.txt;3396-3679;0.43554463237733987;1;;;
14;BenachrichtigungeninSystemeinstellungenaktivieren;1;How and Where You Receive Notifications.txt;1508-1776;0.4226140784325929;1;1;1.0;0.3333333333333333
14;BenachrichtigungeninSystemeinstellungenaktivieren;2;Credit Card Notifications from George.txt;4463-4734;0.3828269549946012;0;;;
14;BenachrichtigungeninSystemeinstellungenaktivieren;3;How and Where You Receive Notifications.txt;1394-1686;0.3822964753761398;0;;;
15;Benachrichtigung bei Währungsuumrechnung Georg;1;How and Where You Receive Notifications.txt;3024-3295;0.48493603173586924;1;1;1.0;1.0
15;Benachrichtigung bei Währungsuumrechnung Georg;2;Credit Card Notifications from George.txt;4065-4336;0.46201687675757536;1;;;
15;Benachrichtigung bei Währungsuumrechnung Georg;3;How and Where You Receive Notifications.txt;3396-3679;0.4438048279548328;1;;;
16;Wie aktiviere ih Benachrichtigungen in George;1;How and Where You Receive Notifications.txt;2627-2920;0.5664507637891298;1;1;1.0;1.0
16;Wie aktiviere ih Benachrichtigungen in George;2;How and Where You Receive Notifications.txt;1138-1436;0.5577801315172731;1;;;
16;Wie aktiviere ih Benachrichtigungen in George;3;How and Where You Receive Notifications.txt;314-604;0.5426284564441902;1;;;
17;enachrichtigungen über George einstllen;1;Credit Card Notifications from George.txt;1258-1542;0.47527542989215044;1;1;1.0;1.0
17;enachrichtigungen über George einstllen;2;Get to know George Pro.txt;4405-4678;0.42647067390578397;1;;;
