Query ID;Query;Retrieved Passage ID;Document Title;Position;Cosine Similarity;Relevance Score;Hits@3;MRR@3;Precision@3
1;Wie aktiviert man George Pro ?;1;Get to know George Pro.txt;2588-2883;0.6169214320537074;1;1;1.0;1.0
1;Wie aktiviert man George Pro ?;2;Get to know George Pro.txt;2685-2978;0.607139565495121;1;;;
1;Wie aktiviert man George Pro ?;3;Get to know George Pro.txt;1896-2192;0.6035515714399097;1;;;
2;Welche Funktionen bietet das Rechnungs-Management in ? eorge Pro ?;1;Get to know George Pro.txt;7087-7375;0.5417415958467566;1;1;1.0;1.0
2;Welche Funktionen bietet das Rechnungs-Management in ? eorge Pro ?;2;Get to know George Pro.txt;6984-7279;0.5134963209524415;1;;;
2;Welche Funktionen bietet das Rechnungs-Management in ? eorge Pro ?;3;Get to know George Pro.txt;6887-7183;0.5018867956763171;1;;;
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro ?;1;Get to know George Pro.txt;10903-11201;0.531884999525236;1;1;1.0;1.0
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro ?;2;Get to know George Pro.txt;10805-11098;0.5164200341256786;1;;;
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro ?;3;Get to know George Pro.txt;10705-11002;0.5075519356516134;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen ?;1;What's the Difference between your Order List and your Transaction History?.txt;1226-1523;0.4596351271410988;1;1;1.0;1.0
4;Wie funktioniert der Export von Transaktionen und Rechnungen ?;2;What's the Difference between your Order List and your Transaction History?.txt;1879-2178;0.43318084531903744;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen ?;3;What's the Difference between your Order List and your Transaction History?.txt;454-745;0.41157861870679785;1;;;
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt ewrden ?;1;Get to know George Pro.txt;5624-5923;0.6072033573974871;1;1;1.0;1.0
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt ewrden ?;2;Get to know George Pro.txt;4944-5241;0.537143279353093;1;;;
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt ewrden ?;3;Get to know George Pro.txt;5726-6018;0.5339086790003365;1;;;
6;Aktivierung von George Pro Schritt-für-Schritt;1;Get to know George Pro.txt;2588-2883;0.6257141124688487;1;1;1.0;1.0
6;Aktivierung von George Pro Schritt-für-Schritt;2;Get to know George Pro.txt;1896-2192;0.6090958459645792;1;;;
6;Aktivierung von George Pro Schritt-für-Schritt;3;Get to know George Pro.txt;2486-2782;0.6073429799466368;1;;;
7;Automatischer Rechnungsabgleich mit George Pro;1;Get to know George Pro.txt;7178-7470;0.5494460695796949;1;1;1.0;1.0
7;Automatischer Rechnungsabgleich mit George Pro;2;Get to know George Pro.txt;4044-4341;0.5430220463256594;1;;;
7;Automatischer Rechnungsabgleich mit George Pro;3;Get to know George Pro.txt;911-1210;0.5375203613037217;1;;;
8;Liquditätsprognose in George Pro Funktionen;1;Get to know George Pro.txt;4444-4741;0.5972047600471382;1;1;1.0;1.0
8;Liquditätsprognose in George Pro Funktionen;2;Get to know George Pro.txt;4254-4551;0.5489194831526812;1;;;
8;Liquditätsprognose in George Pro Funktionen;3;Get to know George Pro.txt;4044-4341;0.5458377089920596;1;;;
9;ExportfunktionGeorgeProBuchhaltungsdaten;1;Get to know George Pro.txt;911-1210;0.5173010956184757;1;1;1.0;1.0
9;ExportfunktionGeorgeProBuchhaltungsdaten;2;Get to know George Pro.txt;545-841;0.48030761224160856;1;;;
9;ExportfunktionGeorgeProBuchhaltungsdaten;3;Get to know George Pro.txt;7087-7375;0.4588251757512213;1;;;
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;1;Your Savings Account Overview.txt;3203-3499;0.38472941620434065;0;0;0.0;0.0
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;2;Get to know George Pro.txt;13956-14255;0.38437935051432826;0;;;
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;3;Name your Accounts & Cards.txt;2329-2626;0.3543825755133436;0;;;
11;Geroge Benachrichtigungen aktivieren;1;How and Where You Receive Notifications.txt;1099-1398;0.4696859644566257;1;1;1.0;1.0
11;Geroge Benachrichtigungen aktivieren;2;Credit Card Notifications from George.txt;4804-5097;0.4005005401200299;1;;;
11;Geroge Benachrichtigungen aktivieren;3;Credit Card Notifications from George.txt;2771-3070;0.400044840494466;1;;;
12;Push-Benachrichtigugen Themenauswahl;1;How and Where You Receive Notifications.txt;1199-1498;0.3468826919491975;0;0;0.0;0.0
12;Push-Benachrichtigugen Themenauswahl;2;Credit Card Notifications from George.txt;3741-4037;0.33732357907706034;0;;;
12;Push-Benachrichtigugen Themenauswahl;3;How and Where You Receive Notifications.txt;1348-1639;0.32656042069405955;0;;;
13;eorge Konto Transaktionsbenachrichtigungen;1;How and Where You Receive Notifications.txt;2972-3271;0.4400295831512949;1;1;1.0;1.0
13;eorge Konto Transaktionsbenachrichtigungen;2;How and Where You Receive Notifications.txt;3167-3459;0.4294920919930425;1;;;
13;eorge Konto Transaktionsbenachrichtigungen;3;How and Where You Receive Notifications.txt;2034-2332;0.4277708702220132;1;;;
14;BenachrichtigungeninSystemeinstellungenaktivieren;1;How and Where You Receive Notifications.txt;1613-1887;0.47688023227651644;1;1;1.0;0.3333333333333333
14;BenachrichtigungeninSystemeinstellungenaktivieren;2;Credit Card Notifications from George.txt;2771-3070;0.3943005598486913;0;;;
14;BenachrichtigungeninSystemeinstellungenaktivieren;3;How and Where You Receive Notifications.txt;1542-1812;0.3930463447176328;0;;;
15;Benachrichtigung bei Währnugsumrechnung George;1;Credit Card Notifications from George.txt;5978-6273;0.48364657139962314;1;1;1.0;1.0
15;Benachrichtigung bei Währnugsumrechnung George;2;How and Where You Receive Notifications.txt;1793-2091;0.4806212869555824;1;;;
15;Benachrichtigung bei Währnugsumrechnung George;3;Credit Card Notifications from George.txt;1684-1982;0.45827362489593415;1;;;
16;We aktiviere ich Benachrichtigungen in George ?;1;Credit Card Notifications from George.txt;1278-1576;0.486404787793405;1;1;1.0;1.0
16;We aktiviere ich Benachrichtigungen in George ?;2;Credit Card Notifications from George.txt;1377-1673;0.4738695504872732;1;;;
16;We aktiviere ich Benachrichtigungen in George ?;3;Credit Card Notifications from George.txt;4619-4916;0.4708841884569478;1;;;
17;Benachrichtigungen über George einstellen;1;How and Where You Receive Notifications.txt;344-641;0.5504884358430107;1;1;1.0;1.0
17;Benachrichtigungen über George einstellen;2;How and Where You Receive Notifications.txt;443-742;0.5179680489630598;1;;;
17;Benachrichtigungen über George einstellen;3;Credit Card Notifications from George.txt;1278-1576;0.5148281726007606;1;;;
18;Für welcöhe Themen kann man Benachrichtigungen in George erhalten ?;1;How and Where You Receive Notifications.txt;1199-1498;0.6037748665255211;1;1;1.0;1.0
18;Für welcöhe Themen kann man Benachrichtigungen in George erhalten ?;2;How and Where You Receive Notifications.txt;2723-3018;0.5988078574312099;1;;;
18;Für welcöhe Themen kann man Benachrichtigungen in George erhalten ?;3;Credit Card Notifications from George.txt;752-1048;0.5543079235407746;1;;;
19;"Benachrichtigungsthemen bei ; George bearbeiten";1;How and Where You Receive Notifications.txt;555-852;0.479688679668409;1;1;1.0;1.0
19;"Benachrichtigungsthemen bei ; George bearbeiten";2;How and Where You Receive Notifications.txt;344-641;0.4693005026729948;1;;;
19;"Benachrichtigungsthemen bei ; George bearbeiten";3;Credit Card Notifications from George.txt;1278-1576;0.4651927278271407;1;;;
20;Wie informiert George über Kontobewegungen ?;1;How and Where You Receive Notifications.txt;2972-3271;0.5409053357124542;1;1;1.0;1.0
20;Wie informiert George über Kontobewegungen ?;2;How and Where You Receive Notifications.txt;3074-3365;0.5384450093511659;1;;;
20;Wie informiert George über Kontobewegungen ?;3;How and Where You Receive Notifications.txt;1793-2091;0.5335109986851245;1;;;
21;George Push bi Transaktionen;1;How to Search & Find Transactions with George.txt;904-1203;0.48036940787914223;1;1;1.0;1.0
21;George Push bi Transaktionen;2;Manage your Accounts & Cards.txt;362-661;0.4669909694884329;1;;;
21;George Push bi Transaktionen;3;How to Search & Find Transactions with George.txt;1659-1958;0.4611518337378287;1;;;
22;Systemeinstellungen für Benachrichtigungen aktivieren;1;How and Where You Receive Notifications.txt;1613-1887;0.4681097372901507;1;1;1.0;0.3333333333333333
22;Systemeinstellungen für Benachrichtigungen aktivieren;2;How and Where You Receive Notifications.txt;1441-1736;0.39674387883702267;0;;;
22;Systemeinstellungen für Benachrichtigungen aktivieren;3;Credit Card Notifications from George.txt;4619-4916;0.39579403848195494;0;;;
23;George Benachrichtigungen im Handy atkivieren;1;Credit Card Notifications from George.txt;1684-1982;0.4993372722740579;1;1;1.0;1.0
23;George Benachrichtigungen im Handy atkivieren;2;Credit Card Notifications from George.txt;1278-1576;0.48380485225991526;1;;;
23;George Benachrichtigungen im Handy atkivieren;3;How and Where You Receive Notifications.txt;344-641;0.4798309810198971;1;;;
24;George Benachrichtigung bei Kartenzahlung mit Fremdwährung;1;How and Where You Receive Notifications.txt;1793-2091;0.5147953666016357;1;1;1.0;1.0
24;George Benachrichtigung bei Kartenzahlung mit Fremdwährung;2;Credit Card Notifications from George.txt;4038-4328;0.5081055062762723;1;;;
24;George Benachrichtigung bei Kartenzahlung mit Fremdwährung;3;How and Where You Receive Notifications.txt;3074-3365;0.5017275384438865;1;;;
25;Push bei Währungsum ? echnung aktivieren;1;Send now: Instant Payments (SEPA).txt;3369-3668;0.3388477732700441;0;0;0.0;0.0
25;Push bei Währungsum ? echnung aktivieren;2;Account Settings.txt;2060-2354;0.33223287623102005;0;;;
25;Push bei Währungsum ? echnung aktivieren;3;Send now: Instant Payments (SEPA).txt;2369-2668;0.3195614707987911;0;;;
26;Wie kann man das App-Symbol in der George App ändern ?;1;How to Change Your App Icon.txt;167-460;0.6423194990131804;1;1;1.0;1.0
26;Wie kann man das App-Symbol in der George App ändern ?;2;How to Change Your App Icon.txt;0-300;0.5940616848527474;1;;;
26;Wie kann man das App-Symbol in der George App ändern ?;3;How to Change Your App Icon.txt;262-557;0.567067200850491;1;;;
27;Welche Farboptionen stehen beim Ändern des App-Symobls zur Verfügung ?;1;How to Change Your App Icon.txt;978-1274;0.5231730758873672;1;1;1.0;1.0
27;Welche Farboptionen stehen beim Ändern des App-Symobls zur Verfügung ?;2;How to Change Your App Icon.txt;167-460;0.4328770653988818;1;;;
27;Welche Farboptionen stehen beim Ändern des App-Symobls zur Verfügung ?;3;How to Change Your App Icon.txt;781-1080;0.4236428502902738;1;;;
28;Ist das Ändern des App-Symbols auch an Android möglich ?;1;How to Change Your App Icon.txt;167-460;0.4439095560337686;1;1;1.0;1.0
28;Ist das Ändern des App-Symbols auch an Android möglich ?;2;How to Change Your App Icon.txt;558-853;0.42715524052540815;1;;;
28;Ist das Ändern des App-Symbols auch an Android möglich ?;3;Credit Card Features.txt;2414-2707;0.42702963473503697;1;;;
29;Wo in der George App befindet sich die Option zum Ändern des App-Symbols ?;1;How to Change Your App Icon.txt;167-460;0.573892309195041;1;1;1.0;1.0
29;Wo in der George App befindet sich die Option zum Ändern des App-Symbols ?;2;How to Change Your App Icon.txt;978-1274;0.5667309814065491;1;;;
29;Wo in der George App befindet sich die Option zum Ändern des App-Symbols ?;3;How to Change Your App Icon.txt;0-300;0.5377084382309859;1;;;
30;Kann das Ap_-Symbol in der George App jederzeit geändert werden ?;1;How to Change Your App Icon.txt;167-460;0.6318537673446972;1;1;1.0;1.0
30;Kann das Ap_-Symbol in der George App jederzeit geändert werden ?;2;How to Change Your App Icon.txt;262-557;0.6081777645960871;1;;;
30;Kann das Ap_-Symbol in der George App jederzeit geändert werden ?;3;Get Started with the George App on a New Device (George ID).txt;1974-2272;0.5225168883331991;1;;;
31;George App Symbol ) ndern – wie funktioniert das ?;1;Get Started with the George App on a New Device (George ID).txt;1364-1659;0.5247469430787126;1;1;1.0;1.0
31;George App Symbol ) ndern – wie funktioniert das ?;2;George Help: Get Started with the George App on a New Device (s Identity).txt;1304-1601;0.5102257866149488;1;;;
31;George App Symbol ) ndern – wie funktioniert das ?;3;George Help: Get Started with the George App on a New Device (s Identity).txt;5855-6153;0.504936284702072;1;;;
32;App-Symbol Farben in der Goerge App – welche Auswahl gibt es ?;1;How to Change Your App Icon.txt;978-1274;0.5236158855784641;1;1;1.0;1.0
32;App-Symbol Farben in der Goerge App – welche Auswahl gibt es ?;2;Colour up.txt;437-730;0.4810879093473648;1;;;
32;App-Symbol Farben in der Goerge App – welche Auswahl gibt es ?;3;Colour up.txt;1590-1888;0.4534269172660168;1;;;
33;App-Symbol anpassen – wann wird Android unterstützt;1;How to Change Your App Icon.txt;558-853;0.46786638981723383;1;1;1.0;1.0
33;App-Symbol anpassen – wann wird Android unterstützt;2;Credit Card Features.txt;2414-2707;0.40683447965051334;1;;;
33;App-Symbol anpassen – wann wird Android unterstützt;3;How to Change Your App Icon.txt;978-1274;0.40235399620415324;1;;;
34;Menüpfad zum App-Symbol ändern in George – wo finde ich ihn;1;How to Change Your App Icon.txt;167-460;0.5004524859143638;1;1;1.0;1.0
34;Menüpfad zum App-Symbol ändern in George – wo finde ich ihn;2;How to Change George's Language.txt;1718-2015;0.48560873082129674;1;;;
34;Menüpfad zum App-Symbol ändern in George – wo finde ich ihn;3;How to Change Your App Icon.txt;0-300;0.4829950591061175;1;;;
35;App-Icon in George App zrücksetzen oder neu wählen – ist das möglich ?;1;How to Change Your App Icon.txt;167-460;0.563401790819805;1;1;1.0;1.0
35;App-Icon in George App zrücksetzen oder neu wählen – ist das möglich ?;2;How to Change Your App Icon.txt;262-557;0.5517392210269378;1;;;
35;App-Icon in George App zrücksetzen oder neu wählen – ist das möglich ?;3;A Picture tells a 1000 Words.txt;570-869;0.532110124434254;1;;;
36;Währungsrechner in George finden;1;Currency Converter.txt;150-448;0.5078856145855173;1;1;1.0;1.0
36;Währungsrechner in George finden;2;Currency Converter.txt;255-553;0.48595260522879885;1;;;
36;Währungsrechner in George finden;3;How to Search & Find Transactions with George.txt;275-567;0.4603723794146891;1;;;
37;Betrag umrechnen in Fremdwährung;1;Special Transfers: International.txt;3087-3382;0.48442755705351936;1;1;1.0;1.0
37;Betrag umrechnen in Fremdwährung;2;Special Transfers: International.txt;2994-3286;0.4684591616775438;1;;;
37;Betrag umrechnen in Fremdwährung;3;Special Transfers: International.txt;1399-1698;0.4664755245962311;1;;;
38;App-Symbol gedßrückt halten für Währungsrechner;1;Currency Converter.txt;877-1174;0.4155719579778714;1;1;1.0;1.0
