Query ID;Query;Retrieved Passage ID;Document Title;Position;Cosine Similarity;Relevance Score;Hits@3;MRR@3;Precision@3
1;Wie aktiviert man George kPro;1;Get to know George Pro.txt;4446-4743;0.5567912898870523;1;1;1.0;1.0
1;Wie aktiviert man George kPro;2;Get to know George Pro.txt;2569-2863;0.5546561967807766;1;;;
1;Wie aktiviert man George kPro;3;Get to know George Pro.txt;2672-2964;0.5504569162817783;1;;;
2;Welch Funktionen bietet das Rechnungs-Management in George Pro;1;Get to know George Pro.txt;6990-7289;0.6591285546654023;1;1;1.0;1.0
2;Welch Funktionen bietet das Rechnungs-Management in George Pro;2;Get to know George Pro.txt;7090-7380;0.6041198726452981;1;;;
2;Welch Funktionen bietet das Rechnungs-Management in George Pro;3;Get to know George Pro.txt;6891-7188;0.6025466358296989;1;;;
3;Was beinhaltet die Cashflow-Prognose bei Geoge Pro ?;1;Get to know George Pro.txt;10707-11006;0.5436235534049572;1;1;1.0;1.0
3;Was beinhaltet die Cashflow-Prognose bei Geoge Pro ?;2;Get to know George Pro.txt;10915-11208;0.5367159907257445;1;;;
3;Was beinhaltet die Cashflow-Prognose bei Geoge Pro ?;3;Get to know George Pro.txt;10809-11108;0.5201117151813128;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen ?;1;What's the Difference between your Order List and your Transaction History?.txt;1229-1518;0.4610397731010093;1;1;1.0;1.0
4;Wie funktioniert der Export von Transaktionen und Rechnungen ?;2;What's the Difference between your Order List and your Transaction History?.txt;1885-2183;0.4276736585265006;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen ?;3;Send now: Instant Payments (SEPA).txt;376-673;0.4145372611349837;1;;;
5;oWfür können Labels und Geschäftskontakte in George Pro genutzt werden ?;1;Get to know George Pro.txt;5624-5923;0.6027945464865688;1;1;1.0;1.0
5;oWfür können Labels und Geschäftskontakte in George Pro genutzt werden ?;2;Get to know George Pro.txt;4944-5242;0.572507362641655;1;;;
5;oWfür können Labels und Geschäftskontakte in George Pro genutzt werden ?;3;Get to know George Pro.txt;13969-14267;0.5551737023119598;1;;;
6;Aktivierung von George Pro Schrit-für-Schritt;1;Get to know George Pro.txt;2672-2964;0.5863409508607387;1;1;1.0;1.0
6;Aktivierung von George Pro Schrit-für-Schritt;2;Get to know George Pro.txt;3098-3388;0.5859001896722131;1;;;
6;Aktivierung von George Pro Schrit-für-Schritt;3;Get to know George Pro.txt;2569-2863;0.5854143604700854;1;;;
7;Automatisccher Rechnungsabgleich mit George Pro;1;Get to know George Pro.txt;4067-4366;0.5345921804341867;1;1;1.0;1.0
7;Automatisccher Rechnungsabgleich mit George Pro;2;Get to know George Pro.txt;914-1211;0.5303570862818143;1;;;
7;Automatisccher Rechnungsabgleich mit George Pro;3;Get to know George Pro.txt;3190-3484;0.5221225677679469;1;;;
8;Liquditätsprognose in Geroge Pro Funktion ... n;1;Get to know George Pro.txt;10915-11208;0.3896067885325505;0;0;0.0;0.0
8;Liquditätsprognose in Geroge Pro Funktion ... n;2;Get to know George Pro.txt;11011-11305;0.38786659777790716;0;;;
8;Liquditätsprognose in Geroge Pro Funktion ... n;3;Get to know George Pro.txt;4271-4570;0.38064259262205274;0;;;
9;Exportfunkt ... on George Pro Buchhaltungsdaten;1;Get to know George Pro.txt;545-842;0.5959461517514107;1;1;1.0;1.0
9;Exportfunkt ... on George Pro Buchhaltungsdaten;2;Get to know George Pro.txt;914-1211;0.5865317291475793;1;;;
9;Exportfunkt ... on George Pro Buchhaltungsdaten;3;Get to know George Pro.txt;5458-5749;0.582478096400678;1;;;
10;Nutzung von Labels und Kontakten für Geschäftsvorg ( nge;1;Get to know George Pro.txt;13969-14267;0.4139008140010238;1;1;1.0;0.3333333333333333
10;Nutzung von Labels und Kontakten für Geschäftsvorg ( nge;2;Name your Accounts & Cards.txt;2325-2624;0.3886980214626461;0;;;
10;Nutzung von Labels und Kontakten für Geschäftsvorg ( nge;3;Your Savings Account Overview.txt;3200-3496;0.3621000241392466;0;;;
11;George Benachrichtigungen aktivieren;1;Credit Card Notifications from George.txt;1278-1575;0.5485818402312527;1;1;1.0;1.0
11;George Benachrichtigungen aktivieren;2;How and Where You Receive Notifications.txt;344-639;0.5177967990083627;1;;;
11;George Benachrichtigungen aktivieren;3;How and Where You Receive Notifications.txt;1198-1497;0.506864587891392;1;;;
12;Push-Benachrichtigungen Thcemenauswahl;1;Credit Card Notifications from George.txt;3744-4041;0.3429351227545119;0;0;0.0;0.0
12;Push-Benachrichtigungen Thcemenauswahl;2;Credit Card Notifications from George.txt;2863-3162;0.3415895796920355;0;;;
12;Push-Benachrichtigungen Thcemenauswahl;3;Credit Card Notifications from George.txt;850-1142;0.3201783422031278;0;;;
13;Geore Konto Transaktionsbenachrichtigungen;1;How and Where You Receive Notifications.txt;1991-2287;0.4687850350213081;1;1;1.0;1.0
13;Geore Konto Transaktionsbenachrichtigungen;2;How and Where You Receive Notifications.txt;1887-2185;0.4686907052723267;1;;;
13;Geore Konto Transaktionsbenachrichtigungen;3;What's the Difference between your Order List and your Transaction History?.txt;534-828;0.44764098974101074;1;;;
14;Benbachrichtigungen in Systemeinstellungen aktivieren;1;How and Where You Receive Notifications.txt;1615-1889;0.40857839909382954;1;1;1.0;0.3333333333333333
14;Benbachrichtigungen in Systemeinstellungen aktivieren;2;How and Where You Receive Notifications.txt;1541-1814;0.35018064523528386;0;;;
14;Benbachrichtigungen in Systemeinstellungen aktivieren;3;Credit Card Notifications from George.txt;4547-4845;0.3344237661034482;0;;;
15;BenachrichtigujngbeiWährungsumrechnungGeorge;1;Get to know George Pro.txt;6891-7188;0.42941484148072256;1;1;1.0;0.3333333333333333
15;BenachrichtigujngbeiWährungsumrechnungGeorge;2;How to Search & Find Transactions with George.txt;274-573;0.3913227676360015;0;;;
15;BenachrichtigujngbeiWährungsumrechnungGeorge;3;How to Search & Find Transactions with George.txt;376-674;0.3879517630424313;0;;;
16;Wie aktiviere ich Benachrichtigungen in George ?;1;How and Where You Receive Notifications.txt;344-639;0.570018049213485;1;1;1.0;1.0
16;Wie aktiviere ich Benachrichtigungen in George ?;2;Credit Card Notifications from George.txt;559-849;0.5290567988502104;1;;;
16;Wie aktiviere ich Benachrichtigungen in George ?;3;Credit Card Notifications from George.txt;651-948;0.5160315687607123;1;;;
