Query ID;Query;Retrieved Passage ID;Document Title;Position;Cosine Similarity;Relevance Score;Hits@3;MRR@3;Precision@3
1;Wie aktiviert man George Pro?;1;Get to know George Pro.txt;2569-2863;0.6144856792338491;1;1;1.0;1.0
1;Wie aktiviert man George Pro?;2;Get to know George Pro.txt;2672-2964;0.6098168248613862;1;;;
1;Wie aktiviert man George Pro?;3;Get to know George Pro.txt;4446-4743;0.6039095070466602;1;;;
2;Welche Funktionen bietet das Rechnungs-Management in George Pro?;1;Get to know George Pro.txt;6990-7289;0.6180239502488116;1;1;1.0;0.3333333333333333
2;Welche Funktionen bietet das Rechnungs-Management in George Pro?;2;Get to know George Pro.txt;7090-7380;0.5741496546363386;0;;;
2;Welche Funktionen bietet das Rechnungs-Management in George Pro?;3;Get to know George Pro.txt;5458-5749;0.5665632207759261;0;;;
3;Was beinhaltet die Cashflow-Prognose bei George Pro?;1;Get to know George Pro.txt;10707-11006;0.6053148634508482;1;1;1.0;0.3333333333333333
3;Was beinhaltet die Cashflow-Prognose bei George Pro?;2;Get to know George Pro.txt;10915-11208;0.5897201203224542;0;;;
3;Was beinhaltet die Cashflow-Prognose bei George Pro?;3;Get to know George Pro.txt;10809-11108;0.5586495496361042;0;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen?;1;What's the Difference between your Order List and your Transaction History?.txt;1229-1518;0.4610397731010093;0;0;0.0;0.0
4;Wie funktioniert der Export von Transaktionen und Rechnungen?;2;What's the Difference between your Order List and your Transaction History?.txt;1885-2183;0.4276736585265006;0;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen?;3;Send now: Instant Payments (SEPA).txt;376-673;0.4145372611349837;0;;;
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt werden?;1;Get to know George Pro.txt;5624-5923;0.6088453181791285;1;1;1.0;0.3333333333333333
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt werden?;2;Get to know George Pro.txt;4944-5242;0.5689554337952855;0;;;
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt werden?;3;Get to know George Pro.txt;13969-14267;0.5459521131639036;0;;;
6;Aktivierung von George Pro Schritt-für-Schritt;1;Get to know George Pro.txt;2672-2964;0.6253301010117692;1;1;1.0;1.0
6;Aktivierung von George Pro Schritt-für-Schritt;2;Get to know George Pro.txt;2569-2863;0.6208878483694369;1;;;
6;Aktivierung von George Pro Schritt-für-Schritt;3;Get to know George Pro.txt;4446-4743;0.601682068619944;1;;;
7;Automatischer Rechnungsabgleich mit George Pro;1;Get to know George Pro.txt;7183-7475;0.5509180864192353;0;0;0.0;0.0
7;Automatischer Rechnungsabgleich mit George Pro;2;Get to know George Pro.txt;3190-3484;0.537820363177725;0;;;
7;Automatischer Rechnungsabgleich mit George Pro;3;Get to know George Pro.txt;914-1211;0.5330292774582566;0;;;
8;Liquditätsprognose in George Pro Funktionen;1;Get to know George Pro.txt;4446-4743;0.5881831022137078;0;0;0.0;0.0
8;Liquditätsprognose in George Pro Funktionen;2;Get to know George Pro.txt;4271-4570;0.5609456273093092;0;;;
8;Liquditätsprognose in George Pro Funktionen;3;Get to know George Pro.txt;2999-3297;0.5471339777775374;0;;;
9;Exportfunktion George Pro Buchhaltungsdaten;1;Get to know George Pro.txt;914-1211;0.6067387269447483;1;1;1.0;0.3333333333333333
9;Exportfunktion George Pro Buchhaltungsdaten;2;Get to know George Pro.txt;5458-5749;0.5893666071114662;0;;;
9;Exportfunktion George Pro Buchhaltungsdaten;3;Get to know George Pro.txt;6990-7289;0.575568698305187;0;;;
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;1;Get to know George Pro.txt;13969-14267;0.4108748456820643;0;0;0.0;0.0
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;2;Name your Accounts & Cards.txt;2325-2624;0.3810629382706654;0;;;
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;3;Your Savings Account Overview.txt;3200-3496;0.38046307851444094;0;;;
11;George Benachrichtigungen aktivieren;1;Credit Card Notifications from George.txt;1278-1575;0.5485818402312527;0;0;0.0;0.0
11;George Benachrichtigungen aktivieren;2;How and Where You Receive Notifications.txt;344-639;0.5177967990083627;0;;;
11;George Benachrichtigungen aktivieren;3;How and Where You Receive Notifications.txt;1198-1497;0.506864587891392;0;;;
12;Push-Benachrichtigungen Themenauswahl;1;Credit Card Notifications from George.txt;3744-4041;0.41186040309464556;0;0;0.0;0.0
12;Push-Benachrichtigungen Themenauswahl;2;Credit Card Notifications from George.txt;2863-3162;0.36173985143109333;0;;;
12;Push-Benachrichtigungen Themenauswahl;3;How and Where You Receive Notifications.txt;1198-1497;0.35888749244321777;0;;;
13;George Konto Transaktionsbenachrichtigungen;1;What's the Difference between your Order List and your Transaction History?.txt;534-828;0.5453644866505158;0;0;0.0;0.0
13;George Konto Transaktionsbenachrichtigungen;2;How and Where You Receive Notifications.txt;3016-3315;0.5341156419427602;0;;;
13;George Konto Transaktionsbenachrichtigungen;3;How and Where You Receive Notifications.txt;1991-2287;0.5168757670187099;0;;;
14;Benachrichtigungen in Systemeinstellungen aktivieren;1;How and Where You Receive Notifications.txt;1615-1889;0.5114399890505179;0;0;0.0;0.0
14;Benachrichtigungen in Systemeinstellungen aktivieren;2;Credit Card Notifications from George.txt;4547-4845;0.4721584992089985;0;;;
14;Benachrichtigungen in Systemeinstellungen aktivieren;3;How and Where You Receive Notifications.txt;1541-1814;0.45844818251576297;0;;;
15;Benachrichtigung bei Währungsumrechnung George;1;How and Where You Receive Notifications.txt;1794-2085;0.5305221874542739;0;0;0.0;0.0
15;Benachrichtigung bei Währungsumrechnung George;2;How and Where You Receive Notifications.txt;1887-2185;0.5065281143249526;0;;;
15;Benachrichtigung bei Währungsumrechnung George;3;How and Where You Receive Notifications.txt;3016-3315;0.5051780642382325;0;;;
16;Wie aktiviere ich Benachrichtigungen in George?;1;How and Where You Receive Notifications.txt;344-639;0.570018049213485;0;0;0.0;0.0
16;Wie aktiviere ich Benachrichtigungen in George?;2;Credit Card Notifications from George.txt;559-849;0.5290567988502104;0;;;
16;Wie aktiviere ich Benachrichtigungen in George?;3;Credit Card Notifications from George.txt;651-948;0.5160315687607123;0;;;
17;Benachrichtigungen über George einstellen;1;How and Where You Receive Notifications.txt;344-639;0.5529133708678964;0;0;0.0;0.0
17;Benachrichtigungen über George einstellen;2;How and Where You Receive Notifications.txt;442-740;0.5123753215553059;0;;;
17;Benachrichtigungen über George einstellen;3;Credit Card Notifications from George.txt;1278-1575;0.5093696944314818;0;;;
18;Für welche Themen kann man Benachrichtigungen in George erhalten?;1;How and Where You Receive Notifications.txt;1198-1497;0.6055369070484728;1;1;1.0;0.3333333333333333
18;Für welche Themen kann man Benachrichtigungen in George erhalten?;2;How and Where You Receive Notifications.txt;2726-3020;0.5882925032144624;0;;;
18;Für welche Themen kann man Benachrichtigungen in George erhalten?;3;How and Where You Receive Notifications.txt;2821-3115;0.5701126988131273;0;;;
19;Benachrichtigungsthemen bei George bearbeiten;1;How and Where You Receive Notifications.txt;2726-3020;0.4751548404272328;0;0;0.0;0.0
19;Benachrichtigungsthemen bei George bearbeiten;2;How and Where You Receive Notifications.txt;344-639;0.47466827882802703;0;;;
19;Benachrichtigungsthemen bei George bearbeiten;3;Credit Card Notifications from George.txt;1278-1575;0.4626782839864723;0;;;
20;Wie informiert George über Kontobewegungen?;1;How and Where You Receive Notifications.txt;1887-2185;0.5336220772420067;0;0;0.0;0.0
20;Wie informiert George über Kontobewegungen?;2;How and Where You Receive Notifications.txt;3016-3315;0.5322848019033362;0;;;
20;Wie informiert George über Kontobewegungen?;3;Standing Orders.txt;1563-1861;0.5292358074618867;0;;;
21;George Push bei Transaktionen;1;Upcoming Orders.txt;253-542;0.46975674020273095;0;0;0.0;0.0
21;George Push bei Transaktionen;2;How to Search & Find Transactions with George.txt;1656-1955;0.4689654491469051;0;;;
21;George Push bei Transaktionen;3;How to Search & Find Transactions with George.txt;901-1200;0.46639866918217504;0;;;
22;Systemeinstellungen für Benachrichtigungen aktivieren;1;How and Where You Receive Notifications.txt;1615-1889;0.4812047958697879;0;0;0.0;0.0
22;Systemeinstellungen für Benachrichtigungen aktivieren;2;How and Where You Receive Notifications.txt;1541-1814;0.43531341504256293;0;;;
22;Systemeinstellungen für Benachrichtigungen aktivieren;3;Credit Card Notifications from George.txt;4547-4845;0.4345052953383654;0;;;
23;George Benachrichtigungen im Handy aktivieren;1;Credit Card Notifications from George.txt;1278-1575;0.5206867578587111;0;0;0.0;0.0
23;George Benachrichtigungen im Handy aktivieren;2;Credit Card Notifications from George.txt;4547-4845;0.5193224598159736;0;;;
