Query ID;Query;Retrieved Passage ID;Document Title;Position;Cosine Similarity;Relevance Score;Hits@3;MRR@3;Precision@3
1;Wi aktiviert man Gorege Pro ?;1;Get to know George Pro.txt;2687-2980;0.5032006544276283;0;0;0.0;0.0
1;Wi aktiviert man Gorege Pro ?;2;Get to know George Pro.txt;1616-1900;0.49858952057899264;0;;;
1;Wi aktiviert man Gorege Pro ?;3;Get to know George Pro.txt;1985-2284;0.48770970528711344;0;;;
2;Welche Funktionen bietet das Rechnuns-Management in Gesorge Pro ?;1;Get to know George Pro.txt;4444-4741;0.4880120682745086;0;0;0.0;0.0
2;Welche Funktionen bietet das Rechnuns-Management in Gesorge Pro ?;2;Get to know George Pro.txt;4241-4538;0.4762495340343861;0;;;
2;Welche Funktionen bietet das Rechnuns-Management in Gesorge Pro ?;3;Get to know George Pro.txt;6981-7279;0.46922655778390776;0;;;
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro;1;Get to know George Pro.txt;10906-11199;0.48573102153795394;0;0;0.0;0.0
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro;2;Get to know George Pro.txt;10699-10998;0.46776889918203285;0;;;
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro;3;Get to know George Pro.txt;10799-11098;0.45756238108398717;0;;;
4;WiefunktioniertderExportvonTransaktionenundRechnungen ?;1;What's the Difference between your Order List and your Transaction History?.txt;1227-1526;0.46854549041448945;0;0;0.0;0.0
4;WiefunktioniertderExportvonTransaktionenundRechnungen ?;2;What's the Difference between your Order List and your Transaction History?.txt;1913-2211;0.42859434739973135;0;;;
4;WiefunktioniertderExportvonTransaktionenundRechnungen ?;3;What's the Difference between your Order List and your Transaction History?.txt;4038-4337;0.40984895696614754;0;;;
5;nWofür können Labels und Geschäftskontakte in George Pro genutzt werden ?;1;Get to know George Pro.txt;5617-5915;0.5602103842178385;0;0;0.0;0.0
5;nWofür können Labels und Geschäftskontakte in George Pro genutzt werden ?;2;Get to know George Pro.txt;4942-5241;0.548197325421571;0;;;
5;nWofür können Labels und Geschäftskontakte in George Pro genutzt werden ?;3;Get to know George Pro.txt;13963-14260;0.5371108298869866;0;;;
6;Aktivieurng von George Pro Schritt-für-Schritt;1;Get to know George Pro.txt;2591-2883;0.6041073677491;1;1;1.0;0.3333333333333333
6;Aktivieurng von George Pro Schritt-für-Schritt;2;Get to know George Pro.txt;2489-2788;0.5781101322434943;0;;;
6;Aktivieurng von George Pro Schritt-für-Schritt;3;Get to know George Pro.txt;2687-2980;0.5744767962058883;0;;;
7;Automatischer Rechnungsabgleich mit George Pro;1;Get to know George Pro.txt;1010-1300;0.5518631245894088;0;0;0.0;0.0
7;Automatischer Rechnungsabgleich mit George Pro;2;Get to know George Pro.txt;7173-7465;0.551462036599011;0;;;
7;Automatischer Rechnungsabgleich mit George Pro;3;Get to know George Pro.txt;4042-4341;0.5346830945298994;0;;;
8;Liquditätsprognose in Georhge Pro Funktionen;1;Get to know George Pro.txt;4444-4741;0.5243504616929637;0;0;0.0;0.0
8;Liquditätsprognose in Georhge Pro Funktionen;2;Get to know George Pro.txt;5908-6205;0.49786960025373056;0;;;
8;Liquditätsprognose in Georhge Pro Funktionen;3;Get to know George Pro.txt;4241-4538;0.4923820831916193;0;;;
9;ExportfunktonGeorgeProBuchhaltungsdaten;1;Get to know George Pro.txt;547-842;0.4685931900125938;0;0;0.0;0.0
9;ExportfunktonGeorgeProBuchhaltungsdaten;2;Get to know George Pro.txt;1010-1300;0.45689797519472586;0;;;
9;ExportfunktonGeorgeProBuchhaltungsdaten;3;Get to know George Pro.txt;6981-7279;0.4483765081516279;0;;;
10;Ntuzung von Label_ und Kontakten für Geschäftsvorgänge;1;Get to know George Pro.txt;8828-9126;0.4067913861797177;0;0;0.0;0.0
10;Ntuzung von Label_ und Kontakten für Geschäftsvorgänge;2;Get to know George Pro.txt;13963-14260;0.3973683262356008;0;;;
10;Ntuzung von Label_ und Kontakten für Geschäftsvorgänge;3;Get to know George Pro.txt;8723-9022;0.3567002046285494;0;;;
11;GergeBenachrichtigungenaktivieren;1;Credit Card Notifications from George.txt;4801-5094;0.40222649816803296;0;0;0.0;0.0
11;GergeBenachrichtigungenaktivieren;2;How and Where You Receive Notifications.txt;1098-1396;0.3892930447981573;0;;;
11;GergeBenachrichtigungenaktivieren;3;How and Where You Receive Notifications.txt;2727-3021;0.37526224012227305;0;;;
12;Push-Benachrichtigunvgen Themenauswahl;1;How and Where You Receive Notifications.txt;1197-1496;0.34773221280516325;0;0;0.0;0.0
12;Push-Benachrichtigunvgen Themenauswahl;2;Credit Card Notifications from George.txt;770-1068;0.3432791189250781;0;;;
12;Push-Benachrichtigunvgen Themenauswahl;3;Credit Card Notifications from George.txt;3741-4037;0.339542946206137;0;;;
13;Ggeorg Konto Transaktionsbenachrichtigungen;1;How and Where You Receive Notifications.txt;1986-2282;0.48373036527795843;0;0;0.0;0.0
13;Ggeorg Konto Transaktionsbenachrichtigungen;2;How and Where You Receive Notifications.txt;2976-3274;0.4771307328951625;0;;;
