Query ID;Query;Retrieved Passage ID;Document Title;Position;Cosine Similarity;Relevance Score;Hits@3;MRR@3;Precision@3
1;Wie aktiviert man George Pro ?;1;Get to know George Pro.txt;3288-3560;0.8677839369664966;1;1;1.0;1.0
1;Wie aktiviert man George Pro ?;2;Get to know George Pro.txt;1615-1897;0.8550709552608604;1;;;
1;Wie aktiviert man George Pro ?;3;Get to know George Pro.txt;2100-2392;0.8523102896077114;1;;;
2;Welche Funktionen bietet das Rechnungs-Management in ? eorge Pro ?;1;Get to know George Pro.txt;6984-7279;0.8707372193050693;1;1;1.0;1.0
2;Welche Funktionen bietet das Rechnungs-Management in ? eorge Pro ?;2;Get to know George Pro.txt;6887-7183;0.8624213605315787;1;;;
2;Welche Funktionen bietet das Rechnungs-Management in ? eorge Pro ?;3;Get to know George Pro.txt;911-1210;0.8605954961795871;1;;;
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro ?;1;Get to know George Pro.txt;10530-10825;0.8622224766523374;1;1;1.0;1.0
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro ?;2;Get to know George Pro.txt;713-1008;0.8587915849380066;1;;;
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro ?;3;Get to know George Pro.txt;3852-4149;0.8571079950497666;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen ?;1;Account Statements.txt;4401-4700;0.8167121354618603;1;1;1.0;1.0
4;Wie funktioniert der Export von Transaktionen und Rechnungen ?;2;Account Statements.txt;4117-4415;0.8167777722755212;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen ?;3;Get to know George Pro.txt;13675-13967;0.8132356902791651;1;;;
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt ewrden ?;1;Get to know George Pro.txt;5726-6018;0.8454993127862898;1;1;1.0;1.0
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt ewrden ?;2;Get to know George Pro.txt;5624-5923;0.8395444221146305;1;;;
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt ewrden ?;3;Get to know George Pro.txt;6887-7183;0.8375966829536414;1;;;
6;Aktivierung von George Pro Schritt-für-Schritt;1;Get to know George Pro.txt;810-1105;0.8632914039742257;1;1;1.0;1.0
6;Aktivierung von George Pro Schritt-für-Schritt;2;Get to know George Pro.txt;3288-3560;0.8619539889814093;1;;;
6;Aktivierung von George Pro Schritt-für-Schritt;3;Get to know George Pro.txt;648-912;0.8537424262719203;1;;;
7;Automatischer Rechnungsabgleich mit George Pro;1;Get to know George Pro.txt;911-1210;0.8721734906243216;1;1;1.0;1.0
7;Automatischer Rechnungsabgleich mit George Pro;2;Get to know George Pro.txt;1016-1309;0.8685929206211491;1;;;
7;Automatischer Rechnungsabgleich mit George Pro;3;Get to know George Pro.txt;7986-8241;0.8675293239093842;1;;;
8;Liquditätsprognose in George Pro Funktionen;1;Get to know George Pro.txt;911-1210;0.8579635863285748;1;1;1.0;1.0
8;Liquditätsprognose in George Pro Funktionen;2;Get to know George Pro.txt;10530-10825;0.845772526275414;1;;;
8;Liquditätsprognose in George Pro Funktionen;3;Get to know George Pro.txt;6887-7183;0.8456147702928591;1;;;
9;ExportfunktionGeorgeProBuchhaltungsdaten;1;Get to know George Pro.txt;12713-13011;0.8548034731742817;1;1;1.0;1.0
9;ExportfunktionGeorgeProBuchhaltungsdaten;2;Get to know George Pro.txt;713-1008;0.8531251754011356;1;;;
9;ExportfunktionGeorgeProBuchhaltungsdaten;3;Get to know George Pro.txt;12616-12909;0.8528972887001584;1;;;
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;1;Get to know George Pro.txt;13956-14255;0.8083187566391639;1;1;1.0;1.0
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;2;Get to know George Pro.txt;14162-14452;0.798249363122462;1;;;
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;3;Get to know George Pro.txt;14057-14353;0.7935120426163532;1;;;
11;Geroge Benachrichtigungen aktivieren;1;Credit Card Notifications from George.txt;5978-6273;0.8796132044718012;1;1;1.0;1.0
11;Geroge Benachrichtigungen aktivieren;2;Credit Card Notifications from George.txt;4804-5097;0.8695839797574225;1;;;
11;Geroge Benachrichtigungen aktivieren;3;Credit Card Notifications from George.txt;5915-6176;0.8630429299173189;1;;;
12;Push-Benachrichtigugen Themenauswahl;1;Credit Card Notifications from George.txt;3645-3939;0.7890520620793138;1;1;1.0;1.0
12;Push-Benachrichtigugen Themenauswahl;2;Message Your Advisor.txt;996-1295;0.7882256939651389;1;;;
12;Push-Benachrichtigugen Themenauswahl;3;Credit Card Notifications from George.txt;6175-6462;0.7834151859979082;1;;;
13;eorge Konto Transaktionsbenachrichtigungen;1;Credit Card Notifications from George.txt;4898-5194;0.8617598100380932;1;1;1.0;1.0
13;eorge Konto Transaktionsbenachrichtigungen;2;How and Where You Receive Notifications.txt;3619-3891;0.8587080804771561;1;;;
13;eorge Konto Transaktionsbenachrichtigungen;3;How and Where You Receive Notifications.txt;2872-3170;0.8566355270376014;1;;;
14;BenachrichtigungeninSystemeinstellungenaktivieren;1;How and Where You Receive Notifications.txt;1613-1887;0.8313688590532361;1;1;1.0;1.0
14;BenachrichtigungeninSystemeinstellungenaktivieren;2;Credit Card Notifications from George.txt;2675-2970;0.8118757711026068;1;;;
14;BenachrichtigungeninSystemeinstellungenaktivieren;3;Credit Card Notifications from George.txt;5397-5690;0.8108146286489276;1;;;
15;Benachrichtigung bei Währnugsumrechnung George;1;How and Where You Receive Notifications.txt;1793-2091;0.863317100861676;1;1;1.0;1.0
15;Benachrichtigung bei Währnugsumrechnung George;2;Credit Card Notifications from George.txt;4898-5194;0.8622788602789588;1;;;
15;Benachrichtigung bei Währnugsumrechnung George;3;Credit Card Notifications from George.txt;5978-6273;0.8575040263263585;1;;;
16;We aktiviere ich Benachrichtigungen in George ?;1;Credit Card Notifications from George.txt;5978-6273;0.8569715455685214;1;1;1.0;1.0
16;We aktiviere ich Benachrichtigungen in George ?;2;Credit Card Notifications from George.txt;4725-5000;0.8463423811461424;1;;;
16;We aktiviere ich Benachrichtigungen in George ?;3;Credit Card Notifications from George.txt;4804-5097;0.845552226106856;1;;;
17;Benachrichtigungen über George einstellen;1;Credit Card Notifications from George.txt;5978-6273;0.8614687797000199;1;1;1.0;1.0
17;Benachrichtigungen über George einstellen;2;Credit Card Notifications from George.txt;1377-1673;0.8571303073602055;1;;;
17;Benachrichtigungen über George einstellen;3;How and Where You Receive Notifications.txt;2872-3170;0.8549595236545126;1;;;
18;Für welcöhe Themen kann man Benachrichtigungen in George erhalten ?;1;Credit Card Notifications from George.txt;5978-6273;0.8522247550196919;1;1;1.0;1.0
18;Für welcöhe Themen kann man Benachrichtigungen in George erhalten ?;2;Authorised Call.txt;1230-1526;0.8468624524136068;1;;;
18;Für welcöhe Themen kann man Benachrichtigungen in George erhalten ?;3;How and Where You Receive Notifications.txt;2872-3170;0.8465878130498474;1;;;
19;"Benachrichtigungsthemen bei ; George bearbeiten";1;Credit Card Notifications from George.txt;5978-6273;0.8515987869245577;1;1;1.0;1.0
19;"Benachrichtigungsthemen bei ; George bearbeiten";2;How and Where You Receive Notifications.txt;3797-4094;0.847324103328759;1;;;
19;"Benachrichtigungsthemen bei ; George bearbeiten";3;Authorised Call.txt;1230-1526;0.8471877907252164;1;;;
20;Wie informiert George über Kontobewegungen ?;1;How and Where You Receive Notifications.txt;1793-2091;0.8591873945674553;1;1;1.0;1.0
20;Wie informiert George über Kontobewegungen ?;2;Credit Card Notifications from George.txt;7084-7377;0.8419406851913742;1;;;
20;Wie informiert George über Kontobewegungen ?;3;How and Where You Receive Notifications.txt;2872-3170;0.8400968028320254;1;;;
21;George Push bi Transaktionen;1;Quick search with Filters.txt;1120-1419;0.8348416430730726;1;1;1.0;1.0
21;George Push bi Transaktionen;2;Quick search with Filters.txt;1017-1316;0.8310775450525234;1;;;
21;George Push bi Transaktionen;3;Send to yourself: Own Transfers.txt;748-1046;0.8290251425363802;1;;;
22;Systemeinstellungen für Benachrichtigungen aktivieren;1;How and Where You Receive Notifications.txt;1613-1887;0.8306110666174449;1;1;1.0;1.0
22;Systemeinstellungen für Benachrichtigungen aktivieren;2;How and Where You Receive Notifications.txt;1038-1293;0.8182379380940851;1;;;
22;Systemeinstellungen für Benachrichtigungen aktivieren;3;How and Where You Receive Notifications.txt;1099-1398;0.8154659740922359;1;;;
23;George Benachrichtigungen im Handy atkivieren;1;Credit Card Notifications from George.txt;5978-6273;0.8437938592132354;1;1;1.0;1.0
23;George Benachrichtigungen im Handy atkivieren;2;Credit Card Notifications from George.txt;1684-1982;0.8406337065319386;1;;;
23;George Benachrichtigungen im Handy atkivieren;3;Credit Card Notifications from George.txt;1588-1882;0.8396463042856191;1;;;
24;George Benachrichtigung bei Kartenzahlung mit Fremdwährung;1;Credit Card Invoices.txt;2835-3132;0.8560803686678318;1;1;1.0;1.0
24;George Benachrichtigung bei Kartenzahlung mit Fremdwährung;2;Credit Card Notifications from George.txt;4898-5194;0.8559290879198871;1;;;
24;George Benachrichtigung bei Kartenzahlung mit Fremdwährung;3;Credit Card Notifications from George.txt;7854-8147;0.8534656625143966;1;;;
25;Push bei Währungsum ? echnung aktivieren;1;Currency Converter.txt;1127-1423;0.8175028869547012;1;1;1.0;1.0
25;Push bei Währungsum ? echnung aktivieren;2;Currency Converter.txt;586-878;0.8129127126567124;1;;;
25;Push bei Währungsum ? echnung aktivieren;3;Currency Converter.txt;1514-1791;0.8095945554466033;1;;;
26;Wie kann man das App-Symbol in der George App ändern ?;1;How to Change Your App Icon.txt;0-300;0.8621204034733707;1;1;1.0;1.0
26;Wie kann man das App-Symbol in der George App ändern ?;2;How to Change Your App Icon.txt;1352-1647;0.860674975673703;1;;;
26;Wie kann man das App-Symbol in der George App ändern ?;3;How to Change Your App Icon.txt;1076-1371;0.8568217007830587;1;;;
27;Welche Farboptionen stehen beim Ändern des App-Symobls zur Verfügung ?;1;How to Change Your App Icon.txt;978-1274;0.8359156290844831;1;1;1.0;1.0
27;Welche Farboptionen stehen beim Ändern des App-Symobls zur Verfügung ?;2;How to Change Your App Icon.txt;781-1080;0.8162842573348555;1;;;
27;Welche Farboptionen stehen beim Ändern des App-Symobls zur Verfügung ?;3;How to Change Your App Icon.txt;1253-1549;0.8085280673484161;1;;;
28;Ist das Ändern des App-Symbols auch an Android möglich ?;1;How to Change Your App Icon.txt;558-853;0.8084814669728091;1;1;1.0;1.0
28;Ist das Ändern des App-Symbols auch an Android möglich ?;2;How to Change Your App Icon.txt;1253-1549;0.802359292766947;1;;;
28;Ist das Ändern des App-Symbols auch an Android möglich ?;3;How to Change Your App Icon.txt;0-300;0.7980583626072761;1;;;
29;Wo in der George App befindet sich die Option zum Ändern des App-Symbols ?;1;How to Change Your App Icon.txt;1352-1647;0.8531087455617281;1;1;1.0;1.0
29;Wo in der George App befindet sich die Option zum Ändern des App-Symbols ?;2;Currency Converter.txt;1127-1423;0.848389856410325;1;;;
29;Wo in der George App befindet sich die Option zum Ändern des App-Symbols ?;3;How to Change Your App Icon.txt;0-300;0.8480327376625025;1;;;
30;Kann das Ap_-Symbol in der George App jederzeit geändert werden ?;1;How to Change Your App Icon.txt;1253-1549;0.8376819381261746;1;1;1.0;1.0
30;Kann das Ap_-Symbol in der George App jederzeit geändert werden ?;2;How to Change Your App Icon.txt;1352-1647;0.837479959187316;1;;;
30;Kann das Ap_-Symbol in der George App jederzeit geändert werden ?;3;How to Change Your App Icon.txt;0-300;0.8364364277210323;1;;;
31;George App Symbol ) ndern – wie funktioniert das ?;1;How and Where You Receive Notifications.txt;3946-4243;0.8434068445089088;1;1;1.0;1.0
