Query ID;Query;Retrieved Passage ID;Document Title;Position;Cosine Similarity;Relevance Score;Hits@3;MRR@3;Precision@3
1;Wie aktiviert man George Pro?;1;George Pro: eine Einführung.txt;1591-1862;0.8057422063473365;1;1;1.0;1.0
1;Wie aktiviert man George Pro?;2;George Pro: eine Einführung.txt;1696-1982;0.7335852205810643;1;;;
1;Wie aktiviert man George Pro?;3;George Pro: eine Einführung.txt;3308-3566;0.7523985360033367;1;;;
2;Welche Funktionen bietet das Rechnungs-Management in George Pro?;1;George Pro: eine Einführung.txt;6553-6841;0.8527094436806085;1;1;1.0;1.0
2;Welche Funktionen bietet das Rechnungs-Management in George Pro?;2;George Pro: eine Einführung.txt;1045-1327;0.8063917716624618;1;;;
2;Welche Funktionen bietet das Rechnungs-Management in George Pro?;3;George Pro: eine Einführung.txt;7651-7936;0.8105807067365216;1;;;
3;Was beinhaltet die Cashflow-Prognose bei George Pro?;1;George Pro: eine Einführung.txt;11642-11918;0.7344342689440946;1;1;1.0;1.0
3;Was beinhaltet die Cashflow-Prognose bei George Pro?;2;George Pro: eine Einführung.txt;11375-11641;0.7725999964461576;1;;;
3;Was beinhaltet die Cashflow-Prognose bei George Pro?;3;George Pro: eine Einführung.txt;11554-11836;0.7331946239900342;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen?;1;George Pro: eine Einführung.txt;13760-14022;0.7202965435015312;1;1;1.0;1.0
4;Wie funktioniert der Export von Transaktionen und Rechnungen?;2;George Pro: eine Einführung.txt;13850-14120;0.6868669985845276;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen?;3;George Pro: eine Einführung.txt;13663-13942;0.706855901654267;1;;;
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt werden?;1;George Pro: eine Einführung.txt;15130-15395;0.7917717072826846;1;1;1.0;1.0
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt werden?;2;George Pro: eine Einführung.txt;15038-15308;0.7338490342657848;1;;;
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt werden?;3;George Pro: eine Einführung.txt;14949-15234;0.7316567743407957;1;;;
6;Aktivierung von George Pro Schritt-für-Schritt;1;George Pro: eine Einführung.txt;3308-3566;0.7840675700565777;1;1;1.0;1.0
6;Aktivierung von George Pro Schritt-für-Schritt;2;George Pro: eine Einführung.txt;1591-1862;0.788494807531519;1;;;
6;Aktivierung von George Pro Schritt-für-Schritt;3;George Pro: eine Einführung.txt;1983-2251;0.7380831554660437;1;;;
7;Automatischer Rechnungsabgleich mit George Pro;1;George Pro: eine Einführung.txt;10239-10523;0.7905971052387613;1;1;1.0;1.0
7;Automatischer Rechnungsabgleich mit George Pro;2;George Pro: eine Einführung.txt;7651-7936;0.7639165975129453;1;;;
7;Automatischer Rechnungsabgleich mit George Pro;3;George Pro: eine Einführung.txt;10153-10433;0.7632607313724686;1;;;
8;Liquditätsprognose in George Pro Funktionen;1;George Pro: eine Einführung.txt;11642-11918;0.7152375533256132;1;1;1.0;1.0
8;Liquditätsprognose in George Pro Funktionen;2;George Pro: eine Einführung.txt;11218-11509;0.7436163108618847;1;;;
8;Liquditätsprognose in George Pro Funktionen;3;George Pro: eine Einführung.txt;11375-11641;0.7354764249307653;1;;;
9;Exportfunktion George Pro Buchhaltungsdaten;1;George Pro: eine Einführung.txt;13850-14120;0.7580291948724094;1;1;1.0;1.0
9;Exportfunktion George Pro Buchhaltungsdaten;2;George Pro: eine Einführung.txt;14108-14376;0.730767234047607;1;;;
9;Exportfunktion George Pro Buchhaltungsdaten;3;George Pro: eine Einführung.txt;13760-14022;0.7421662795776177;1;;;
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;1;George Pro: eine Einführung.txt;15130-15395;0.6564723115934915;1;1;1.0;1.0
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;2;George Pro: eine Einführung.txt;15038-15308;0.6465821231040674;1;;;
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;3;George Pro: eine Einführung.txt;14949-15234;0.6572187499837605;1;;;
11;George Benachrichtigungen aktivieren;1;Benachrichtigungen von George.txt;2974-3249;0.7845653737102289;1;1;1.0;1.0
11;George Benachrichtigungen aktivieren;2;Benachrichtigungen von George.txt;2318-2597;0.7498326249883187;1;;;
11;George Benachrichtigungen aktivieren;3;Benachrichtigungen von George.txt;6387-6655;0.7603302577515028;1;;;
12;Push-Benachrichtigungen Themenauswahl;1;Wo und wie Sie Benachrichtigungen erhalten.txt;1404-1697;0.6846898645076764;1;1;1.0;1.0
12;Push-Benachrichtigungen Themenauswahl;2;Wo und wie Sie Benachrichtigungen erhalten.txt;2780-3065;0.6448443432045207;1;;;
12;Push-Benachrichtigungen Themenauswahl;3;Benachrichtigungen von George.txt;2518-2805;0.6358746082531305;1;;;
13;George Konto Transaktionsbenachrichtigungen;1;Wo und wie Sie Benachrichtigungen erhalten.txt;2780-3065;0.7472954981882409;1;1;1.0;1.0
13;George Konto Transaktionsbenachrichtigungen;2;Wo und wie Sie Benachrichtigungen erhalten.txt;2900-3182;0.7387950062324364;1;;;
13;George Konto Transaktionsbenachrichtigungen;3;Wo und wie Sie Benachrichtigungen erhalten.txt;1834-2123;0.6985703074552168;1;;;
14;Benachrichtigungen in Systemeinstellungen aktivieren;1;Benachrichtigungen von George.txt;2974-3249;0.6705831418808383;1;1;1.0;1.0
14;Benachrichtigungen in Systemeinstellungen aktivieren;2;Wo und wie Sie Benachrichtigungen erhalten.txt;1404-1697;0.701264958372217;1;;;
14;Benachrichtigungen in Systemeinstellungen aktivieren;3;Wo und wie Sie Benachrichtigungen erhalten.txt;1500-1709;0.7423529623568397;1;;;
15;Benachrichtigung bei Währungsumrechnung George;1;Wo und wie Sie Benachrichtigungen erhalten.txt;3109-3397;0.761725153916602;1;1;1.0;1.0
15;Benachrichtigung bei Währungsumrechnung George;2;Wo und wie Sie Benachrichtigungen erhalten.txt;2124-2422;0.7579369375067786;1;;;
15;Benachrichtigung bei Währungsumrechnung George;3;Wo und wie Sie Benachrichtigungen erhalten.txt;3223-3519;0.8100953021845152;1;;;
16;Wie aktiviere ich Benachrichtigungen in George?;1;Benachrichtigungen von George.txt;2974-3249;0.7885357487832907;1;1;1.0;1.0
16;Wie aktiviere ich Benachrichtigungen in George?;2;Benachrichtigungen von George.txt;2318-2597;0.7417285298697408;1;;;
16;Wie aktiviere ich Benachrichtigungen in George?;3;Benachrichtigungen von George.txt;6387-6655;0.747554552285507;1;;;
17;Benachrichtigungen über George einstellen;1;Wo und wie Sie Benachrichtigungen erhalten.txt;448-737;0.7226886531313746;1;1;1.0;1.0
17;Benachrichtigungen über George einstellen;2;Wo und wie Sie Benachrichtigungen erhalten.txt;575-869;0.7387586601025267;1;;;
17;Benachrichtigungen über George einstellen;3;Benachrichtigungen von George.txt;4662-4929;0.7333755505669344;1;;;
18;Für welche Themen kann man Benachrichtigungen in George erhalten?;1;Wo und wie Sie Benachrichtigungen erhalten.txt;2780-3065;0.724463174581575;1;1;1.0;1.0
18;Für welche Themen kann man Benachrichtigungen in George erhalten?;2;Benachrichtigungen von George.txt;615-884;0.7745788861571857;1;;;
18;Für welche Themen kann man Benachrichtigungen in George erhalten?;3;Benachrichtigungen von George.txt;5159-5426;0.6460927811381902;1;;;
19;Benachrichtigungsthemen bei George bearbeiten;1;Wo und wie Sie Benachrichtigungen erhalten.txt;2780-3065;0.7212048002207834;1;1;1.0;1.0
19;Benachrichtigungsthemen bei George bearbeiten;2;Benachrichtigungen von George.txt;2974-3249;0.711868363247139;1;;;
19;Benachrichtigungsthemen bei George bearbeiten;3;Benachrichtigungen von George.txt;615-884;0.7408967802981421;1;;;
20;Wie informiert George über Kontobewegungen?;1;Wo und wie Sie Benachrichtigungen erhalten.txt;2124-2422;0.710261177421043;1;1;1.0;1.0
20;Wie informiert George über Kontobewegungen?;2;Wo und wie Sie Benachrichtigungen erhalten.txt;2034-2317;0.7065128445605346;1;;;
20;Wie informiert George über Kontobewegungen?;3;Wo und wie Sie Benachrichtigungen erhalten.txt;3009-3294;0.7059598085562109;1;;;
