Query ID;Query;Retrieved Passage ID;Document Title;Position;Cosine Similarity;Relevance Score;Hits@3;MRR@3;Precision@3
1;Wie aktiviert man George Pro?;1;Get to know George Pro.txt;1996-2295;0.6438278063501839;1;1;1.0;1.0
1;Wie aktiviert man George Pro?;2;Get to know George Pro.txt;1896-2192;0.6649938397653139;1;;;
1;Wie aktiviert man George Pro?;3;Get to know George Pro.txt;1515-1811;0.6076979041145694;1;;;
2;Welche Funktionen bietet das Rechnungs-Management in George Pro?;1;Get to know George Pro.txt;7087-7375;0.6768646055342992;1;1;1.0;1.0
2;Welche Funktionen bietet das Rechnungs-Management in George Pro?;2;Get to know George Pro.txt;6887-7183;0.6764063124152109;1;;;
2;Welche Funktionen bietet das Rechnungs-Management in George Pro?;3;Get to know George Pro.txt;6984-7279;0.6571218199949675;1;;;
3;Was beinhaltet die Cashflow-Prognose bei George Pro?;1;Get to know George Pro.txt;10705-11002;0.5980395331872266;1;1;1.0;1.0
3;Was beinhaltet die Cashflow-Prognose bei George Pro?;2;Get to know George Pro.txt;12374-12669;0.6040439477144792;1;;;
3;Was beinhaltet die Cashflow-Prognose bei George Pro?;3;Get to know George Pro.txt;10530-10825;0.6200154935168725;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen?;1;Export Your Search Results.txt;267-564;0.5279086667825255;1;1;1.0;1.0
4;Wie funktioniert der Export von Transaktionen und Rechnungen?;2;Get to know George Pro.txt;12813-13110;0.5151277591325583;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen?;3;Export Your Search Results.txt;365-661;0.5317322482608227;1;;;
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt werden?;1;Get to know George Pro.txt;13956-14255;0.639653979108318;1;1;1.0;1.0
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt werden?;2;Get to know George Pro.txt;14057-14353;0.6277013956654167;1;;;
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt werden?;3;Get to know George Pro.txt;5624-5923;0.6129810882724003;1;;;
