Query ID;Query;Retrieved Passage ID;Document Title;Position;Cosine Similarity;Relevance Score;Hits@3;MRR@3;Precision@3
1;Wie aktiviert man George kPro;1;Get to know George Pro.txt;1981-2278;0.5941152271170406;1;1;1.0;1.0
1;Wie aktiviert man George kPro;2;Get to know George Pro.txt;3291-3564;0.6134693100565464;1;;;
1;Wie aktiviert man George kPro;3;Get to know George Pro.txt;1801-2099;0.5807780811210533;1;;;
2;Welch Funktionen bietet das Rechnungs-Management in George Pro;1;Get to know George Pro.txt;1016-1310;0.6474843965436258;1;1;1.0;1.0
2;Welch Funktionen bietet das Rechnungs-Management in George Pro;2;Get to know George Pro.txt;7090-7380;0.6563776122569931;1;;;
2;Welch Funktionen bietet das Rechnungs-Management in George Pro;3;Get to know George Pro.txt;6990-7289;0.6622652843634479;1;;;
3;Was beinhaltet die Cashflow-Prognose bei Geoge Pro ?;1;Get to know George Pro.txt;10915-11208;0.5634614800695875;1;1;1.0;1.0
3;Was beinhaltet die Cashflow-Prognose bei Geoge Pro ?;2;Get to know George Pro.txt;10707-11006;0.5375648529706416;1;;;
3;Was beinhaltet die Cashflow-Prognose bei Geoge Pro ?;3;Get to know George Pro.txt;11011-11305;0.5713612988485082;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen ?;1;Get to know George Pro.txt;12813-13110;0.5198368745946954;1;1;1.0;1.0
4;Wie funktioniert der Export von Transaktionen und Rechnungen ?;2;Export Your Search Results.txt;367-666;0.5246505142187469;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen ?;3;Export Your Search Results.txt;266-565;0.4949364528340988;1;;;
5;oWfür können Labels und Geschäftskontakte in George Pro genutzt werden ?;1;Get to know George Pro.txt;13969-14267;0.6595949195669288;1;1;1.0;1.0
5;oWfür können Labels und Geschäftskontakte in George Pro genutzt werden ?;2;Get to know George Pro.txt;14074-14371;0.6585320549060566;1;;;
5;oWfür können Labels und Geschäftskontakte in George Pro genutzt werden ?;3;Get to know George Pro.txt;5624-5923;0.6352151076982578;1;;;
6;Aktivierung von George Pro Schrit-für-Schritt;1;Get to know George Pro.txt;1981-2278;0.6005834853857696;1;1;1.0;1.0
