Query ID;Query;Retrieved Passage ID;Document Title;Position;Cosine Similarity;Relevance Score;Hits@3;MRR@3;Precision@3
1;How can you add a c ... stom picture to an account or card in George ?;1;A Picture tells a 1000 Words.txt;2188-2479;0.7355922781278068;1;1;1.0;1.0
1;How can you add a c ... stom picture to an account or card in George ?;2;A Picture tells a 1000 Words.txt;477-761;0.6737169361192838;1;;;
1;How can you add a c ... stom picture to an account or card in George ?;3;A Picture tells a 1000 Words.txt;631-919;0.720574321367624;1;;;
2;What steps are required to delete a personalized picture in George via the web browser ?;1;Change Your Background.txt;388-673;0.5580950875229853;1;1;1.0;1.0
2;What steps are required to delete a personalized picture in George via the web browser ?;2;Create a Personal Username for Browser Logins.txt;201-457;0.5750807722920076;1;;;
2;What steps are required to delete a personalized picture in George via the web browser ?;3;Open Orders.txt;3119-3394;0.5058774963583474;1;;;
3;How can you change a picture for an account or card using the George app;1;A Picture tells a 1000 Words.txt;2188-2479;0.768996098795709;1;1;1.0;1.0
3;How can you change a picture for an account or card using the George app;2;A Picture tells a 1000 Words.txt;631-919;0.7708322464761903;1;;;
3;How can you change a picture for an account or card using the George app;3;A Picture tells a 1000 Words.txt;477-761;0.6969968181869752;1;;;
4;What other personalization options besides pictures aore available in George;1;A Picture tells a 1000 Words.txt;3143-3430;0.6421333374619217;1;1;1.0;1.0
4;What other personalization options besides pictures aore available in George;2;Credit Card Features.txt;2571-2835;0.6436942833669874;1;;;
4;What other personalization options besides pictures aore available in George;3;Credit Card Features.txt;2456-2737;0.6409991879633131;1;;;
5;Can ou personalize your account and card images directly fom the overview screen in George;1;Colour up.txt;2109-2384;0.7616042265224972;1;1;1.0;1.0
5;Can ou personalize your account and card images directly fom the overview screen in George;2;A Picture tells a 1000 Words.txt;3143-3430;0.7378780886772247;1;;;
5;Can ou personalize your account and card images directly fom the overview screen in George;3;Create and Edit Sections.txt;1326-1607;0.7437951211353913;1;;;
6;add image to accoudnt George;1;A Picture tells a 1000 Words.txt;631-919;0.6989637814217536;1;1;1.0;1.0
6;add image to accoudnt George;2;A Picture tells a 1000 Words.txt;2188-2479;0.6851780086625167;1;;;
6;add image to accoudnt George;3;A Picture tells a 1000 Words.txt;477-761;0.6560809189965062;1;;;
7;delete custom picture George online;1;A Picture tells a 1000 Words.txt;2188-2479;0.5853893892710923;1;1;1.0;1.0
7;delete custom picture George online;2;A Picture tells a 1000 Words.txt;631-919;0.5699922816619254;1;;;
7;delete custom picture George online;3;Colour up.txt;2109-2384;0.5604590731641889;1;;;
8;change account/card image eGorge app;1;A Picture tells a 1000 Words.txt;1504-1784;0.6004931824324982;1;1;1.0;1.0
8;change account/card image eGorge app;2;A Picture tells a 1000 Words.txt;2188-2479;0.6615831890934176;1;;;
8;change account/card image eGorge app;3;A Picture tells a 1000 Words.txt;2725-3014;0.5897360308765315;1;;;
9;personalization options in ! George;1;Name your Accounts & Cards.txt;2519-2783;0.6693311078892323;1;1;1.0;1.0
9;personalization options in ! George;2;A Picture tells a 1000 Words.txt;3143-3430;0.6178241809599413;1;;;
9;personalization options in ! George;3;Colour up.txt;1977-2272;0.6157436615798995;1;;;
10;cusomize images from Georeg overview;1;Name your Accounts & Cards.txt;3059-3324;0.4407193353530092;1;1;1.0;0.6666666666666666
10;cusomize images from Georeg overview;2;Create and Edit Sections.txt;1326-1607;0.42068784661051634;1;;;
10;cusomize images from Georeg overview;3;Message Your Advisor.txt;2518-2774;0.3830896776054795;0;;;
11;How can you acce ? s your account settings in George via the app and the browser ?;1;Get to know George Pro.txt;2869-3147;0.6814864740019819;1;1;1.0;1.0
11;How can you acce ? s your account settings in George via the app and the browser ?;2;Create a Personal Username for Browser Logins.txt;278-546;0.7221279494712107;1;;;
11;How can you acce ? s your account settings in George via the app and the browser ?;3;Account Settings.txt;140-438;0.7092566589587905;1;;;
12;What information is available in he Info or Product Settings sections of yuour giro account;1;Account Settings.txt;1301-1595;0.7783185098531803;1;1;1.0;1.0
12;What information is available in he Info or Product Settings sections of yuour giro account;2;Account Settings.txt;1401-1667;0.774368640050501;1;;;
