Query ID;Query;Retrieved Passage ID;Document Title;Position;Cosine Similarity;Relevance Score;Hits@3;MRR@3;Precision@3
1;Wie aktiviert man George Pro?;1;Get to know George Pro.txt;2588-2883;0.6169214320537074;1;1;1.0;1.0
1;Wie aktiviert man George Pro?;2;Get to know George Pro.txt;2685-2978;0.607139565495121;1;;;
1;Wie aktiviert man George Pro?;3;Get to know George Pro.txt;1896-2192;0.6035515714399097;1;;;
2;Welche Funktionen bietet das Rechnungs-Management in George Pro?;1;Get to know George Pro.txt;7087-7375;0.603887329569039;1;1;1.0;1.0
2;Welche Funktionen bietet das Rechnungs-Management in George Pro?;2;Get to know George Pro.txt;6984-7279;0.5933468534718456;1;;;
2;Welche Funktionen bietet das Rechnungs-Management in George Pro?;3;Get to know George Pro.txt;6887-7183;0.5605974137022048;1;;;
3;Was beinhaltet die Cashflow-Prognose bei George Pro?;1;Get to know George Pro.txt;10705-11002;0.615748233279921;1;1;1.0;1.0
3;Was beinhaltet die Cashflow-Prognose bei George Pro?;2;Get to know George Pro.txt;10903-11201;0.5967442064120942;1;;;
3;Was beinhaltet die Cashflow-Prognose bei George Pro?;3;Get to know George Pro.txt;10805-11098;0.5653909720006771;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen?;1;What's the Difference between your Order List and your Transaction History?.txt;1226-1523;0.4596351271410988;1;1;1.0;1.0
4;Wie funktioniert der Export von Transaktionen und Rechnungen?;2;What's the Difference between your Order List and your Transaction History?.txt;1879-2178;0.43318084531903744;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen?;3;What's the Difference between your Order List and your Transaction History?.txt;454-745;0.41157861870679785;1;;;
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt werden?;1;Get to know George Pro.txt;5624-5923;0.60137499145523;1;1;1.0;1.0
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt werden?;2;Get to know George Pro.txt;4944-5241;0.5442474577484655;1;;;
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt werden?;3;Get to know George Pro.txt;3952-4241;0.5331966805345516;1;;;
6;Aktivierung von George Pro Schritt-für-Schritt;1;Get to know George Pro.txt;2588-2883;0.6257141124688487;1;1;1.0;1.0
6;Aktivierung von George Pro Schritt-für-Schritt;2;Get to know George Pro.txt;1896-2192;0.6090958459645792;1;;;
6;Aktivierung von George Pro Schritt-für-Schritt;3;Get to know George Pro.txt;2486-2782;0.6073429799466368;1;;;
7;Automatischer Rechnungsabgleich mit George Pro;1;Get to know George Pro.txt;7178-7470;0.5494460695796949;1;1;1.0;1.0
7;Automatischer Rechnungsabgleich mit George Pro;2;Get to know George Pro.txt;4044-4341;0.5430220463256594;1;;;
7;Automatischer Rechnungsabgleich mit George Pro;3;Get to know George Pro.txt;911-1210;0.5375203613037217;1;;;
8;Liquditätsprognose in George Pro Funktionen;1;Get to know George Pro.txt;4444-4741;0.5972047600471382;1;1;1.0;1.0
8;Liquditätsprognose in George Pro Funktionen;2;Get to know George Pro.txt;4254-4551;0.5489194831526812;1;;;
8;Liquditätsprognose in George Pro Funktionen;3;Get to know George Pro.txt;4044-4341;0.5458377089920596;1;;;
9;Exportfunktion George Pro Buchhaltungsdaten;1;Get to know George Pro.txt;911-1210;0.6122917730864239;1;1;1.0;1.0
9;Exportfunktion George Pro Buchhaltungsdaten;2;Get to know George Pro.txt;5440-5736;0.5751980098770314;1;;;
9;Exportfunktion George Pro Buchhaltungsdaten;3;Get to know George Pro.txt;545-841;0.565871883345745;1;;;
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;1;Your Savings Account Overview.txt;3203-3499;0.38472941620434065;0;0;0.0;0.0
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;2;Get to know George Pro.txt;13956-14255;0.38437935051432826;0;;;
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;3;Name your Accounts & Cards.txt;2329-2626;0.3543825755133436;0;;;
11;George Benachrichtigungen aktivieren;1;Credit Card Notifications from George.txt;1278-1576;0.544813733703067;1;1;1.0;1.0
11;George Benachrichtigungen aktivieren;2;Credit Card Notifications from George.txt;2771-3070;0.5161375526498007;1;;;
11;George Benachrichtigungen aktivieren;3;How and Where You Receive Notifications.txt;1199-1498;0.5120963683363265;1;;;
12;Push-Benachrichtigungen Themenauswahl;1;Credit Card Notifications from George.txt;3741-4037;0.41308580908608666;1;1;1.0;0.3333333333333333
12;Push-Benachrichtigungen Themenauswahl;2;How and Where You Receive Notifications.txt;1199-1498;0.35985099442553165;0;;;
12;Push-Benachrichtigungen Themenauswahl;3;How and Where You Receive Notifications.txt;1348-1639;0.3564502542401834;0;;;
13;George Konto Transaktionsbenachrichtigungen;1;How and Where You Receive Notifications.txt;2972-3271;0.5502384536510172;1;1;1.0;1.0
13;George Konto Transaktionsbenachrichtigungen;2;What's the Difference between your Order List and your Transaction History?.txt;556-853;0.5309412036685159;1;;;
13;George Konto Transaktionsbenachrichtigungen;3;How and Where You Receive Notifications.txt;3074-3365;0.5301470879172545;1;;;
14;Benachrichtigungen in Systemeinstellungen aktivieren;1;How and Where You Receive Notifications.txt;1613-1887;0.4980716728819098;1;1;1.0;1.0
14;Benachrichtigungen in Systemeinstellungen aktivieren;2;Credit Card Notifications from George.txt;4529-4816;0.42504505413471033;1;;;
14;Benachrichtigungen in Systemeinstellungen aktivieren;3;Credit Card Notifications from George.txt;2771-3070;0.41931723116656705;1;;;
15;Benachrichtigung bei Währungsumrechnung George;1;How and Where You Receive Notifications.txt;3074-3365;0.49991022591256273;1;1;1.0;1.0
15;Benachrichtigung bei Währungsumrechnung George;2;How and Where You Receive Notifications.txt;1793-2091;0.49416443303070134;1;;;
15;Benachrichtigung bei Währungsumrechnung George;3;How and Where You Receive Notifications.txt;2972-3271;0.4733919415406899;1;;;
16;Wie aktiviere ich Benachrichtigungen in George?;1;How and Where You Receive Notifications.txt;344-641;0.5621604647424352;1;1;1.0;1.0
16;Wie aktiviere ich Benachrichtigungen in George?;2;How and Where You Receive Notifications.txt;1199-1498;0.5169840366650597;1;;;
16;Wie aktiviere ich Benachrichtigungen in George?;3;How and Where You Receive Notifications.txt;2723-3018;0.5093764518118861;1;;;
17;Benachrichtigungen über George einstellen;1;How and Where You Receive Notifications.txt;344-641;0.5504884358430107;1;1;1.0;1.0
17;Benachrichtigungen über George einstellen;2;How and Where You Receive Notifications.txt;443-742;0.5179680489630598;1;;;
17;Benachrichtigungen über George einstellen;3;Credit Card Notifications from George.txt;1278-1576;0.5148281726007606;1;;;
18;Für welche Themen kann man Benachrichtigungen in George erhalten?;1;How and Where You Receive Notifications.txt;1199-1498;0.6122986658932462;1;1;1.0;1.0
18;Für welche Themen kann man Benachrichtigungen in George erhalten?;2;How and Where You Receive Notifications.txt;2723-3018;0.6004041262173365;1;;;
18;Für welche Themen kann man Benachrichtigungen in George erhalten?;3;Credit Card Notifications from George.txt;752-1048;0.5574604990527172;1;;;
19;Benachrichtigungsthemen bei George bearbeiten;1;How and Where You Receive Notifications.txt;344-641;0.47122888551498127;1;1;1.0;1.0
19;Benachrichtigungsthemen bei George bearbeiten;2;Credit Card Notifications from George.txt;1278-1576;0.46442787665270124;1;;;
19;Benachrichtigungsthemen bei George bearbeiten;3;How and Where You Receive Notifications.txt;443-742;0.44375903840474;1;;;
20;Wie informiert George über Kontobewegungen?;1;How and Where You Receive Notifications.txt;2972-3271;0.5409053357124542;1;1;1.0;1.0
20;Wie informiert George über Kontobewegungen?;2;How and Where You Receive Notifications.txt;3074-3365;0.5384450093511659;1;;;
20;Wie informiert George über Kontobewegungen?;3;How and Where You Receive Notifications.txt;1793-2091;0.5335109986851245;1;;;
21;George Push bei Transaktionen;1;How to Search & Find Transactions with George.txt;904-1203;0.47701285462426535;1;1;1.0;1.0
21;George Push bei Transaktionen;2;How to Search & Find Transactions with George.txt;1659-1958;0.46091611564951085;1;;;
21;George Push bei Transaktionen;3;Upcoming Orders.txt;252-542;0.4562856931983319;1;;;
22;Systemeinstellungen für Benachrichtigungen aktivieren;1;How and Where You Receive Notifications.txt;1613-1887;0.4681097372901507;1;1;1.0;0.3333333333333333
22;Systemeinstellungen für Benachrichtigungen aktivieren;2;How and Where You Receive Notifications.txt;1441-1736;0.39674387883702267;0;;;
22;Systemeinstellungen für Benachrichtigungen aktivieren;3;Credit Card Notifications from George.txt;4619-4916;0.39579403848195494;0;;;
23;George Benachrichtigungen im Handy aktivieren;1;Credit Card Notifications from George.txt;2771-3070;0.5464688801138136;1;1;1.0;1.0
23;George Benachrichtigungen im Handy aktivieren;2;Credit Card Notifications from George.txt;1278-1576;0.5290212811740027;1;;;
23;George Benachrichtigungen im Handy aktivieren;3;Credit Card Notifications from George.txt;4619-4916;0.5134723055509807;1;;;
24;George Benachrichtigung bei Kartenzahlung mit Fremdwährung;1;How and Where You Receive Notifications.txt;1793-2091;0.5147953666016357;1;1;1.0;1.0
24;George Benachrichtigung bei Kartenzahlung mit Fremdwährung;2;Credit Card Notifications from George.txt;4038-4328;0.5081055062762723;1;;;
24;George Benachrichtigung bei Kartenzahlung mit Fremdwährung;3;How and Where You Receive Notifications.txt;3074-3365;0.5017275384438865;1;;;
25;Push bei Währungsumrechnung aktivieren;1;Account Settings.txt;2060-2354;0.36233363351828723;0;0;0.0;0.0
25;Push bei Währungsumrechnung aktivieren;2;Send now: Instant Payments (SEPA).txt;3369-3668;0.3513486775228384;0;;;
25;Push bei Währungsumrechnung aktivieren;3;Send now: Instant Payments (SEPA).txt;2369-2668;0.3402509622087737;0;;;
26;Wie kann man das App-Symbol in der George App ändern?;1;How to Change Your App Icon.txt;167-460;0.6423194990131804;1;1;1.0;1.0
26;Wie kann man das App-Symbol in der George App ändern?;2;How to Change Your App Icon.txt;0-300;0.5940616848527474;1;;;
26;Wie kann man das App-Symbol in der George App ändern?;3;How to Change Your App Icon.txt;262-557;0.567067200850491;1;;;
27;Welche Farboptionen stehen beim Ändern des App-Symbols zur Verfügung?;1;How to Change Your App Icon.txt;978-1274;0.5720570012373549;1;1;1.0;1.0
27;Welche Farboptionen stehen beim Ändern des App-Symbols zur Verfügung?;2;How to Change Your App Icon.txt;781-1080;0.48296016530766733;1;;;
27;Welche Farboptionen stehen beim Ändern des App-Symbols zur Verfügung?;3;How to Change Your App Icon.txt;167-460;0.47493814704936965;1;;;
28;Ist das Ändern des App-Symbols auch auf Android möglich?;1;How to Change Your App Icon.txt;167-460;0.44752711614234364;1;1;1.0;1.0
28;Ist das Ändern des App-Symbols auch auf Android möglich?;2;How to Change Your App Icon.txt;558-853;0.4334020442234993;1;;;
28;Ist das Ändern des App-Symbols auch auf Android möglich?;3;Credit Card Features.txt;2414-2707;0.430401969893288;1;;;
29;Wo in der George App befindet sich die Option zum Ändern des App-Symbols?;1;How to Change Your App Icon.txt;167-460;0.573892309195041;1;1;1.0;1.0
29;Wo in der George App befindet sich die Option zum Ändern des App-Symbols?;2;How to Change Your App Icon.txt;978-1274;0.5667309814065491;1;;;
29;Wo in der George App befindet sich die Option zum Ändern des App-Symbols?;3;How to Change Your App Icon.txt;0-300;0.5377084382309859;1;;;
30;Kann das App-Symbol in der George App jederzeit geändert werden?;1;How to Change Your App Icon.txt;167-460;0.6046464100411607;1;1;1.0;1.0
30;Kann das App-Symbol in der George App jederzeit geändert werden?;2;How to Change Your App Icon.txt;262-557;0.5789805646449316;1;;;
30;Kann das App-Symbol in der George App jederzeit geändert werden?;3;Get Started with the George App on a New Device (George ID).txt;1974-2272;0.527624118952068;1;;;
31;George App Symbol ändern – wie funktioniert das?;1;How to Change Your App Icon.txt;167-460;0.633201074387269;1;1;1.0;1.0
31;George App Symbol ändern – wie funktioniert das?;2;How to Change Your App Icon.txt;0-300;0.5746383251619795;1;;;
31;George App Symbol ändern – wie funktioniert das?;3;How to Change Your App Icon.txt;262-557;0.5676258675410697;1;;;
32;App-Symbol Farben in der George App – welche Auswahl gibt es?;1;Colour up.txt;437-730;0.5770632140405849;1;1;1.0;1.0
32;App-Symbol Farben in der George App – welche Auswahl gibt es?;2;How to Change Your App Icon.txt;167-460;0.5483811129091518;1;;;
32;App-Symbol Farben in der George App – welche Auswahl gibt es?;3;Colour up.txt;538-837;0.5473467689993846;1;;;
33;App-Symbol anpassen – wann wird Android unterstützt?;1;How to Change Your App Icon.txt;558-853;0.4757352049128205;1;1;1.0;1.0
33;App-Symbol anpassen – wann wird Android unterstützt?;2;George Help: Get Started with the George App on a New Device (s Identity).txt;4290-4588;0.41162949488538475;1;;;
33;App-Symbol anpassen – wann wird Android unterstützt?;3;How to Change Your App Icon.txt;659-873;0.40806030475383703;1;;;
34;Menüpfad zum App-Symbol ändern in George – wo finde ich ihn?;1;How to Change Your App Icon.txt;167-460;0.5006734884299183;1;1;1.0;1.0
34;Menüpfad zum App-Symbol ändern in George – wo finde ich ihn?;2;How to Change Your App Icon.txt;0-300;0.4792705229187269;1;;;
34;Menüpfad zum App-Symbol ändern in George – wo finde ich ihn?;3;How to Change George's Language.txt;1718-2015;0.47158568847693155;1;;;
35;App-Icon in George App zurücksetzen oder neu wählen – ist das möglich?;1;How to Change Your App Icon.txt;167-460;0.5515922719534591;1;1;1.0;1.0
35;App-Icon in George App zurücksetzen oder neu wählen – ist das möglich?;2;How to Change Your App Icon.txt;262-557;0.5390530615200022;1;;;
35;App-Icon in George App zurücksetzen oder neu wählen – ist das möglich?;3;George Help: Get Started with the George App on a New Device (s Identity).txt;5855-6153;0.5113280437441962;1;;;
36;Währungsrechner in George finden;1;Currency Converter.txt;150-448;0.5078856145855173;1;1;1.0;1.0
36;Währungsrechner in George finden;2;Currency Converter.txt;255-553;0.48595260522879885;1;;;
36;Währungsrechner in George finden;3;How to Search & Find Transactions with George.txt;275-567;0.4603723794146891;1;;;
37;Betrag umrechnen in Fremdwährung;1;Special Transfers: International.txt;3087-3382;0.48442755705351936;1;1;1.0;1.0
37;Betrag umrechnen in Fremdwährung;2;Special Transfers: International.txt;2994-3286;0.4684591616775438;1;;;
37;Betrag umrechnen in Fremdwährung;3;Special Transfers: International.txt;1399-1698;0.4664755245962311;1;;;
38;App-Symbol gedrückt halten für Währungsrechner;1;Currency Converter.txt;877-1174;0.42123821811070394;1;1;1.0;1.0
38;App-Symbol gedrückt halten für Währungsrechner;2;Currency Converter.txt;1029-1324;0.41383831548009714;1;;;
38;App-Symbol gedrückt halten für Währungsrechner;3;Google Pay.txt;3593-3889;0.40308330328627057;1;;;
