Query ID;Query;Retrieved Passage ID;Document Title;Position;Cosine Similarity;Relevance Score;Hits@3;MRR@3;Precision@3
1;Wie aktiviert man George Pro ?;1;George Pro: eine Einführung.txt;3129-3394;0.7041759857098243;1;1;1.0;1.0
1;Wie aktiviert man George Pro ?;2;George Pro: eine Einführung.txt;3036-3305;0.674975448921068;1;;;
1;Wie aktiviert man George Pro ?;3;George Pro: eine Einführung.txt;1419-1695;0.652127607892396;1;;;
2;Welche Funktionen bietet das Rechnungs-Management in ? eorge Pro ?;1;George Pro: eine Einführung.txt;6553-6841;0.6423391891271717;1;1;1.0;1.0
2;Welche Funktionen bietet das Rechnungs-Management in ? eorge Pro ?;2;George Pro: eine Einführung.txt;6399-6692;0.5870887128191482;1;;;
2;Welche Funktionen bietet das Rechnungs-Management in ? eorge Pro ?;3;George Pro: eine Einführung.txt;5884-6167;0.5830646162644617;1;;;
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro ?;1;George Pro: eine Einführung.txt;11218-11509;0.5611088538358764;1;1;1.0;1.0
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro ?;2;George Pro: eine Einführung.txt;11375-11641;0.5361514127808469;1;;;
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro ?;3;George Pro: eine Einführung.txt;11459-11724;0.5239881397752313;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen ?;1;George Pro: eine Einführung.txt;13760-14022;0.5478553257755421;1;1;1.0;1.0
4;Wie funktioniert der Export von Transaktionen und Rechnungen ?;2;Besondere Überweisungen: Auslandsüberweisungen.txt;1471-1761;0.5439683954123115;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen ?;3;George Pro: eine Einführung.txt;13663-13942;0.5439367009483185;1;;;
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt ewrden ?;1;George Pro: eine Einführung.txt;6079-6359;0.6151942549369853;1;1;1.0;1.0
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt ewrden ?;2;George Pro: eine Einführung.txt;6767-7058;0.5791309032805685;1;;;
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt ewrden ?;3;George Pro: eine Einführung.txt;1328-1612;0.5683560527744591;1;;;
6;Aktivierung von George Pro Schritt-für-Schritt;1;George Pro: eine Einführung.txt;3129-3394;0.7319308542189404;1;1;1.0;1.0
6;Aktivierung von George Pro Schritt-für-Schritt;2;George Pro: eine Einführung.txt;3036-3305;0.7308197826626831;1;;;
6;Aktivierung von George Pro Schritt-für-Schritt;3;George Pro: eine Einführung.txt;1419-1695;0.6617387493010626;1;;;
7;Automatischer Rechnungsabgleich mit George Pro;1;George Pro: eine Einführung.txt;1045-1327;0.5811611434400255;1;1;1.0;1.0
7;Automatischer Rechnungsabgleich mit George Pro;2;George Pro: eine Einführung.txt;7651-7936;0.5529223087601376;1;;;
7;Automatischer Rechnungsabgleich mit George Pro;3;George Pro: eine Einführung.txt;4289-4571;0.552265148220406;1;;;
8;Liquditätsprognose in George Pro Funktionen;1;George Pro: eine Einführung.txt;6399-6692;0.6388250530476437;1;1;1.0;1.0
8;Liquditätsprognose in George Pro Funktionen;2;George Pro: eine Einführung.txt;6079-6359;0.5766875838192581;1;;;
8;Liquditätsprognose in George Pro Funktionen;3;George Pro: eine Einführung.txt;4082-4377;0.5635133757342924;1;;;
9;ExportfunktionGeorgeProBuchhaltungsdaten;1;George Pro: eine Einführung.txt;13663-13942;0.5654238673940927;1;1;1.0;1.0
9;ExportfunktionGeorgeProBuchhaltungsdaten;2;George Pro: eine Einführung.txt;6079-6359;0.5324285920940937;1;;;
9;ExportfunktionGeorgeProBuchhaltungsdaten;3;George Pro: eine Einführung.txt;590-883;0.5232914890382974;1;;;
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;1;George Pro: eine Einführung.txt;9479-9735;0.48558077859712584;1;1;1.0;1.0
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;2;George Pro: eine Einführung.txt;14949-15234;0.4656499616663534;1;;;
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;3;Tipps & Tricks für Ihre Suche.txt;4808-5084;0.46442659551679655;1;;;
11;Geroge Benachrichtigungen aktivieren;1;Benachrichtigungen von George.txt;4766-5047;0.4888266266679213;1;1;1.0;1.0
11;Geroge Benachrichtigungen aktivieren;2;Benachrichtigungen von George.txt;4979-5243;0.4745508748824205;1;;;
11;Geroge Benachrichtigungen aktivieren;3;Benachrichtigungen von George.txt;6387-6655;0.4628922978180321;1;;;
12;Push-Benachrichtigugen Themenauswahl;1;Wo und wie Sie Benachrichtigungen erhalten.txt;1223-1499;0.4093640689750612;1;1;1.0;0.3333333333333333
