Query ID;Query;Retrieved Passage ID;Document Title;Position;Cosine Similarity;Relevance Score;Hits@3;MRR@3;Precision@3
1;How can you add a c ... stom picture to an account or card in George ?;1;A Picture tells a 1000 Words.txt;477-761;0.6307544467168289;1;1;1.0;1.0
1;How can you add a c ... stom picture to an account or card in George ?;2;A Picture tells a 1000 Words.txt;344-641;0.579384576026535;1;;;
1;How can you add a c ... stom picture to an account or card in George ?;3;A Picture tells a 1000 Words.txt;564-827;0.5708959937683171;1;;;
2;What steps are required to delete a personalized picture in George via the web browser ?;1;Claim a Credit Card Payment.txt;1750-2042;0.4838996086560789;1;1;1.0;1.0
2;What steps are required to delete a personalized picture in George via the web browser ?;2;A Picture tells a 1000 Words.txt;477-761;0.47237814209845874;1;;;
2;What steps are required to delete a personalized picture in George via the web browser ?;3;How to Change Your App Icon.txt;269-553;0.45198013943512505;1;;;
3;How can you change a picture for an account or card using the George app;1;A Picture tells a 1000 Words.txt;477-761;0.6534331895262773;1;1;1.0;1.0
3;How can you change a picture for an account or card using the George app;2;How to Change Your App Icon.txt;165-449;0.626121114792753;1;;;
3;How can you change a picture for an account or card using the George app;3;A Picture tells a 1000 Words.txt;564-827;0.6090317123822565;1;;;
4;What other personalization options besides pictures aore available in George;1;Manage your Accounts & Cards.txt;2572-2851;0.5409681843971061;1;1;1.0;1.0
4;What other personalization options besides pictures aore available in George;2;Create and Edit Sections.txt;1127-1412;0.5387423314420023;1;;;
4;What other personalization options besides pictures aore available in George;3;A Picture tells a 1000 Words.txt;477-761;0.5309914288626012;1;;;
5;Can ou personalize your account and card images directly fom the overview screen in George;1;A Picture tells a 1000 Words.txt;477-761;0.6365383652969177;1;1;1.0;1.0
5;Can ou personalize your account and card images directly fom the overview screen in George;2;Name your Accounts & Cards.txt;362-658;0.6173555092609848;1;;;
5;Can ou personalize your account and card images directly fom the overview screen in George;3;Colour up.txt;2198-2496;0.6159530501288529;1;;;
6;add image to accoudnt George;1;A Picture tells a 1000 Words.txt;477-761;0.5283604441546993;1;1;1.0;1.0
6;add image to accoudnt George;2;A Picture tells a 1000 Words.txt;564-827;0.48971900022309955;1;;;
6;add image to accoudnt George;3;A Picture tells a 1000 Words.txt;631-919;0.4589046828177096;1;;;
7;delete custom picture George online;1;A Picture tells a 1000 Words.txt;477-761;0.5042094569355645;1;1;1.0;0.6666666666666666
7;delete custom picture George online;2;A Picture tells a 1000 Words.txt;564-827;0.4389187449225734;1;;;
7;delete custom picture George online;3;Change Your Background.txt;388-673;0.3932146539683101;0;;;
8;change account/card image eGorge app;1;A Picture tells a 1000 Words.txt;2188-2479;0.5039704869820045;1;1;1.0;1.0
