Query ID;Query;Retrieved Passage ID;Document Title;Position;Cosine Similarity;Relevance Score;Hits@3;MRR@3;Precision@3
1;Wie aktiviert man George kPro;1;George Pro: eine Einführung.txt;3129-3394;0.6647991242745517;1;1;1.0;1.0
1;Wie aktiviert man George kPro;2;George Pro: eine Einführung.txt;3036-3305;0.6313697764546637;1;;;
1;Wie aktiviert man George kPro;3;George Pro: eine Einführung.txt;1419-1695;0.6191041311419714;1;;;
2;Welch Funktionen bietet das Rechnungs-Management in George Pro;1;George Pro: eine Einführung.txt;6399-6692;0.7228421980276282;1;1;1.0;1.0
2;Welch Funktionen bietet das Rechnungs-Management in George Pro;2;George Pro: eine Einführung.txt;6553-6841;0.6884657622739538;1;;;
2;Welch Funktionen bietet das Rechnungs-Management in George Pro;3;George Pro: eine Einführung.txt;154-427;0.6422735383079949;1;;;
3;Was beinhaltet die Cashflow-Prognose bei Geoge Pro ?;1;George Pro: eine Einführung.txt;11375-11641;0.6286168224188566;1;1;1.0;1.0
3;Was beinhaltet die Cashflow-Prognose bei Geoge Pro ?;2;George Pro: eine Einführung.txt;11554-11836;0.6164737732729253;1;;;
3;Was beinhaltet die Cashflow-Prognose bei Geoge Pro ?;3;George Pro: eine Einführung.txt;11459-11724;0.6137528055389556;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen ?;1;George Pro: eine Einführung.txt;13760-14022;0.5478553257755421;1;1;1.0;1.0
4;Wie funktioniert der Export von Transaktionen und Rechnungen ?;2;Besondere Überweisungen: Auslandsüberweisungen.txt;1471-1761;0.5439683954123115;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen ?;3;George Pro: eine Einführung.txt;13663-13942;0.5439367009483185;1;;;
5;oWfür können Labels und Geschäftskontakte in George Pro genutzt werden ?;1;George Pro: eine Einführung.txt;6079-6359;0.613007172018512;1;1;1.0;1.0
5;oWfür können Labels und Geschäftskontakte in George Pro genutzt werden ?;2;George Pro: eine Einführung.txt;6767-7058;0.5968344711367919;1;;;
5;oWfür können Labels und Geschäftskontakte in George Pro genutzt werden ?;3;George Pro: eine Einführung.txt;1328-1612;0.575757346013311;1;;;
6;Aktivierung von George Pro Schrit-für-Schritt;1;George Pro: eine Einführung.txt;3129-3394;0.7065189445519564;1;1;1.0;1.0
6;Aktivierung von George Pro Schrit-für-Schritt;2;George Pro: eine Einführung.txt;3036-3305;0.6945101848139666;1;;;
6;Aktivierung von George Pro Schrit-für-Schritt;3;George Pro: eine Einführung.txt;1419-1695;0.6430340187484028;1;;;
7;Automatisccher Rechnungsabgleich mit George Pro;1;George Pro: eine Einführung.txt;1045-1327;0.5714317176301144;1;1;1.0;1.0
7;Automatisccher Rechnungsabgleich mit George Pro;2;George Pro: eine Einführung.txt;4289-4571;0.5619026261958676;1;;;
7;Automatisccher Rechnungsabgleich mit George Pro;3;George Pro: eine Einführung.txt;6399-6692;0.5392404066817;1;;;
8;Liquditätsprognose in Geroge Pro Funktion ... n;1;George Pro: eine Einführung.txt;6399-6692;0.42095403435405887;1;1;1.0;0.3333333333333333
8;Liquditätsprognose in Geroge Pro Funktion ... n;2;George Pro: eine Einführung.txt;685-947;0.3897709683270276;0;;;
8;Liquditätsprognose in Geroge Pro Funktion ... n;3;George Pro: eine Einführung.txt;11218-11509;0.37957014692847013;0;;;
9;Exportfunkt ... on George Pro Buchhaltungsdaten;1;George Pro: eine Einführung.txt;685-947;0.6655173761810755;1;1;1.0;1.0
9;Exportfunkt ... on George Pro Buchhaltungsdaten;2;George Pro: eine Einführung.txt;590-883;0.644013249444807;1;;;
9;Exportfunkt ... on George Pro Buchhaltungsdaten;3;George Pro: eine Einführung.txt;13663-13942;0.6437540022806642;1;;;
10;Nutzung von Labels und Kontakten für Geschäftsvorg ( nge;1;Tipps & Tricks für Ihre Suche.txt;2169-2468;0.42410032580481777;1;1;1.0;1.0
10;Nutzung von Labels und Kontakten für Geschäftsvorg ( nge;2;Tipps & Tricks für Ihre Suche.txt;4808-5084;0.42268914656714107;1;;;
10;Nutzung von Labels und Kontakten für Geschäftsvorg ( nge;3;Eine neue SEPA-Lastschrift als Creditor erstellen.txt;9307-9568;0.42012973121776653;1;;;
11;George Benachrichtigungen aktivieren;1;Benachrichtigungen von George.txt;4979-5243;0.6700764998807445;1;1;1.0;1.0
11;George Benachrichtigungen aktivieren;2;Benachrichtigungen von George.txt;4766-5047;0.6178307026782762;1;;;
11;George Benachrichtigungen aktivieren;3;Wo und wie Sie Benachrichtigungen erhalten.txt;448-737;0.5904114746156361;1;;;
12;Push-Benachrichtigungen Thcemenauswahl;1;Benachrichtigungen von George.txt;2407-2702;0.44524244783209566;1;1;1.0;0.3333333333333333
12;Push-Benachrichtigungen Thcemenauswahl;2;Benachrichtigungen von George.txt;1018-1312;0.39453024196947556;0;;;
12;Push-Benachrichtigungen Thcemenauswahl;3;Benachrichtigungen von George.txt;2518-2805;0.3925878382049518;0;;;
13;Geore Konto Transaktionsbenachrichtigungen;1;Wo und wie Sie Benachrichtigungen erhalten.txt;2900-3182;0.5452350229112296;1;1;1.0;1.0
13;Geore Konto Transaktionsbenachrichtigungen;2;Wo und wie Sie Benachrichtigungen erhalten.txt;1834-2123;0.5430341432825126;1;;;
