Query ID;Query;Retrieved Passage ID;Document Title;Position;Cosine Similarity;Relevance Score;Hits@3;MRR@3;Precision@3
1;Wie aktiviert man George Pro ?;1;Get to know George Pro.txt;3230-3510;0.8639153074041984;1;1;1.0;1.0
1;Wie aktiviert man George Pro ?;2;Get to know George Pro.txt;1965-2247;0.8599680418364986;1;;;
1;Wie aktiviert man George Pro ?;3;Get to know George Pro.txt;2062-2354;0.8513015826730995;1;;;
2;Welche Funktionen bietet das Rechnungs-Management in ? eorge Pro ?;1;Get to know George Pro.txt;6840-7128;0.8719342975692769;1;1;1.0;1.0
2;Welche Funktionen bietet das Rechnungs-Management in ? eorge Pro ?;2;Get to know George Pro.txt;704-992;0.8614128015686107;1;;;
2;Welche Funktionen bietet das Rechnungs-Management in ? eorge Pro ?;3;Get to know George Pro.txt;6669-6948;0.8578553299381176;1;;;
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro ?;1;Get to know George Pro.txt;10329-10624;0.8636598197655445;1;1;1.0;1.0
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro ?;2;Get to know George Pro.txt;704-992;0.8597242168476916;1;;;
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro ?;3;Get to know George Pro.txt;10672-10952;0.8547865482532164;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen ?;1;Account Statements.txt;4300-4594;0.8126573644794721;1;1;1.0;1.0
4;Wie funktioniert der Export von Transaktionen und Rechnungen ?;2;Export Your Search Results.txt;165-441;0.8026458714884903;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen ?;3;Account Settings.txt;1969-2227;0.7998814491791022;1;;;
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt ewrden ?;1;Get to know George Pro.txt;5524-5796;0.849287096995768;1;1;1.0;1.0
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt ewrden ?;2;Get to know George Pro.txt;13585-13876;0.844273524085515;1;;;
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt ewrden ?;3;Get to know George Pro.txt;704-992;0.8398754913554503;1;;;
6;Aktivierung von George Pro Schritt-für-Schritt;1;Get to know George Pro.txt;3230-3510;0.8569658742079108;1;1;1.0;1.0
6;Aktivierung von George Pro Schritt-für-Schritt;2;Get to know George Pro.txt;890-1155;0.8563634895856821;1;;;
6;Aktivierung von George Pro Schritt-für-Schritt;3;Get to know George Pro.txt;1965-2247;0.8559103915140398;1;;;
7;Automatischer Rechnungsabgleich mit George Pro;1;Get to know George Pro.txt;1101-1397;0.8868103150823824;1;1;1.0;1.0
7;Automatischer Rechnungsabgleich mit George Pro;2;Get to know George Pro.txt;7796-8070;0.8795504806988862;1;;;
7;Automatischer Rechnungsabgleich mit George Pro;3;Get to know George Pro.txt;7038-7315;0.8751290049370289;1;;;
8;Liquditätsprognose in George Pro Funktionen;1;Get to know George Pro.txt;704-992;0.8479573891272068;1;1;1.0;1.0
8;Liquditätsprognose in George Pro Funktionen;2;Get to know George Pro.txt;10329-10624;0.845099208978011;1;;;
8;Liquditätsprognose in George Pro Funktionen;3;Get to know George Pro.txt;10579-10850;0.8429274476116038;1;;;
9;ExportfunktionGeorgeProBuchhaltungsdaten;1;Get to know George Pro.txt;704-992;0.8518548512825286;1;1;1.0;1.0
9;ExportfunktionGeorgeProBuchhaltungsdaten;2;Get to know George Pro.txt;12437-12730;0.8465230910416071;1;;;
9;ExportfunktionGeorgeProBuchhaltungsdaten;3;Get to know George Pro.txt;6840-7128;0.8452270266356064;1;;;
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;1;Get to know George Pro.txt;13918-14206;0.8143807964068008;1;1;1.0;1.0
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;2;Get to know George Pro.txt;13726-14013;0.8111427149767089;1;;;
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;3;Get to know George Pro.txt;5524-5796;0.7927655228682784;1;;;
11;Geroge Benachrichtigungen aktivieren;1;Credit Card Notifications from George.txt;1258-1542;0.8769491152675444;1;1;1.0;1.0
11;Geroge Benachrichtigungen aktivieren;2;Credit Card Notifications from George.txt;5895-6179;0.8656786831906258;1;;;
11;Geroge Benachrichtigungen aktivieren;3;Credit Card Notifications from George.txt;4683-4911;0.8627747270252267;1;;;
12;Push-Benachrichtigugen Themenauswahl;1;Message Your Advisor.txt;991-1273;0.8099360242994118;1;1;1.0;1.0
12;Push-Benachrichtigugen Themenauswahl;2;Get to know George Pro.txt;3324-3600;0.7941337129291184;1;;;
12;Push-Benachrichtigugen Themenauswahl;3;Special Transfers: Tax Payments.txt;4719-4948;0.794053323254122;1;;;
13;eorge Konto Transaktionsbenachrichtigungen;1;Tips & Tricks for your Search.txt;6102-6363;0.8571272498791667;1;1;1.0;1.0
13;eorge Konto Transaktionsbenachrichtigungen;2;Tips & Tricks for your Search.txt;1113-1369;0.8556647033641073;1;;;
13;eorge Konto Transaktionsbenachrichtigungen;3;Credit Card Notifications from George.txt;1691-1983;0.8553499531138803;1;;;
14;BenachrichtigungeninSystemeinstellungenaktivieren;1;How and Where You Receive Notifications.txt;1630-1921;0.8325247936620195;1;1;1.0;1.0
14;BenachrichtigungeninSystemeinstellungenaktivieren;2;Credit Card Notifications from George.txt;5364-5628;0.815334883458;1;;;
14;BenachrichtigungeninSystemeinstellungenaktivieren;3;How and Where You Receive Notifications.txt;1063-1331;0.8154483747517652;1;;;
