Query ID;Query;Retrieved Passage ID;Document Title;Position;Cosine Similarity;Relevance Score;Hits@3;MRR@3;Precision@3
1;Wie aktiviert man George kPro;1;George Pro: eine Einführung.txt;1591-1862;0.8764668002275026;1;1;1.0;1.0
1;Wie aktiviert man George kPro;2;George Pro: eine Einführung.txt;2901-3195;0.871032145577814;1;;;
1;Wie aktiviert man George kPro;3;George Pro: eine Einführung.txt;1817-2102;0.8704964679076074;1;;;
2;Welch Funktionen bietet das Rechnungs-Management in George Pro;1;George Pro: eine Einführung.txt;6553-6841;0.925478874319027;1;1;1.0;1.0
2;Welch Funktionen bietet das Rechnungs-Management in George Pro;2;George Pro: eine Einführung.txt;1045-1327;0.9146881500315143;1;;;
2;Welch Funktionen bietet das Rechnungs-Management in George Pro;3;George Pro: eine Einführung.txt;6399-6692;0.9141665133201167;1;;;
3;Was beinhaltet die Cashflow-Prognose bei Geoge Pro ?;1;George Pro: eine Einführung.txt;11642-11918;0.9087487360519859;1;1;1.0;1.0
3;Was beinhaltet die Cashflow-Prognose bei Geoge Pro ?;2;George Pro: eine Einführung.txt;11375-11641;0.8990766885386485;1;;;
3;Was beinhaltet die Cashflow-Prognose bei Geoge Pro ?;3;George Pro: eine Einführung.txt;757-1044;0.8972440812850476;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen ?;1;George Pro: eine Einführung.txt;13760-14022;0.8736349289054647;1;1;1.0;1.0
4;Wie funktioniert der Export von Transaktionen und Rechnungen ?;2;Export von Suchergebnissen.txt;226-515;0.8692936136791637;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen ?;3;George Pro: eine Einführung.txt;14306-14541;0.8655057017350228;1;;;
5;oWfür können Labels und Geschäftskontakte in George Pro genutzt werden ?;1;George Pro: eine Einführung.txt;15038-15308;0.8865342723869144;1;1;1.0;1.0
5;oWfür können Labels und Geschäftskontakte in George Pro genutzt werden ?;2;George Pro: eine Einführung.txt;15130-15395;0.8830621621207776;1;;;
5;oWfür können Labels und Geschäftskontakte in George Pro genutzt werden ?;3;George Pro: eine Einführung.txt;5986-6273;0.8828401720768289;1;;;
6;Aktivierung von George Pro Schrit-für-Schritt;1;George Pro: eine Einführung.txt;3036-3305;0.9079411511895908;1;1;1.0;1.0
6;Aktivierung von George Pro Schrit-für-Schritt;2;George Pro: eine Einführung.txt;1983-2251;0.9045317262307981;1;;;
6;Aktivierung von George Pro Schrit-für-Schritt;3;George Pro: eine Einführung.txt;1591-1862;0.9033153745964935;1;;;
7;Automatisccher Rechnungsabgleich mit George Pro;1;George Pro: eine Einführung.txt;10239-10523;0.9159833936657868;1;1;1.0;1.0
7;Automatisccher Rechnungsabgleich mit George Pro;2;George Pro: eine Einführung.txt;8431-8712;0.9010936147441081;1;;;
7;Automatisccher Rechnungsabgleich mit George Pro;3;George Pro: eine Einführung.txt;1045-1327;0.8996388629786058;1;;;
8;Liquditätsprognose in Geroge Pro Funktion ... n;1;George Pro: eine Einführung.txt;1045-1327;0.8771964752957957;1;1;1.0;1.0
8;Liquditätsprognose in Geroge Pro Funktion ... n;2;George Pro: eine Einführung.txt;11375-11641;0.8746782262721734;1;;;
8;Liquditätsprognose in Geroge Pro Funktion ... n;3;George Pro: eine Einführung.txt;757-1044;0.8705008384029399;1;;;
9;Exportfunkt ... on George Pro Buchhaltungsdaten;1;George Pro: eine Einführung.txt;13850-14120;0.8993461164461465;1;1;1.0;1.0
9;Exportfunkt ... on George Pro Buchhaltungsdaten;2;George Pro: eine Einführung.txt;14108-14376;0.887185060937216;1;;;
9;Exportfunkt ... on George Pro Buchhaltungsdaten;3;George Pro: eine Einführung.txt;13663-13942;0.8825983298216256;1;;;
10;Nutzung von Labels und Kontakten für Geschäftsvorg ( nge;1;George Pro: eine Einführung.txt;15235-15521;0.8618659265778337;1;1;1.0;1.0
10;Nutzung von Labels und Kontakten für Geschäftsvorg ( nge;2;George Pro: eine Einführung.txt;15130-15395;0.8572090090241357;1;;;
10;Nutzung von Labels und Kontakten für Geschäftsvorg ( nge;3;George Pro: eine Einführung.txt;15038-15308;0.855566331292178;1;;;
11;George Benachrichtigungen aktivieren;1;Wo und wie Sie Benachrichtigungen erhalten.txt;575-869;0.9075321716100413;1;1;1.0;1.0
11;George Benachrichtigungen aktivieren;2;Benachrichtigungen von George.txt;1536-1802;0.9057754951600716;1;;;
11;George Benachrichtigungen aktivieren;3;Benachrichtigungen von George.txt;6827-7124;0.8997426566407656;1;;;
12;Push-Benachrichtigungen Thcemenauswahl;1;Benachrichtigungen von George.txt;2518-2805;0.8674015325567122;1;1;1.0;1.0
12;Push-Benachrichtigungen Thcemenauswahl;2;Benachrichtigungen von George.txt;3928-4202;0.8625711607287541;1;;;
12;Push-Benachrichtigungen Thcemenauswahl;3;Benachrichtigungen von George.txt;1018-1312;0.8579598089882583;1;;;
13;Geore Konto Transaktionsbenachrichtigungen;1;Wo und wie Sie Benachrichtigungen erhalten.txt;1655-1917;0.8827926903199093;1;1;1.0;1.0
13;Geore Konto Transaktionsbenachrichtigungen;2;Benachrichtigungen von George.txt;2703-2973;0.8805224074623766;1;;;
13;Geore Konto Transaktionsbenachrichtigungen;3;Wo und wie Sie Benachrichtigungen erhalten.txt;2900-3182;0.8766847773868485;1;;;
14;Benbachrichtigungen in Systemeinstellungen aktivieren;1;Wo und wie Sie Benachrichtigungen erhalten.txt;1560-1845;0.8605285616585179;1;1;1.0;1.0
14;Benbachrichtigungen in Systemeinstellungen aktivieren;2;Wo und wie Sie Benachrichtigungen erhalten.txt;1500-1709;0.8464857875845035;1;;;
14;Benbachrichtigungen in Systemeinstellungen aktivieren;3;Benachrichtigungen von George.txt;2974-3249;0.8375752177046636;1;;;
15;BenachrichtigujngbeiWährungsumrechnungGeorge;1;Währungsrechner.txt;151-433;0.9078011222437647;1;1;1.0;1.0
15;BenachrichtigujngbeiWährungsumrechnungGeorge;2;Währungsrechner.txt;1446-1732;0.9051692651587437;1;;;
15;BenachrichtigujngbeiWährungsumrechnungGeorge;3;Wo und wie Sie Benachrichtigungen erhalten.txt;3223-3519;0.9045492944850658;1;;;
16;Wie aktiviere ich Benachrichtigungen in George ?;1;Wo und wie Sie Benachrichtigungen erhalten.txt;575-869;0.9249882275165704;1;1;1.0;1.0
16;Wie aktiviere ich Benachrichtigungen in George ?;2;Benachrichtigungen von George.txt;2974-3249;0.9133534348000366;1;;;
16;Wie aktiviere ich Benachrichtigungen in George ?;3;Benachrichtigungen von George.txt;1536-1802;0.9121111621111492;1;;;
17;Benachrichtigungen übr George enistellen;1;Wo und wie Sie Benachrichtigungen erhalten.txt;575-869;0.9156151980673455;1;1;1.0;1.0
17;Benachrichtigungen übr George enistellen;2;Benachrichtigungen von George.txt;1536-1802;0.9108188671586148;1;;;
17;Benachrichtigungen übr George enistellen;3;Benachrichtigungen von George.txt;1435-1702;0.8983243722316093;1;;;
18;Für welche Themen kann man Benachrichtigungen in George ehalten;1;Wo und wie Sie Benachrichtigungen erhalten.txt;2780-3065;0.9058429363552046;1;1;1.0;1.0
18;Für welche Themen kann man Benachrichtigungen in George ehalten;2;Wo und wie Sie Benachrichtigungen erhalten.txt;575-869;0.899812670411497;1;;;
18;Für welche Themen kann man Benachrichtigungen in George ehalten;3;Benachrichtigungen von George.txt;1536-1802;0.8955511949033704;1;;;
19;Benachrich.igungsthemen bei George bearbeiten;1;Benachrichtigungen von George.txt;3505-3775;0.8537048985518789;1;1;1.0;1.0
19;Benachrich.igungsthemen bei George bearbeiten;2;Transaktionen suchen und finden.txt;3582-3862;0.8529359650133164;1;;;
19;Benachrich.igungsthemen bei George bearbeiten;3;Durchgeführte Aufträge.txt;2630-2880;0.8531115512160955;1;;;
20;Wie informiert George ber Kotobewegungen ?;1;Wo und wie Sie Benachrichtigungen erhalten.txt;3009-3294;0.8583048486906573;1;1;1.0;1.0
20;Wie informiert George ber Kotobewegungen ?;2;Benachrichtigungen von George.txt;2111-2406;0.8550625216333687;1;;;
20;Wie informiert George ber Kotobewegungen ?;3;Benachrichtigungen von George.txt;3505-3775;0.8550601712252632;1;;;
21;Ge ( rge Push mit Transaktionen;1;Ihre Sparkonto Übersicht.txt;1917-2214;0.8416327244435247;1;1;1.0;1.0
21;Ge ( rge Push mit Transaktionen;2;Tipps & Tricks für Ihre Suche.txt;4209-4506;0.838369397244598;1;;;
21;Ge ( rge Push mit Transaktionen;3;Ihre Kontohistorie.txt;2489-2785;0.8380574327495851;1;;;
22;Systemein ... tellungen für Benachrichtigungen aktivieen;1;Wo und wie Sie Benachrichtigungen erhalten.txt;1560-1845;0.8877165318673785;1;1;1.0;1.0
22;Systemein ... tellungen für Benachrichtigungen aktivieen;2;Wo und wie Sie Benachrichtigungen erhalten.txt;1500-1709;0.8844983615626653;1;;;
22;Systemein ... tellungen für Benachrichtigungen aktivieen;3;Wo und wie Sie Benachrichtigungen erhalten.txt;1404-1697;0.8790209422339497;1;;;
23;Georg Benachrichtig-ngen im Handy aktivieren;1;Benachrichtigungen von George.txt;6827-7124;0.905749758435001;1;1;1.0;1.0
