Query ID;Query;Retrieved Passage ID;Document Title;Position;Cosine Similarity;Relevance Score;Hits@3;MRR@3;Precision@3
1;Wi aktiviert man Gorege Pro ?;1;George Pro: eine Einführung.txt;1591-1862;0.8948511960297698;1;1;1.0;1.0
1;Wi aktiviert man Gorege Pro ?;2;George Pro: eine Einführung.txt;1696-1982;0.8874279219478868;1;;;
1;Wi aktiviert man Gorege Pro ?;3;George Pro: eine Einführung.txt;2901-3195;0.8814429112361597;1;;;
2;Welche Funktionen bietet das Rechnuns-Management in Gesorge Pro ?;1;George Pro: eine Einführung.txt;6553-6841;0.898472529007126;1;1;1.0;1.0
2;Welche Funktionen bietet das Rechnuns-Management in Gesorge Pro ?;2;George Pro: eine Einführung.txt;7651-7936;0.8868366291807697;1;;;
2;Welche Funktionen bietet das Rechnuns-Management in Gesorge Pro ?;3;George Pro: eine Einführung.txt;1045-1327;0.883595888586834;1;;;
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro;1;George Pro: eine Einführung.txt;11375-11641;0.8958339149594062;1;1;1.0;1.0
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro;2;George Pro: eine Einführung.txt;757-1044;0.8956764127220314;1;;;
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro;3;George Pro: eine Einführung.txt;5884-6167;0.894827155698309;1;;;
4;WiefunktioniertderExportvonTransaktionenundRechnungen ?;1;George Pro: eine Einführung.txt;13760-14022;0.8782079744928006;1;1;1.0;1.0
4;WiefunktioniertderExportvonTransaktionenundRechnungen ?;2;George Pro: eine Einführung.txt;13850-14120;0.8619671278042274;1;;;
4;WiefunktioniertderExportvonTransaktionenundRechnungen ?;3;George Pro: eine Einführung.txt;14306-14541;0.8615537806841813;1;;;
5;nWofür können Labels und Geschäftskontakte in George Pro genutzt werden ?;1;George Pro: eine Einführung.txt;15038-15308;0.8845477424601179;1;1;1.0;1.0
