Query ID;Query;Retrieved Passage ID;Document Title;Position;Cosine Similarity;Relevance Score;Hits@3;MRR@3;Precision@3
1;Wie aktiviert man George Pro?;1;Get to know George Pro.txt;1981-2278;0.6361343590460293;1;1;1.0;1.0
1;Wie aktiviert man George Pro?;2;Get to know George Pro.txt;3291-3564;0.6300595691389782;1;;;
1;Wie aktiviert man George Pro?;3;Get to know George Pro.txt;1801-2099;0.6119405340249675;1;;;
2;Welche Funktionen bietet das Rechnungs-Management in George Pro?;1;Get to know George Pro.txt;1016-1310;0.6535363563399041;1;1;1.0;1.0
2;Welche Funktionen bietet das Rechnungs-Management in George Pro?;2;Get to know George Pro.txt;7090-7380;0.655898399328452;1;;;
2;Welche Funktionen bietet das Rechnungs-Management in George Pro?;3;Get to know George Pro.txt;6990-7289;0.6601819510825504;1;;;
3;Was beinhaltet die Cashflow-Prognose bei George Pro?;1;Get to know George Pro.txt;10915-11208;0.6154479376190218;1;1;1.0;0.6666666666666666
3;Was beinhaltet die Cashflow-Prognose bei George Pro?;2;Get to know George Pro.txt;10707-11006;0.5913536709345246;0;;;
3;Was beinhaltet die Cashflow-Prognose bei George Pro?;3;Get to know George Pro.txt;10809-11108;0.6112074308443833;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen?;1;Get to know George Pro.txt;12813-13110;0.5163937290856874;0;0;0.0;0.0
4;Wie funktioniert der Export von Transaktionen und Rechnungen?;2;Export Your Search Results.txt;367-666;0.5198340989542044;0;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen?;3;Export Your Search Results.txt;266-565;0.49088165764176567;0;;;
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt werden?;1;Get to know George Pro.txt;13969-14267;0.64205179362542;1;1;1.0;1.0
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt werden?;2;Get to know George Pro.txt;14074-14371;0.6387124199945007;1;;;
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt werden?;3;Get to know George Pro.txt;5624-5923;0.6167824818016026;1;;;
6;Aktivierung von George Pro Schritt-für-Schritt;1;Get to know George Pro.txt;1981-2278;0.6040177167614742;1;1;1.0;1.0
6;Aktivierung von George Pro Schritt-für-Schritt;2;Get to know George Pro.txt;3291-3564;0.6239769548784709;1;;;
6;Aktivierung von George Pro Schritt-für-Schritt;3;Get to know George Pro.txt;1801-2099;0.6181150270368478;1;;;
7;Automatischer Rechnungsabgleich mit George Pro;1;Get to know George Pro.txt;7183-7475;0.622051145456008;1;1;1.0;0.6666666666666666
7;Automatischer Rechnungsabgleich mit George Pro;2;Get to know George Pro.txt;8332-8627;0.5979098943685313;0;;;
7;Automatischer Rechnungsabgleich mit George Pro;3;Get to know George Pro.txt;8154-8452;0.6072578337685243;1;;;
8;Liquditätsprognose in George Pro Funktionen;1;Get to know George Pro.txt;12385-12680;0.6751574834028669;1;1;1.0;1.0
8;Liquditätsprognose in George Pro Funktionen;2;Get to know George Pro.txt;10809-11108;0.6316883474500558;1;;;
8;Liquditätsprognose in George Pro Funktionen;3;Get to know George Pro.txt;10915-11208;0.6207747416227969;1;;;
9;Exportfunktion George Pro Buchhaltungsdaten;1;Get to know George Pro.txt;12614-12909;0.6439719026556419;1;1;1.0;1.0
9;Exportfunktion George Pro Buchhaltungsdaten;2;Get to know George Pro.txt;12713-13011;0.6139738355681773;1;;;
9;Exportfunktion George Pro Buchhaltungsdaten;3;Get to know George Pro.txt;12482-12779;0.6041908265220156;1;;;
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;1;Get to know George Pro.txt;14173-14471;0.5841584467326058;0;0;0.0;0.0
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;2;Get to know George Pro.txt;13969-14267;0.5935923720122482;0;;;
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;3;Get to know George Pro.txt;13213-13506;0.5487267936064839;0;;;
11;George Benachrichtigungen aktivieren;1;Credit Card Notifications from George.txt;1377-1672;0.6410955390069726;1;1;1.0;1.0
11;George Benachrichtigungen aktivieren;2;Credit Card Notifications from George.txt;1278-1575;0.645393806321252;1;;;
11;George Benachrichtigungen aktivieren;3;Credit Card Notifications from George.txt;2863-3162;0.6024115217275199;1;;;
12;Push-Benachrichtigungen Themenauswahl;1;How and Where You Receive Notifications.txt;1347-1639;0.5886692355472962;0;0;0.0;0.0
12;Push-Benachrichtigungen Themenauswahl;2;Credit Card Notifications from George.txt;2385-2680;0.5376631326166859;0;;;
12;Push-Benachrichtigungen Themenauswahl;3;How and Where You Receive Notifications.txt;1198-1497;0.5356059938864104;0;;;
13;George Konto Transaktionsbenachrichtigungen;1;How and Where You Receive Notifications.txt;1794-2085;0.6244254623749498;1;1;1.0;1.0
13;George Konto Transaktionsbenachrichtigungen;2;How and Where You Receive Notifications.txt;3016-3315;0.6470811168680803;1;;;
13;George Konto Transaktionsbenachrichtigungen;3;How and Where You Receive Notifications.txt;2918-3215;0.6513150675075506;1;;;
14;Benachrichtigungen in Systemeinstellungen aktivieren;1;Credit Card Notifications from George.txt;2863-3162;0.565266813318641;0;0;0.0;0.0
14;Benachrichtigungen in Systemeinstellungen aktivieren;2;How and Where You Receive Notifications.txt;1615-1889;0.5797713892779943;0;;;
14;Benachrichtigungen in Systemeinstellungen aktivieren;3;How and Where You Receive Notifications.txt;2626-2921;0.5447462119789326;0;;;
15;Benachrichtigung bei Währungsumrechnung George;1;How and Where You Receive Notifications.txt;2097-2396;0.6713980093309264;1;1;1.0;1.0
15;Benachrichtigung bei Währungsumrechnung George;2;How and Where You Receive Notifications.txt;3016-3315;0.6606824994126355;1;;;
15;Benachrichtigung bei Währungsumrechnung George;3;How and Where You Receive Notifications.txt;1991-2287;0.6572248698186244;1;;;
