Query ID;Query;Retrieved Passage ID;Document Title;Position;Cosine Similarity;Relevance Score;Hits@3;MRR@3;Precision@3
1;Wi aktiviert man Gorege Pro ?;1;Get to know George Pro.txt;1965-2247;0.48906753394760516;0;0;0.0;0.0
1;Wi aktiviert man Gorege Pro ?;2;Get to know George Pro.txt;4164-4461;0.5115393586061147;0;;;
1;Wi aktiviert man Gorege Pro ?;3;Get to know George Pro.txt;1545-1836;0.5035263673303167;0;;;
2;Welche Funktionen bietet das Rechnuns-Management in Gesorge Pro ?;1;Get to know George Pro.txt;6840-7128;0.6238820698173765;1;1;1.0;0.6666666666666666
2;Welche Funktionen bietet das Rechnuns-Management in Gesorge Pro ?;2;Get to know George Pro.txt;6780-7037;0.6074828597704276;1;;;
2;Welche Funktionen bietet das Rechnuns-Management in Gesorge Pro ?;3;Get to know George Pro.txt;6930-7223;0.5904678130725604;0;;;
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro;1;Get to know George Pro.txt;10763-11036;0.669869431519776;1;1;1.0;1.0
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro;2;Get to know George Pro.txt;10499-10762;0.6538330318286487;1;;;
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro;3;Get to know George Pro.txt;10672-10952;0.6633696164589207;1;;;
4;WiefunktioniertderExportvonTransaktionenundRechnungen ?;1;Export Your Search Results.txt;266-535;0.5823924848005901;0;0;0.0;0.0
4;WiefunktioniertderExportvonTransaktionenundRechnungen ?;2;Export Your Search Results.txt;357-633;0.560554535403388;0;;;
4;WiefunktioniertderExportvonTransaktionenundRechnungen ?;3;Get to know George Pro.txt;12532-12828;0.5565300703744882;0;;;
5;nWofür können Labels und Geschäftskontakte in George Pro genutzt werden ?;1;Get to know George Pro.txt;13726-14013;0.6815676819474942;1;1;1.0;1.0
5;nWofür können Labels und Geschäftskontakte in George Pro genutzt werden ?;2;Get to know George Pro.txt;13816-14095;0.6582985640311811;1;;;
5;nWofür können Labels und Geschäftskontakte in George Pro genutzt werden ?;3;Get to know George Pro.txt;12829-13118;0.6134241055366713;1;;;
6;Aktivieurng von George Pro Schritt-für-Schritt;1;Get to know George Pro.txt;2619-2913;0.6276346682744967;1;1;1.0;1.0
6;Aktivieurng von George Pro Schritt-für-Schritt;2;Get Started with the George App on a New Device (George ID).txt;3793-4042;0.6233347483486722;1;;;
6;Aktivieurng von George Pro Schritt-für-Schritt;3;Get to know George Pro.txt;1965-2247;0.60333292791735;1;;;
7;Automatischer Rechnungsabgleich mit George Pro;1;Get to know George Pro.txt;7038-7315;0.6536342097782708;1;1;1.0;0.6666666666666666
7;Automatischer Rechnungsabgleich mit George Pro;2;Get to know George Pro.txt;8161-8448;0.586932722619838;0;;;
7;Automatischer Rechnungsabgleich mit George Pro;3;Get to know George Pro.txt;6840-7128;0.6481653722691478;1;;;
8;Liquditätsprognose in Georhge Pro Funktionen;1;Get to know George Pro.txt;12176-12448;0.6274663862127767;1;1;1.0;0.6666666666666666
8;Liquditätsprognose in Georhge Pro Funktionen;2;Get to know George Pro.txt;12084-12363;0.6081836148631838;1;;;
8;Liquditätsprognose in Georhge Pro Funktionen;3;Get to know George Pro.txt;10763-11036;0.592119835165626;0;;;
9;ExportfunktonGeorgeProBuchhaltungsdaten;1;Get to know George Pro.txt;12364-12635;0.653812920506088;1;1;1.0;1.0
9;ExportfunktonGeorgeProBuchhaltungsdaten;2;Get to know George Pro.txt;12437-12730;0.6605907380134135;1;;;
9;ExportfunktonGeorgeProBuchhaltungsdaten;3;Get to know George Pro.txt;704-992;0.6611437236562355;1;;;
10;Ntuzung von Label_ und Kontakten für Geschäftsvorgänge;1;Get to know George Pro.txt;13726-14013;0.6291288062268422;1;1;1.0;0.3333333333333333
10;Ntuzung von Label_ und Kontakten für Geschäftsvorgänge;2;Get to know George Pro.txt;13918-14206;0.5936753407400159;0;;;
10;Ntuzung von Label_ und Kontakten für Geschäftsvorgänge;3;Get to know George Pro.txt;12919-13213;0.5697038598815524;0;;;
11;GergeBenachrichtigungenaktivieren;1;How and Where You Receive Notifications.txt;1063-1331;0.5897511862355646;0;0;0.0;0.0
11;GergeBenachrichtigungenaktivieren;2;Credit Card Notifications from George.txt;1258-1542;0.5744002637324022;0;;;
11;GergeBenachrichtigungenaktivieren;3;Credit Card Notifications from George.txt;2076-2349;0.5369313338030983;0;;;
12;Push-Benachrichtigunvgen Themenauswahl;1;How and Where You Receive Notifications.txt;1325-1587;0.5540256265212573;0;0;0.0;0.0
12;Push-Benachrichtigunvgen Themenauswahl;2;Credit Card Notifications from George.txt;2307-2589;0.5348068780588242;0;;;
12;Push-Benachrichtigunvgen Themenauswahl;3;How and Where You Receive Notifications.txt;1019-1189;0.49589999179311123;0;;;
13;Ggeorg Konto Transaktionsbenachrichtigungen;1;How and Where You Receive Notifications.txt;2921-3205;0.6395831048483563;1;1;1.0;1.0
13;Ggeorg Konto Transaktionsbenachrichtigungen;2;How and Where You Receive Notifications.txt;1394-1686;0.6345573322694635;1;;;
13;Ggeorg Konto Transaktionsbenachrichtigungen;3;How and Where You Receive Notifications.txt;2812-3082;0.6245382763723322;1;;;
