Query ID;Query;Retrieved Passage ID;Document Title;Position;Cosine Similarity;Relevance Score;Hits@3;MRR@3;Precision@3
1;How can you add a custom picture to an account or card in George?;1;A Picture tells a 1000 Words.txt;2188-2479;0.7565426549204367;1;1;1.0;1.0
1;How can you add a custom picture to an account or card in George?;2;A Picture tells a 1000 Words.txt;477-761;0.6967519401849052;1;;;
1;How can you add a custom picture to an account or card in George?;3;A Picture tells a 1000 Words.txt;631-919;0.7577382617954573;1;;;
2;What steps are required to delete a personalized picture in George via the web browser?;1;Create a Personal Username for Browser Logins.txt;201-457;0.5738866266848002;0;0;0.0;0.0
2;What steps are required to delete a personalized picture in George via the web browser?;2;Change Your Background.txt;388-673;0.5546640026435133;0;;;
2;What steps are required to delete a personalized picture in George via the web browser?;3;A Picture tells a 1000 Words.txt;2188-2479;0.5489310254824464;0;;;
3;How can you change a picture for an account or card using the George app?;1;A Picture tells a 1000 Words.txt;2188-2479;0.7743452456610909;1;1;1.0;1.0
3;How can you change a picture for an account or card using the George app?;2;A Picture tells a 1000 Words.txt;631-919;0.776532588737297;1;;;
3;How can you change a picture for an account or card using the George app?;3;A Picture tells a 1000 Words.txt;477-761;0.7067196021555157;1;;;
4;What other personalization options besides pictures are available in George?;1;A Picture tells a 1000 Words.txt;3143-3430;0.6375978916311711;1;1;1.0;1.0
4;What other personalization options besides pictures are available in George?;2;Credit Card Features.txt;2456-2737;0.6390165547712188;1;;;
4;What other personalization options besides pictures are available in George?;3;Credit Card Features.txt;2571-2835;0.6398639412362381;1;;;
5;Can you personalize your account and card images directly from the overview screen in George?;1;Colour up.txt;2109-2384;0.745851217930823;1;1;1.0;1.0
5;Can you personalize your account and card images directly from the overview screen in George?;2;A Picture tells a 1000 Words.txt;3143-3430;0.7196070043031204;1;;;
5;Can you personalize your account and card images directly from the overview screen in George?;3;Create and Edit Sections.txt;1326-1607;0.7296155802209184;1;;;
6;add image to account George;1;A Picture tells a 1000 Words.txt;477-761;0.6694823388119218;1;1;1.0;1.0
6;add image to account George;2;A Picture tells a 1000 Words.txt;631-919;0.7097039459755519;1;;;
6;add image to account George;3;A Picture tells a 1000 Words.txt;2188-2479;0.6961891305091099;1;;;
7;delete custom picture George online;1;A Picture tells a 1000 Words.txt;2188-2479;0.5853893892710923;0;0;0.0;0.0
7;delete custom picture George online;2;A Picture tells a 1000 Words.txt;631-919;0.5699922816619254;0;;;
7;delete custom picture George online;3;Colour up.txt;2109-2384;0.5604590731641889;0;;;
8;change account/card image George app;1;A Picture tells a 1000 Words.txt;2188-2479;0.7526512527529619;1;1;1.0;1.0
8;change account/card image George app;2;A Picture tells a 1000 Words.txt;631-919;0.7668752264521359;1;;;
8;change account/card image George app;3;A Picture tells a 1000 Words.txt;564-827;0.7097818488879215;1;;;
9;personalization options in George;1;Credit Card Features.txt;2456-2737;0.6325033369437465;1;1;1.0;1.0
9;personalization options in George;2;Get to know George Pro.txt;1965-2247;0.6267245061320013;1;;;
9;personalization options in George;3;A Picture tells a 1000 Words.txt;3143-3430;0.6147331409419188;1;;;
10;customize images from George overview;1;Change Your Background.txt;835-1132;0.6776742150549673;1;1;1.0;1.0
10;customize images from George overview;2;Create and Edit Sections.txt;1326-1607;0.65171876996525;1;;;
10;customize images from George overview;3;Colour up.txt;2109-2384;0.6619564945902758;1;;;
