Query ID;Query;Retrieved Passage ID;Document Title;Position;Cosine Similarity;Relevance Score;Hits@3;MRR@3;Precision@3
1;Wi aktiviert man Gorege Pro ?;1;George Pro: eine Einführung.txt;1591-1862;0.6287688896123748;1;1;1.0;0.3333333333333333
1;Wi aktiviert man Gorege Pro ?;2;George Pro: eine Einführung.txt;3308-3566;0.5981675581304002;0;;;
1;Wi aktiviert man Gorege Pro ?;3;So starten Sie die George App auf einem neuen Gerät (s Identity).txt;6188-6476;0.5598782066345618;0;;;
2;Welche Funktionen bietet das Rechnuns-Management in Gesorge Pro ?;1;George Pro: eine Einführung.txt;6553-6841;0.7288365270193724;1;1;1.0;1.0
2;Welche Funktionen bietet das Rechnuns-Management in Gesorge Pro ?;2;George Pro: eine Einführung.txt;1045-1327;0.7026482164064769;1;;;
2;Welche Funktionen bietet das Rechnuns-Management in Gesorge Pro ?;3;George Pro: eine Einführung.txt;7651-7936;0.6662780914423645;1;;;
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro;1;George Pro: eine Einführung.txt;11642-11918;0.7446234234906186;1;1;1.0;1.0
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro;2;George Pro: eine Einführung.txt;11375-11641;0.7545088038239616;1;;;
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro;3;George Pro: eine Einführung.txt;11554-11836;0.7429451280057792;1;;;
4;WiefunktioniertderExportvonTransaktionenundRechnungen ?;1;George Pro: eine Einführung.txt;13760-14022;0.6847822596668676;1;1;1.0;1.0
4;WiefunktioniertderExportvonTransaktionenundRechnungen ?;2;Export von Suchergebnissen.txt;226-515;0.6640174429827375;1;;;
4;WiefunktioniertderExportvonTransaktionenundRechnungen ?;3;George Pro: eine Einführung.txt;13850-14120;0.6507958968128084;1;;;
5;nWofür können Labels und Geschäftskontakte in George Pro genutzt werden ?;1;George Pro: eine Einführung.txt;15130-15395;0.8020095546090735;1;1;1.0;1.0
5;nWofür können Labels und Geschäftskontakte in George Pro genutzt werden ?;2;George Pro: eine Einführung.txt;15038-15308;0.7452287166621101;1;;;
5;nWofür können Labels und Geschäftskontakte in George Pro genutzt werden ?;3;George Pro: eine Einführung.txt;14949-15234;0.7375264327366381;1;;;
6;Aktivieurng von George Pro Schritt-für-Schritt;1;George Pro: eine Einführung.txt;3308-3566;0.7368697586220183;1;1;1.0;1.0
6;Aktivieurng von George Pro Schritt-für-Schritt;2;George Pro: eine Einführung.txt;3129-3394;0.7112121637705919;1;;;
6;Aktivieurng von George Pro Schritt-für-Schritt;3;George Pro: eine Einführung.txt;3196-3477;0.7078724209626918;1;;;
7;Automatischer Rechnungsabgleich mit George Pro;1;George Pro: eine Einführung.txt;10239-10523;0.7905971052387613;1;1;1.0;1.0
7;Automatischer Rechnungsabgleich mit George Pro;2;George Pro: eine Einführung.txt;7651-7936;0.7639165975129453;1;;;
7;Automatischer Rechnungsabgleich mit George Pro;3;George Pro: eine Einführung.txt;10153-10433;0.7632607313724686;1;;;
8;Liquditätsprognose in Georhge Pro Funktionen;1;George Pro: eine Einführung.txt;11642-11918;0.6797459104882636;1;1;1.0;1.0
8;Liquditätsprognose in Georhge Pro Funktionen;2;George Pro: eine Einführung.txt;11218-11509;0.6970462664849153;1;;;
8;Liquditätsprognose in Georhge Pro Funktionen;3;George Pro: eine Einführung.txt;11554-11836;0.6759168620405608;1;;;
9;ExportfunktonGeorgeProBuchhaltungsdaten;1;George Pro: eine Einführung.txt;13850-14120;0.6880566140745448;1;1;1.0;1.0
9;ExportfunktonGeorgeProBuchhaltungsdaten;2;George Pro: eine Einführung.txt;13663-13942;0.6914486507252107;1;;;
9;ExportfunktonGeorgeProBuchhaltungsdaten;3;George Pro: eine Einführung.txt;13760-14022;0.6765784910088086;1;;;
