Query ID;Query;Retrieved Passage ID;Document Title;Position;Cosine Similarity;Relevance Score;Hits@3;MRR@3;Precision@3
1;Wie aktiviert man George kPro;1;Get to know George Pro.txt;1816-2111;0.571925020422875;0;0;0.0;0.0
1;Wie aktiviert man George kPro;2;Get to know George Pro.txt;5707-5973;0.5466002172959069;0;;;
1;Wie aktiviert man George kPro;3;Get to know George Pro.txt;5636-5898;0.5462934726358566;0;;;
2;Welch Funktionen bietet das Rechnungs-Management in George Pro;1;Get to know George Pro.txt;6840-7128;0.6658689570341094;1;1;1.0;1.0
2;Welch Funktionen bietet das Rechnungs-Management in George Pro;2;Get to know George Pro.txt;6780-7037;0.6427983507515739;1;;;
2;Welch Funktionen bietet das Rechnungs-Management in George Pro;3;Get to know George Pro.txt;6930-7223;0.6276077422571325;1;;;
3;Was beinhaltet die Cashflow-Prognose bei Geoge Pro ?;1;Get to know George Pro.txt;10499-10762;0.5632092809244164;0;0;0.0;0.0
3;Was beinhaltet die Cashflow-Prognose bei Geoge Pro ?;2;Get to know George Pro.txt;10672-10952;0.5424559835083289;0;;;
3;Was beinhaltet die Cashflow-Prognose bei Geoge Pro ?;3;Get to know George Pro.txt;10579-10850;0.5366128956733636;0;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen ?;1;What's the Difference between your Order List and your Transaction History?.txt;985-1260;0.4407236852498686;0;0;0.0;0.0
4;Wie funktioniert der Export von Transaktionen und Rechnungen ?;2;What's the Difference between your Order List and your Transaction History?.txt;1853-2135;0.42506441820341734;0;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen ?;3;What's the Difference between your Order List and your Transaction History?.txt;1249-1546;0.42291019933279217;0;;;
5;oWfür können Labels und Geschäftskontakte in George Pro genutzt werden ?;1;Get to know George Pro.txt;5524-5796;0.5673003827944435;0;0;0.0;0.0
5;oWfür können Labels und Geschäftskontakte in George Pro genutzt werden ?;2;Get to know George Pro.txt;4896-5184;0.5510017768694614;0;;;
5;oWfür können Labels und Geschäftskontakte in George Pro genutzt werden ?;3;Get to know George Pro.txt;13726-14013;0.5356835180517397;0;;;
6;Aktivierung von George Pro Schrit-für-Schritt;1;Get to know George Pro.txt;1816-2111;0.5949896576045554;0;0;0.0;0.0
6;Aktivierung von George Pro Schrit-für-Schritt;2;Get to know George Pro.txt;890-1155;0.591219730525508;0;;;
6;Aktivierung von George Pro Schrit-für-Schritt;3;Get to know George Pro.txt;2619-2913;0.5886614247902251;0;;;
7;Automatisccher Rechnungsabgleich mit George Pro;1;Get to know George Pro.txt;993-1291;0.5799990362697444;0;0;0.0;0.0
7;Automatisccher Rechnungsabgleich mit George Pro;2;Get to know George Pro.txt;890-1155;0.5587318475872067;0;;;
7;Automatisccher Rechnungsabgleich mit George Pro;3;Get to know George Pro.txt;7038-7315;0.5471659177878857;0;;;
8;Liquditätsprognose in Geroge Pro Funktion ... n;1;Get to know George Pro.txt;10672-10952;0.38562193826950675;0;0;0.0;0.0
8;Liquditätsprognose in Geroge Pro Funktion ... n;2;Get to know George Pro.txt;10763-11036;0.3756701126976179;0;;;
8;Liquditätsprognose in Geroge Pro Funktion ... n;3;Get to know George Pro.txt;667-902;0.3622174588417415;0;;;
9;Exportfunkt ... on George Pro Buchhaltungsdaten;1;Get to know George Pro.txt;12437-12730;0.5940061552530348;0;0;0.0;0.0
9;Exportfunkt ... on George Pro Buchhaltungsdaten;2;Get to know George Pro.txt;667-902;0.5777892643395491;0;;;
9;Exportfunkt ... on George Pro Buchhaltungsdaten;3;Get to know George Pro.txt;993-1291;0.5693655010767225;0;;;
10;Nutzung von Labels und Kontakten für Geschäftsvorg ( nge;1;Name your Accounts & Cards.txt;2248-2518;0.3967871761083512;0;0;0.0;0.0
10;Nutzung von Labels und Kontakten für Geschäftsvorg ( nge;2;Get to know George Pro.txt;13726-14013;0.3782993595347852;0;;;
10;Nutzung von Labels und Kontakten für Geschäftsvorg ( nge;3;Your Savings Account Overview.txt;3163-3455;0.35593938530117625;0;;;
11;George Benachrichtigungen aktivieren;1;Credit Card Notifications from George.txt;1258-1542;0.5604813531776485;0;0;0.0;0.0
11;George Benachrichtigungen aktivieren;2;How and Where You Receive Notifications.txt;1394-1686;0.5041555761161138;0;;;
11;George Benachrichtigungen aktivieren;3;How and Where You Receive Notifications.txt;314-604;0.5011842187836166;0;;;
12;Push-Benachrichtigungen Thcemenauswahl;1;Credit Card Notifications from George.txt;2307-2589;0.35376839167180835;0;0;0.0;0.0
12;Push-Benachrichtigungen Thcemenauswahl;2;Credit Card Notifications from George.txt;3690-3976;0.29535944168679884;0;;;
12;Push-Benachrichtigungen Thcemenauswahl;3;How and Where You Receive Notifications.txt;832-1121;0.2891073615475106;0;;;
13;Geore Konto Transaktionsbenachrichtigungen;1;How and Where You Receive Notifications.txt;2921-3205;0.4456346506609218;0;0;0.0;0.0
13;Geore Konto Transaktionsbenachrichtigungen;2;What's the Difference between your Order List and your Transaction History?.txt;527-806;0.43903512069812745;0;;;
13;Geore Konto Transaktionsbenachrichtigungen;3;How and Where You Receive Notifications.txt;3024-3295;0.42613584225909795;0;;;
14;Benbachrichtigungen in Systemeinstellungen aktivieren;1;How and Where You Receive Notifications.txt;1508-1776;0.3405170089976869;0;0;0.0;0.0
14;Benbachrichtigungen in Systemeinstellungen aktivieren;2;How and Where You Receive Notifications.txt;1394-1686;0.2907743299702712;0;;;
14;Benbachrichtigungen in Systemeinstellungen aktivieren;3;Credit Card Notifications from George.txt;4463-4734;0.2834159994167838;0;;;
15;BenachrichtigujngbeiWährungsumrechnungGeorge;1;Get to know George Pro.txt;6780-7037;0.40460804908166426;0;0;0.0;0.0
15;BenachrichtigujngbeiWährungsumrechnungGeorge;2;How to Change George's Language.txt;2815-3062;0.39610466026997626;0;;;
15;BenachrichtigujngbeiWährungsumrechnungGeorge;3;How to Change George's Language.txt;2039-2296;0.37606673773694854;0;;;
16;Wie aktiviere ich Benachrichtigungen in George ?;1;How and Where You Receive Notifications.txt;2627-2920;0.5527561932427846;0;0;0.0;0.0
16;Wie aktiviere ich Benachrichtigungen in George ?;2;How and Where You Receive Notifications.txt;1138-1436;0.5461669761368488;0;;;
16;Wie aktiviere ich Benachrichtigungen in George ?;3;How and Where You Receive Notifications.txt;314-604;0.5340015921406451;0;;;
17;Benachrichtigungen übr George enistellen;1;Credit Card Notifications from George.txt;1258-1542;0.5047929732311172;0;0;0.0;0.0
17;Benachrichtigungen übr George enistellen;2;How and Where You Receive Notifications.txt;1725-2015;0.47767822901604196;0;;;
17;Benachrichtigungen übr George enistellen;3;Credit Card Notifications from George.txt;1174-1451;0.4692668693574633;0;;;
18;Für welche Themen kann man Benachrichtigungen in George ehalten;1;How and Where You Receive Notifications.txt;1138-1436;0.6319946586976257;1;1;1.0;0.6666666666666666
18;Für welche Themen kann man Benachrichtigungen in George ehalten;2;How and Where You Receive Notifications.txt;2627-2920;0.6217176418106254;1;;;
18;Für welche Themen kann man Benachrichtigungen in George ehalten;3;How and Where You Receive Notifications.txt;1325-1587;0.5813255028831308;0;;;
19;Benachrich.igungsthemen bei George bearbeiten;1;How to Change George's Language.txt;2039-2296;0.4902362008546872;0;0;0.0;0.0
19;Benachrich.igungsthemen bei George bearbeiten;2;Change Your Background.txt;388-673;0.48256981727524395;0;;;
19;Benachrich.igungsthemen bei George bearbeiten;3;How to Change George's Language.txt;2697-2994;0.48208497121240856;0;;;
20;Wie informiert George ber Kotobewegungen ?;1;How and Where You Receive Notifications.txt;1725-2015;0.5207143102867153;0;0;0.0;0.0
20;Wie informiert George ber Kotobewegungen ?;2;How and Where You Receive Notifications.txt;2627-2920;0.478264729860715;0;;;
20;Wie informiert George ber Kotobewegungen ?;3;How and Where You Receive Notifications.txt;1138-1436;0.47681014701055646;0;;;
21;Ge ( rge Push mit Transaktionen;1;How and Where You Receive Notifications.txt;2921-3205;0.34449494550212456;0;0;0.0;0.0
21;Ge ( rge Push mit Transaktionen;2;Send now: Instant Payments (SEPA).txt;882-1180;0.34144904088430195;0;;;
21;Ge ( rge Push mit Transaktionen;3;Send now: Instant Payments (SEPA).txt;990-1260;0.3376789841229616;0;;;
22;Systemein ... tellungen für Benachrichtigungen aktivieen;1;How and Where You Receive Notifications.txt;1508-1776;0.4338774145592471;0;0;0.0;0.0
22;Systemein ... tellungen für Benachrichtigungen aktivieen;2;How and Where You Receive Notifications.txt;1630-1921;0.4095316076248978;0;;;
