Query ID;Query;Retrieved Passage ID;Document Title;Position;Cosine Similarity;Relevance Score;Hits@3;MRR@3;Precision@3
1;Wie aktiviert man George Pro?;1;Get to know George Pro.txt;1816-2111;0.6134907918560012;1;1;1.0;1.0
1;Wie aktiviert man George Pro?;2;Get to know George Pro.txt;2619-2913;0.6070505637527432;1;;;
1;Wie aktiviert man George Pro?;3;Get to know George Pro.txt;2524-2818;0.6016757172955982;1;;;
2;Welche Funktionen bietet das Rechnungs-Management in George Pro?;1;Get to know George Pro.txt;6840-7128;0.6256992171634537;1;1;1.0;0.3333333333333333
2;Welche Funktionen bietet das Rechnungs-Management in George Pro?;2;Get to know George Pro.txt;6930-7223;0.5925109403969129;0;;;
2;Welche Funktionen bietet das Rechnungs-Management in George Pro?;3;Get to know George Pro.txt;6780-7037;0.5804230978289728;0;;;
3;Was beinhaltet die Cashflow-Prognose bei George Pro?;1;Get to know George Pro.txt;10499-10762;0.6288963177631053;1;1;1.0;1.0
3;Was beinhaltet die Cashflow-Prognose bei George Pro?;2;Get to know George Pro.txt;10579-10850;0.602819194394001;1;;;
3;Was beinhaltet die Cashflow-Prognose bei George Pro?;3;Get to know George Pro.txt;10672-10952;0.6020821369564238;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen?;1;What's the Difference between your Order List and your Transaction History?.txt;985-1260;0.4407236852498686;0;0;0.0;0.0
4;Wie funktioniert der Export von Transaktionen und Rechnungen?;2;What's the Difference between your Order List and your Transaction History?.txt;1853-2135;0.42506441820341734;0;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen?;3;What's the Difference between your Order List and your Transaction History?.txt;1249-1546;0.42291019933279217;0;;;
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt werden?;1;Get to know George Pro.txt;5524-5796;0.5780550533681965;0;0;0.0;0.0
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt werden?;2;Get to know George Pro.txt;4896-5184;0.5464331533625915;0;;;
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt werden?;3;Get to know George Pro.txt;3871-4163;0.5349250133145736;0;;;
6;Aktivierung von George Pro Schritt-für-Schritt;1;Get to know George Pro.txt;2619-2913;0.6273733077400994;1;1;1.0;1.0
6;Aktivierung von George Pro Schritt-für-Schritt;2;Get to know George Pro.txt;2524-2818;0.6116905172036977;1;;;
6;Aktivierung von George Pro Schritt-für-Schritt;3;Get to know George Pro.txt;1816-2111;0.609785479506757;1;;;
7;Automatischer Rechnungsabgleich mit George Pro;1;Get to know George Pro.txt;993-1291;0.5799329489206609;0;0;0.0;0.0
7;Automatischer Rechnungsabgleich mit George Pro;2;Get to know George Pro.txt;7038-7315;0.5767702323071004;0;;;
7;Automatischer Rechnungsabgleich mit George Pro;3;Get to know George Pro.txt;890-1155;0.5564755563208416;0;;;
8;Liquditätsprognose in George Pro Funktionen;1;Get to know George Pro.txt;462-760;0.5441286791259561;0;0;0.0;0.0
8;Liquditätsprognose in George Pro Funktionen;2;Get to know George Pro.txt;890-1155;0.5399484514069895;0;;;
8;Liquditätsprognose in George Pro Funktionen;3;Get to know George Pro.txt;4405-4678;0.5399465706711841;0;;;
