Query ID;Query;Retrieved Passage ID;Document Title;Position;Cosine Similarity;Relevance Score;Hits@3;MRR@3;Precision@3
1;Wie aktiviert man George Pro?;1;George Pro: eine Einführung.txt;3129-3394;0.7041759857098243;1;1;1.0;1.0
1;Wie aktiviert man George Pro?;2;George Pro: eine Einführung.txt;3036-3305;0.674975448921068;1;;;
1;Wie aktiviert man George Pro?;3;George Pro: eine Einführung.txt;1419-1695;0.652127607892396;1;;;
2;Welche Funktionen bietet das Rechnungs-Management in George Pro?;1;George Pro: eine Einführung.txt;6553-6841;0.7076047526233706;1;1;1.0;1.0
2;Welche Funktionen bietet das Rechnungs-Management in George Pro?;2;George Pro: eine Einführung.txt;6399-6692;0.6881617130429541;1;;;
2;Welche Funktionen bietet das Rechnungs-Management in George Pro?;3;George Pro: eine Einführung.txt;5884-6167;0.6443182406867499;1;;;
3;Was beinhaltet die Cashflow-Prognose bei George Pro?;1;George Pro: eine Einführung.txt;11375-11641;0.6893025526030231;1;1;1.0;1.0
3;Was beinhaltet die Cashflow-Prognose bei George Pro?;2;George Pro: eine Einführung.txt;1045-1327;0.6780365106545185;1;;;
3;Was beinhaltet die Cashflow-Prognose bei George Pro?;3;George Pro: eine Einführung.txt;11459-11724;0.6719064807006716;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen?;1;George Pro: eine Einführung.txt;13760-14022;0.5478553257755421;0;0;0.0;0.0
4;Wie funktioniert der Export von Transaktionen und Rechnungen?;2;Besondere Überweisungen: Auslandsüberweisungen.txt;1471-1761;0.5439683954123115;0;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen?;3;George Pro: eine Einführung.txt;13663-13942;0.5439367009483185;0;;;
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt werden?;1;George Pro: eine Einführung.txt;6079-6359;0.6214538614689306;1;1;1.0;0.6666666666666666
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt werden?;2;George Pro: eine Einführung.txt;6767-7058;0.6117649956950139;1;;;
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt werden?;3;George Pro: eine Einführung.txt;1328-1612;0.5783090800864763;0;;;
6;Aktivierung von George Pro Schritt-für-Schritt;1;George Pro: eine Einführung.txt;3129-3394;0.7319308542189404;1;1;1.0;1.0
6;Aktivierung von George Pro Schritt-für-Schritt;2;George Pro: eine Einführung.txt;3036-3305;0.7308197826626831;1;;;
6;Aktivierung von George Pro Schritt-für-Schritt;3;George Pro: eine Einführung.txt;1419-1695;0.6617387493010626;1;;;
7;Automatischer Rechnungsabgleich mit George Pro;1;George Pro: eine Einführung.txt;1045-1327;0.5811611434400255;0;0;0.0;0.0
7;Automatischer Rechnungsabgleich mit George Pro;2;George Pro: eine Einführung.txt;7651-7936;0.5529223087601376;0;;;
7;Automatischer Rechnungsabgleich mit George Pro;3;George Pro: eine Einführung.txt;4289-4571;0.552265148220406;0;;;
8;Liquditätsprognose in George Pro Funktionen;1;George Pro: eine Einführung.txt;6399-6692;0.6388250530476437;1;1;1.0;0.3333333333333333
8;Liquditätsprognose in George Pro Funktionen;2;George Pro: eine Einführung.txt;6079-6359;0.5766875838192581;0;;;
8;Liquditätsprognose in George Pro Funktionen;3;George Pro: eine Einführung.txt;4082-4377;0.5635133757342924;0;;;
9;Exportfunktion George Pro Buchhaltungsdaten;1;George Pro: eine Einführung.txt;13663-13942;0.6713357300642298;1;1;1.0;1.0
9;Exportfunktion George Pro Buchhaltungsdaten;2;George Pro: eine Einführung.txt;6079-6359;0.656829500306648;1;;;
9;Exportfunktion George Pro Buchhaltungsdaten;3;George Pro: eine Einführung.txt;6553-6841;0.6386585504903212;1;;;
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;1;George Pro: eine Einführung.txt;9479-9735;0.48558077859712584;0;0;0.0;0.0
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;2;George Pro: eine Einführung.txt;14949-15234;0.4656499616663534;0;;;
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;3;Tipps & Tricks für Ihre Suche.txt;4808-5084;0.46442659551679655;0;;;
11;George Benachrichtigungen aktivieren;1;Benachrichtigungen von George.txt;4979-5243;0.6700764998807445;1;1;1.0;0.6666666666666666
11;George Benachrichtigungen aktivieren;2;Benachrichtigungen von George.txt;4766-5047;0.6178307026782762;1;;;
11;George Benachrichtigungen aktivieren;3;Wo und wie Sie Benachrichtigungen erhalten.txt;448-737;0.5904114746156361;0;;;
12;Push-Benachrichtigungen Themenauswahl;1;Benachrichtigungen von George.txt;2407-2702;0.49819081673711907;0;0;0.0;0.0
12;Push-Benachrichtigungen Themenauswahl;2;Benachrichtigungen von George.txt;3928-4202;0.49150163927910867;0;;;
