Query ID;Query;Retrieved Passage ID;Document Title;Position;Cosine Similarity;Relevance Score;Hits@3;MRR@3;Precision@3
1;Wi aktiviert man Gorege Pro ?;1;George Pro: eine Einführung.txt;1591-1862;0.5596255104356896;0;0;0.0;0.0
1;Wi aktiviert man Gorege Pro ?;2;George Pro: eine Einführung.txt;2353-2618;0.5238479087350593;0;;;
1;Wi aktiviert man Gorege Pro ?;3;George Pro: eine Einführung.txt;3308-3566;0.5237361254115425;0;;;
2;Welche Funktionen bietet das Rechnuns-Management in Gesorge Pro ?;1;George Pro: eine Einführung.txt;6553-6841;0.569830378906138;0;0;0.0;0.0
2;Welche Funktionen bietet das Rechnuns-Management in Gesorge Pro ?;2;George Pro: eine Einführung.txt;5884-6167;0.5132219430318388;0;;;
2;Welche Funktionen bietet das Rechnuns-Management in Gesorge Pro ?;3;George Pro: eine Einführung.txt;6399-6692;0.5122508678400709;0;;;
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro;1;George Pro: eine Einführung.txt;11218-11509;0.5485193453888669;0;0;0.0;0.0
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro;2;George Pro: eine Einführung.txt;11375-11641;0.48064552052010034;0;;;
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro;3;George Pro: eine Einführung.txt;11642-11918;0.4724211698944738;0;;;
4;WiefunktioniertderExportvonTransaktionenundRechnungen ?;1;Was ist der Unterschied zwischen Ihrer Auftragsliste und Ihrer Transaktionshistorie?.txt;1865-2154;0.5173309746278283;0;0;0.0;0.0
4;WiefunktioniertderExportvonTransaktionenundRechnungen ?;2;Was ist der Unterschied zwischen Ihrer Auftragsliste und Ihrer Transaktionshistorie?.txt;4403-4694;0.4916830818544018;0;;;
4;WiefunktioniertderExportvonTransaktionenundRechnungen ?;3;Was ist der Unterschied zwischen Ihrer Auftragsliste und Ihrer Transaktionshistorie?.txt;3404-3669;0.48935627068234777;0;;;
5;nWofür können Labels und Geschäftskontakte in George Pro genutzt werden ?;1;George Pro: eine Einführung.txt;6079-6359;0.5987153374630402;0;0;0.0;0.0
