Query ID;Query;Retrieved Passage ID;Document Title;Position;Cosine Similarity;Relevance Score;Hits@3;MRR@3;Precision@3
1;Wie aktiviert man George Pro?;1;Get to know George Pro.txt;3230-3510;0.8674822614839308;1;1;1.0;1.0
1;Wie aktiviert man George Pro?;2;Get to know George Pro.txt;1965-2247;0.8628390888683858;1;;;
1;Wie aktiviert man George Pro?;3;Get to know George Pro.txt;2062-2354;0.8533144068605546;1;;;
2;Welche Funktionen bietet das Rechnungs-Management in George Pro?;1;Get to know George Pro.txt;6840-7128;0.876939824738757;1;1;1.0;1.0
2;Welche Funktionen bietet das Rechnungs-Management in George Pro?;2;Get to know George Pro.txt;704-992;0.8687587513168127;1;;;
2;Welche Funktionen bietet das Rechnungs-Management in George Pro?;3;Get to know George Pro.txt;6669-6948;0.8640872869061335;1;;;
3;Was beinhaltet die Cashflow-Prognose bei George Pro?;1;Get to know George Pro.txt;10329-10624;0.866419502355493;1;1;1.0;1.0
3;Was beinhaltet die Cashflow-Prognose bei George Pro?;2;Get to know George Pro.txt;10672-10952;0.8624770478282113;1;;;
3;Was beinhaltet die Cashflow-Prognose bei George Pro?;3;Get to know George Pro.txt;704-992;0.8609210516748266;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen?;1;Account Statements.txt;4300-4594;0.8142479853544544;1;1;1.0;1.0
4;Wie funktioniert der Export von Transaktionen und Rechnungen?;2;Export Your Search Results.txt;165-441;0.8046256514463428;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen?;3;Account Settings.txt;1969-2227;0.8001263642117873;1;;;
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt werden?;1;Get to know George Pro.txt;5524-5796;0.8575048757588132;1;1;1.0;1.0
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt werden?;2;Get to know George Pro.txt;704-992;0.8499589616222714;1;;;
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt werden?;3;Get to know George Pro.txt;13585-13876;0.847899950994174;1;;;
6;Aktivierung von George Pro Schritt-für-Schritt;1;Get to know George Pro.txt;3230-3510;0.8569658742079108;1;1;1.0;1.0
6;Aktivierung von George Pro Schritt-für-Schritt;2;Get to know George Pro.txt;890-1155;0.8563634895856821;1;;;
6;Aktivierung von George Pro Schritt-für-Schritt;3;Get to know George Pro.txt;1965-2247;0.8559103915140398;1;;;
7;Automatischer Rechnungsabgleich mit George Pro;1;Get to know George Pro.txt;1101-1397;0.8868103150823824;1;1;1.0;1.0
7;Automatischer Rechnungsabgleich mit George Pro;2;Get to know George Pro.txt;7796-8070;0.8795504806988862;1;;;
7;Automatischer Rechnungsabgleich mit George Pro;3;Get to know George Pro.txt;7038-7315;0.8751290049370289;1;;;
8;Liquditätsprognose in George Pro Funktionen;1;Get to know George Pro.txt;704-992;0.8479573891272068;1;1;1.0;1.0
8;Liquditätsprognose in George Pro Funktionen;2;Get to know George Pro.txt;10329-10624;0.845099208978011;1;;;
8;Liquditätsprognose in George Pro Funktionen;3;Get to know George Pro.txt;10579-10850;0.8429274476116038;1;;;
9;Exportfunktion George Pro Buchhaltungsdaten;1;Get to know George Pro.txt;704-992;0.8672370187867369;1;1;1.0;1.0
