Query ID;Query;Retrieved Passage ID;Document Title;Position;Cosine Similarity;Relevance Score;Hits@3;MRR@3;Precision@3
1;Wie aktiviert man George Pro ?;1;George Pro: eine Einführung.txt;1591-1862;0.9121399006994237;1;1;1.0;1.0
1;Wie aktiviert man George Pro ?;2;George Pro: eine Einführung.txt;1696-1982;0.9064107077843739;1;;;
1;Wie aktiviert man George Pro ?;3;George Pro: eine Einführung.txt;2901-3195;0.9051443855684795;1;;;
2;Welche Funktionen bietet das Rechnungs-Management in ? eorge Pro ?;1;George Pro: eine Einführung.txt;6553-6841;0.9219337738815863;1;1;1.0;1.0
2;Welche Funktionen bietet das Rechnungs-Management in ? eorge Pro ?;2;George Pro: eine Einführung.txt;6399-6692;0.9126342489246247;1;;;
2;Welche Funktionen bietet das Rechnungs-Management in ? eorge Pro ?;3;George Pro: eine Einführung.txt;1045-1327;0.9106866917589065;1;;;
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro ?;1;George Pro: eine Einführung.txt;11642-11918;0.9052364515184778;1;1;1.0;1.0
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro ?;2;George Pro: eine Einführung.txt;757-1044;0.9010398656437644;1;;;
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro ?;3;George Pro: eine Einführung.txt;5884-6167;0.9004743313436938;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen ?;1;George Pro: eine Einführung.txt;13760-14022;0.8735802552624864;1;1;1.0;1.0
4;Wie funktioniert der Export von Transaktionen und Rechnungen ?;2;Export von Suchergebnissen.txt;226-515;0.8690096392398028;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen ?;3;George Pro: eine Einführung.txt;14306-14541;0.8655057017350228;1;;;
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt ewrden ?;1;George Pro: eine Einführung.txt;15038-15308;0.8932926062387376;1;1;1.0;1.0
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt ewrden ?;2;George Pro: eine Einführung.txt;15130-15395;0.8895747810333445;1;;;
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt ewrden ?;3;George Pro: eine Einführung.txt;1328-1612;0.8842773937678865;1;;;
6;Aktivierung von George Pro Schritt-für-Schritt;1;George Pro: eine Einführung.txt;3036-3305;0.9105688709085691;1;1;1.0;1.0
6;Aktivierung von George Pro Schritt-für-Schritt;2;George Pro: eine Einführung.txt;1983-2251;0.9101889651662045;1;;;
6;Aktivierung von George Pro Schritt-für-Schritt;3;George Pro: eine Einführung.txt;1591-1862;0.9051079585554251;1;;;
7;Automatischer Rechnungsabgleich mit George Pro;1;George Pro: eine Einführung.txt;10239-10523;0.9168462703077699;1;1;1.0;1.0
7;Automatischer Rechnungsabgleich mit George Pro;2;George Pro: eine Einführung.txt;10325-10585;0.9062922564973729;1;;;
7;Automatischer Rechnungsabgleich mit George Pro;3;George Pro: eine Einführung.txt;8431-8712;0.9061718411454094;1;;;
8;Liquditätsprognose in George Pro Funktionen;1;George Pro: eine Einführung.txt;1045-1327;0.888645201287428;1;1;1.0;1.0
8;Liquditätsprognose in George Pro Funktionen;2;George Pro: eine Einführung.txt;6399-6692;0.8845656196085918;1;;;
8;Liquditätsprognose in George Pro Funktionen;3;George Pro: eine Einführung.txt;6553-6841;0.8814386208522957;1;;;
9;ExportfunktionGeorgeProBuchhaltungsdaten;1;George Pro: eine Einführung.txt;13850-14120;0.896323408945711;1;1;1.0;1.0
9;ExportfunktionGeorgeProBuchhaltungsdaten;2;George Pro: eine Einführung.txt;14108-14376;0.8831690194056077;1;;;
9;ExportfunktionGeorgeProBuchhaltungsdaten;3;George Pro: eine Einführung.txt;6553-6841;0.8808906899421487;1;;;
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;1;George Pro: eine Einführung.txt;15235-15521;0.8709300447536868;1;1;1.0;1.0
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;2;George Pro: eine Einführung.txt;15038-15308;0.8668537861474279;1;;;
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;3;George Pro: eine Einführung.txt;15130-15395;0.8617124727360923;1;;;
11;Geroge Benachrichtigungen aktivieren;1;Benachrichtigungen von George.txt;1536-1802;0.9198719732127877;1;1;1.0;1.0
11;Geroge Benachrichtigungen aktivieren;2;Benachrichtigungen von George.txt;6827-7124;0.9184911005432641;1;;;
11;Geroge Benachrichtigungen aktivieren;3;Wo und wie Sie Benachrichtigungen erhalten.txt;575-869;0.9167460476483584;1;;;
12;Push-Benachrichtigugen Themenauswahl;1;Wo und wie Sie Benachrichtigungen erhalten.txt;1404-1697;0.8599884458841558;1;1;1.0;1.0
12;Push-Benachrichtigugen Themenauswahl;2;Betreuer:in kontaktieren.txt;959-1198;0.859744789102032;1;;;
12;Push-Benachrichtigugen Themenauswahl;3;Benachrichtigungen von George.txt;2518-2805;0.8507161059891573;1;;;
13;eorge Konto Transaktionsbenachrichtigungen;1;Wo und wie Sie Benachrichtigungen erhalten.txt;2900-3182;0.8972171437113317;1;1;1.0;1.0
13;eorge Konto Transaktionsbenachrichtigungen;2;Wo und wie Sie Benachrichtigungen erhalten.txt;1958-2232;0.8945154405324736;1;;;
13;eorge Konto Transaktionsbenachrichtigungen;3;Wo und wie Sie Benachrichtigungen erhalten.txt;2124-2422;0.8928568693369399;1;;;
14;BenachrichtigungeninSystemeinstellungenaktivieren;1;Wo und wie Sie Benachrichtigungen erhalten.txt;1560-1845;0.9112350038605825;1;1;1.0;1.0
14;BenachrichtigungeninSystemeinstellungenaktivieren;2;Wo und wie Sie Benachrichtigungen erhalten.txt;1500-1709;0.9083158955306487;1;;;
14;BenachrichtigungeninSystemeinstellungenaktivieren;3;Wo und wie Sie Benachrichtigungen erhalten.txt;1404-1697;0.8889341694003889;1;;;
15;Benachrichtigung bei Währnugsumrechnung George;1;Wo und wie Sie Benachrichtigungen erhalten.txt;3009-3294;0.8990441541563239;1;1;1.0;1.0
15;Benachrichtigung bei Währnugsumrechnung George;2;Wo und wie Sie Benachrichtigungen erhalten.txt;3223-3519;0.8969030272466725;1;;;
15;Benachrichtigung bei Währnugsumrechnung George;3;Benachrichtigungen von George.txt;2111-2406;0.8962053664209271;1;;;
16;We aktiviere ich Benachrichtigungen in George ?;1;Wo und wie Sie Benachrichtigungen erhalten.txt;575-869;0.9099236642451274;1;1;1.0;1.0
16;We aktiviere ich Benachrichtigungen in George ?;2;Benachrichtigungen von George.txt;1536-1802;0.8998808393741147;1;;;
16;We aktiviere ich Benachrichtigungen in George ?;3;Benachrichtigungen von George.txt;1435-1702;0.8961419632510021;1;;;
17;Benachrichtigungen über George einstellen;1;Wo und wie Sie Benachrichtigungen erhalten.txt;575-869;0.938911700873812;1;1;1.0;1.0
17;Benachrichtigungen über George einstellen;2;Benachrichtigungen von George.txt;1536-1802;0.9254532422109008;1;;;
17;Benachrichtigungen über George einstellen;3;Benachrichtigungen von George.txt;1435-1702;0.9097293693926578;1;;;
18;Für welcöhe Themen kann man Benachrichtigungen in George erhalten ?;1;Wo und wie Sie Benachrichtigungen erhalten.txt;575-869;0.9016315111252661;1;1;1.0;1.0
18;Für welcöhe Themen kann man Benachrichtigungen in George erhalten ?;2;Benachrichtigungen von George.txt;1536-1802;0.8987398972354333;1;;;
18;Für welcöhe Themen kann man Benachrichtigungen in George erhalten ?;3;Wo und wie Sie Benachrichtigungen erhalten.txt;2780-3065;0.8985063183651658;1;;;
19;"Benachrichtigungsthemen bei ; George bearbeiten";1;Wo und wie Sie Benachrichtigungen erhalten.txt;2780-3065;0.9030328164784174;1;1;1.0;1.0
19;"Benachrichtigungsthemen bei ; George bearbeiten";2;Wo und wie Sie Benachrichtigungen erhalten.txt;575-869;0.8975978545332126;1;;;
19;"Benachrichtigungsthemen bei ; George bearbeiten";3;Benachrichtigungen von George.txt;1536-1802;0.8882290280833074;1;;;
20;Wie informiert George über Kontobewegungen ?;1;Wo und wie Sie Benachrichtigungen erhalten.txt;3009-3294;0.9010073576569801;1;1;1.0;1.0
20;Wie informiert George über Kontobewegungen ?;2;Wo und wie Sie Benachrichtigungen erhalten.txt;1834-2123;0.8963490274186485;1;;;
20;Wie informiert George über Kontobewegungen ?;3;Wo und wie Sie Benachrichtigungen erhalten.txt;2124-2422;0.8933274527785261;1;;;
21;George Push bi Transaktionen;1;Mit George spenden.txt;4186-4476;0.8597689529714267;1;1;1.0;1.0
21;George Push bi Transaktionen;2;Transaktionen suchen und finden.txt;194-493;0.8567036399852264;1;;;
21;George Push bi Transaktionen;3;Wo und wie Sie Benachrichtigungen erhalten.txt;2124-2422;0.8558534601034624;1;;;
22;Systemeinstellungen für Benachrichtigungen aktivieren;1;Wo und wie Sie Benachrichtigungen erhalten.txt;1500-1709;0.9112788649980131;1;1;1.0;1.0
22;Systemeinstellungen für Benachrichtigungen aktivieren;2;Wo und wie Sie Benachrichtigungen erhalten.txt;1560-1845;0.9082784438205473;1;;;
22;Systemeinstellungen für Benachrichtigungen aktivieren;3;Wo und wie Sie Benachrichtigungen erhalten.txt;1404-1697;0.9038397263364688;1;;;
23;George Benachrichtigungen im Handy atkivieren;1;Benachrichtigungen von George.txt;1536-1802;0.9015438258301092;1;1;1.0;1.0
23;George Benachrichtigungen im Handy atkivieren;2;Wo und wie Sie Benachrichtigungen erhalten.txt;575-869;0.8964248506547359;1;;;
23;George Benachrichtigungen im Handy atkivieren;3;Wo und wie Sie Benachrichtigungen erhalten.txt;1560-1845;0.8908516082064035;1;;;
24;George Benachrichtigung bei Kartenzahlung mit Fremdwährung;1;Wo und wie Sie Benachrichtigungen erhalten.txt;3109-3397;0.8963280242938154;1;1;1.0;1.0
24;George Benachrichtigung bei Kartenzahlung mit Fremdwährung;2;Wo und wie Sie Benachrichtigungen erhalten.txt;2124-2422;0.8957870088344406;1;;;
24;George Benachrichtigung bei Kartenzahlung mit Fremdwährung;3;Wo und wie Sie Benachrichtigungen erhalten.txt;3009-3294;0.895732906166628;1;;;
25;Push bei Währungsum ? echnung aktivieren;1;Wo und wie Sie Benachrichtigungen erhalten.txt;3223-3519;0.87111532063357;1;1;1.0;1.0
25;Push bei Währungsum ? echnung aktivieren;2;Währungsrechner.txt;372-665;0.857086895902467;1;;;
25;Push bei Währungsum ? echnung aktivieren;3;Währungsrechner.txt;593-890;0.8504546439295706;1;;;
26;Wie kann man das App-Symbol in der George App ändern ?;1;So ändern Sie Ihr App-Symbol.txt;798-1091;0.9053309107016636;1;1;1.0;1.0
26;Wie kann man das App-Symbol in der George App ändern ?;2;So ändern Sie Ihr App-Symbol.txt;696-992;0.9039027675979772;1;;;
