Query ID;Query;Retrieved Passage ID;Document Title;Position;Cosine Similarity;Relevance Score;Hits@3;MRR@3;Precision@3
1;How can you add a c ... stom picture to an account or card in George ?;1;A Picture tells a 1000 Words.txt;631-919;0.8939710025105136;1;1;1.0;1.0
1;How can you add a c ... stom picture to an account or card in George ?;2;A Picture tells a 1000 Words.txt;2188-2479;0.8918055932246886;1;;;
1;How can you add a c ... stom picture to an account or card in George ?;3;A Picture tells a 1000 Words.txt;477-761;0.8826718129681014;1;;;
2;What steps are required to delete a personalized picture in George via the web browser ?;1;A Picture tells a 1000 Words.txt;1942-2226;0.8569442943105505;1;1;1.0;1.0
2;What steps are required to delete a personalized picture in George via the web browser ?;2;A Picture tells a 1000 Words.txt;1745-2030;0.8495738320047146;1;;;
2;What steps are required to delete a personalized picture in George via the web browser ?;3;A Picture tells a 1000 Words.txt;1644-1941;0.8424006869337476;1;;;
3;How can you change a picture for an account or card using the George app;1;A Picture tells a 1000 Words.txt;631-919;0.924811213535664;1;1;1.0;1.0
3;How can you change a picture for an account or card using the George app;2;A Picture tells a 1000 Words.txt;2188-2479;0.9124047178764318;1;;;
3;How can you change a picture for an account or card using the George app;3;A Picture tells a 1000 Words.txt;477-761;0.9122967011621613;1;;;
4;What other personalization options besides pictures aore available in George;1;A Picture tells a 1000 Words.txt;3143-3430;0.8634826529653643;1;1;1.0;1.0
4;What other personalization options besides pictures aore available in George;2;Colour up.txt;1977-2272;0.8599362507546096;1;;;
4;What other personalization options besides pictures aore available in George;3;Name your Accounts & Cards.txt;2339-2615;0.8575214206236879;1;;;
5;Can ou personalize your account and card images directly fom the overview screen in George;1;Name your Accounts & Cards.txt;588-868;0.9126534943674531;1;1;1.0;1.0
5;Can ou personalize your account and card images directly fom the overview screen in George;2;Colour up.txt;598-860;0.9099271171836061;1;;;
5;Can ou personalize your account and card images directly fom the overview screen in George;3;Change Your Background.txt;835-1132;0.9042177051038041;1;;;
6;add image to accoudnt George;1;A Picture tells a 1000 Words.txt;631-919;0.8771753754929196;1;1;1.0;1.0
6;add image to accoudnt George;2;A Picture tells a 1000 Words.txt;477-761;0.873791449432303;1;;;
6;add image to accoudnt George;3;A Picture tells a 1000 Words.txt;2188-2479;0.8720152490009976;1;;;
7;delete custom picture George online;1;A Picture tells a 1000 Words.txt;1644-1941;0.8444187450873966;1;1;1.0;1.0
7;delete custom picture George online;2;A Picture tells a 1000 Words.txt;1745-2030;0.8417271067766102;1;;;
7;delete custom picture George online;3;A Picture tells a 1000 Words.txt;1942-2226;0.8413944299428072;1;;;
8;change account/card image eGorge app;1;A Picture tells a 1000 Words.txt;631-919;0.8514365509029953;1;1;1.0;1.0
8;change account/card image eGorge app;2;A Picture tells a 1000 Words.txt;2188-2479;0.8472609206529119;1;;;
8;change account/card image eGorge app;3;A Picture tells a 1000 Words.txt;344-641;0.8400369308000477;1;;;
9;personalization options in ! George;1;Credit Card Notifications from George.txt;770-1059;0.8532795791554247;1;1;1.0;1.0
9;personalization options in ! George;2;A Picture tells a 1000 Words.txt;3143-3430;0.8524868289535856;1;;;
