Query ID;Query;Retrieved Passage ID;Document Title;Position;Cosine Similarity;Relevance Score;Hits@3;MRR@3;Precision@3
1;Wie aktiviert man George Pro?;1;Get to know George Pro.txt;1965-2247;0.6483408070312808;1;1;1.0;1.0
1;Wie aktiviert man George Pro?;2;Get to know George Pro.txt;2619-2913;0.6088939419534387;1;;;
1;Wie aktiviert man George Pro?;3;Get to know George Pro.txt;4164-4461;0.642150744778895;1;;;
2;Welche Funktionen bietet das Rechnungs-Management in George Pro?;1;Get to know George Pro.txt;6930-7223;0.698304965830902;1;1;1.0;1.0
2;Welche Funktionen bietet das Rechnungs-Management in George Pro?;2;Get to know George Pro.txt;6840-7128;0.7122198422346331;1;;;
2;Welche Funktionen bietet das Rechnungs-Management in George Pro?;3;Get to know George Pro.txt;993-1291;0.6715466641432053;1;;;
3;Was beinhaltet die Cashflow-Prognose bei George Pro?;1;Get to know George Pro.txt;10499-10762;0.6503386105052622;1;1;1.0;1.0
3;Was beinhaltet die Cashflow-Prognose bei George Pro?;2;Get to know George Pro.txt;10672-10952;0.6473148399506434;1;;;
3;Was beinhaltet die Cashflow-Prognose bei George Pro?;3;Get to know George Pro.txt;10763-11036;0.6512308258954123;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen?;1;Export Your Search Results.txt;357-633;0.54232830792305;1;1;1.0;1.0
4;Wie funktioniert der Export von Transaktionen und Rechnungen?;2;Export Your Search Results.txt;266-535;0.5609497460858272;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen?;3;Get to know George Pro.txt;12532-12828;0.5411544475820582;1;;;
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt werden?;1;Get to know George Pro.txt;13726-14013;0.665135273376849;1;1;1.0;1.0
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt werden?;2;Get to know George Pro.txt;13816-14095;0.6408210387567648;1;;;
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt werden?;3;Get to know George Pro.txt;12829-13118;0.6002714264540829;1;;;
6;Aktivierung von George Pro Schritt-für-Schritt;1;Get to know George Pro.txt;1965-2247;0.6167480413682429;1;1;1.0;1.0
6;Aktivierung von George Pro Schritt-für-Schritt;2;Get to know George Pro.txt;2619-2913;0.6074064752814625;1;;;
6;Aktivierung von George Pro Schritt-für-Schritt;3;Get to know George Pro.txt;2717-3003;0.6348325196227856;1;;;
7;Automatischer Rechnungsabgleich mit George Pro;1;Get to know George Pro.txt;7038-7315;0.6536342097782708;1;1;1.0;1.0
7;Automatischer Rechnungsabgleich mit George Pro;2;Get to know George Pro.txt;8161-8448;0.586932722619838;1;;;
7;Automatischer Rechnungsabgleich mit George Pro;3;Get to know George Pro.txt;6840-7128;0.6481653722691478;1;;;
8;Liquditätsprognose in George Pro Funktionen;1;Get to know George Pro.txt;12176-12448;0.6657010393903936;1;1;1.0;1.0
8;Liquditätsprognose in George Pro Funktionen;2;Get to know George Pro.txt;12084-12363;0.6503414056083705;1;;;
8;Liquditätsprognose in George Pro Funktionen;3;Get to know George Pro.txt;10579-10850;0.6289438649921937;1;;;
9;Exportfunktion George Pro Buchhaltungsdaten;1;Get to know George Pro.txt;12364-12635;0.6826086562986093;1;1;1.0;1.0
9;Exportfunktion George Pro Buchhaltungsdaten;2;Get to know George Pro.txt;12437-12730;0.7187377642100059;1;;;
9;Exportfunktion George Pro Buchhaltungsdaten;3;Get to know George Pro.txt;12636-12918;0.6004938676086913;1;;;
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;1;Get to know George Pro.txt;13726-14013;0.5995307004799586;1;1;1.0;1.0
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;2;Get to know George Pro.txt;13918-14206;0.5890110923690317;1;;;
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;3;Get to know George Pro.txt;12919-13213;0.5454914584600545;1;;;
11;George Benachrichtigungen aktivieren;1;Credit Card Notifications from George.txt;2830-3110;0.6489955773295648;1;1;1.0;1.0
11;George Benachrichtigungen aktivieren;2;Credit Card Notifications from George.txt;1372-1667;0.6637114772812578;1;;;
11;George Benachrichtigungen aktivieren;3;Credit Card Notifications from George.txt;2076-2349;0.6236113998451105;1;;;
12;Push-Benachrichtigungen Themenauswahl;1;How and Where You Receive Notifications.txt;1325-1587;0.6005545655013651;1;1;1.0;1.0
12;Push-Benachrichtigungen Themenauswahl;2;Credit Card Notifications from George.txt;2307-2589;0.5697268821452349;1;;;
12;Push-Benachrichtigungen Themenauswahl;3;How and Where You Receive Notifications.txt;1138-1436;0.564351118644272;1;;;
13;George Konto Transaktionsbenachrichtigungen;1;How and Where You Receive Notifications.txt;2921-3205;0.6772701132286372;1;1;1.0;1.0
13;George Konto Transaktionsbenachrichtigungen;2;How and Where You Receive Notifications.txt;3024-3295;0.6604451693867148;1;;;
13;George Konto Transaktionsbenachrichtigungen;3;How and Where You Receive Notifications.txt;2812-3082;0.6563408777321047;1;;;
14;Benachrichtigungen in Systemeinstellungen aktivieren;1;Credit Card Notifications from George.txt;2830-3110;0.5430499594059938;1;1;1.0;1.0
14;Benachrichtigungen in Systemeinstellungen aktivieren;2;How and Where You Receive Notifications.txt;1063-1331;0.5715286042961197;1;;;
14;Benachrichtigungen in Systemeinstellungen aktivieren;3;How and Where You Receive Notifications.txt;1630-1921;0.5821125878510061;1;;;
15;Benachrichtigung bei Währungsumrechnung George;1;How and Where You Receive Notifications.txt;3024-3295;0.6872235491707503;1;1;1.0;1.0
15;Benachrichtigung bei Währungsumrechnung George;2;How and Where You Receive Notifications.txt;1910-2192;0.6585570688193751;1;;;
15;Benachrichtigung bei Währungsumrechnung George;3;How and Where You Receive Notifications.txt;3206-3489;0.676504486693047;1;;;
