Query ID;Query;Retrieved Passage ID;Document Title;Position;Cosine Similarity;Relevance Score;Hits@3;MRR@3;Precision@3
1;Wie aktiviert man George Pro ?;1;Get to know George Pro.txt;1965-2247;0.651661749070905;1;1;1.0;1.0
1;Wie aktiviert man George Pro ?;2;Get to know George Pro.txt;2619-2913;0.612003434099978;1;;;
1;Wie aktiviert man George Pro ?;3;Get to know George Pro.txt;2062-2354;0.6306354251016035;1;;;
2;Welche Funktionen bietet das Rechnungs-Management in ? eorge Pro ?;1;Get to know George Pro.txt;6930-7223;0.6509154179810387;1;1;1.0;1.0
2;Welche Funktionen bietet das Rechnungs-Management in ? eorge Pro ?;2;Get to know George Pro.txt;6840-7128;0.6587381913158042;1;;;
2;Welche Funktionen bietet das Rechnungs-Management in ? eorge Pro ?;3;Get to know George Pro.txt;993-1291;0.6306367573234481;1;;;
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro ?;1;Get to know George Pro.txt;10499-10762;0.663039385196327;1;1;1.0;1.0
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro ?;2;Get to know George Pro.txt;10763-11036;0.6608382138558022;1;;;
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro ?;3;Get to know George Pro.txt;10672-10952;0.6577275672011937;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen ?;1;Export Your Search Results.txt;357-633;0.5451274397002791;1;1;1.0;1.0
4;Wie funktioniert der Export von Transaktionen und Rechnungen ?;2;Export Your Search Results.txt;266-535;0.5637844265214678;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen ?;3;Get to know George Pro.txt;12532-12828;0.5442667420579335;1;;;
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt ewrden ?;1;Get to know George Pro.txt;13726-14013;0.6801365034105888;1;1;1.0;1.0
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt ewrden ?;2;Get to know George Pro.txt;13816-14095;0.6581156229577056;1;;;
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt ewrden ?;3;Get to know George Pro.txt;12829-13118;0.6108262314671138;1;;;
6;Aktivierung von George Pro Schritt-für-Schritt;1;Get to know George Pro.txt;1965-2247;0.6167480413682429;1;1;1.0;1.0
6;Aktivierung von George Pro Schritt-für-Schritt;2;Get to know George Pro.txt;2619-2913;0.6074064752814625;1;;;
6;Aktivierung von George Pro Schritt-für-Schritt;3;Get to know George Pro.txt;2717-3003;0.6348325196227856;1;;;
7;Automatischer Rechnungsabgleich mit George Pro;1;Get to know George Pro.txt;7038-7315;0.6536342097782708;1;1;1.0;1.0
7;Automatischer Rechnungsabgleich mit George Pro;2;Get to know George Pro.txt;8161-8448;0.586932722619838;1;;;
7;Automatischer Rechnungsabgleich mit George Pro;3;Get to know George Pro.txt;6840-7128;0.6481653722691478;1;;;
8;Liquditätsprognose in George Pro Funktionen;1;Get to know George Pro.txt;12176-12448;0.6657010393903936;1;1;1.0;1.0
8;Liquditätsprognose in George Pro Funktionen;2;Get to know George Pro.txt;12084-12363;0.6503414056083705;1;;;
8;Liquditätsprognose in George Pro Funktionen;3;Get to know George Pro.txt;10579-10850;0.6289438649921937;1;;;
9;ExportfunktionGeorgeProBuchhaltungsdaten;1;Get to know George Pro.txt;12364-12635;0.6874535492072458;1;1;1.0;1.0
9;ExportfunktionGeorgeProBuchhaltungsdaten;2;Get to know George Pro.txt;12437-12730;0.7023391153692413;1;;;
9;ExportfunktionGeorgeProBuchhaltungsdaten;3;Get to know George Pro.txt;12636-12918;0.5893148707490231;1;;;
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;1;Get to know George Pro.txt;13726-14013;0.5995307004799586;1;1;1.0;1.0
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;2;Get to know George Pro.txt;13918-14206;0.5890110923690317;1;;;
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;3;Get to know George Pro.txt;12919-13213;0.5454914584600545;1;;;
11;Geroge Benachrichtigungen aktivieren;1;Credit Card Notifications from George.txt;2076-2349;0.573256265260255;1;1;1.0;1.0
11;Geroge Benachrichtigungen aktivieren;2;Credit Card Notifications from George.txt;1258-1542;0.6036330543885526;1;;;
11;Geroge Benachrichtigungen aktivieren;3;Credit Card Notifications from George.txt;2830-3110;0.5643557565044595;1;;;
12;Push-Benachrichtigugen Themenauswahl;1;How and Where You Receive Notifications.txt;1325-1587;0.5783253406422646;1;1;1.0;1.0
12;Push-Benachrichtigugen Themenauswahl;2;Credit Card Notifications from George.txt;2307-2589;0.5486707241598819;1;;;
12;Push-Benachrichtigugen Themenauswahl;3;General Bank Messages.txt;1675-1974;0.5003441682501422;1;;;
13;eorge Konto Transaktionsbenachrichtigungen;1;How and Where You Receive Notifications.txt;2921-3205;0.6063690118947161;1;1;1.0;1.0
13;eorge Konto Transaktionsbenachrichtigungen;2;How and Where You Receive Notifications.txt;2812-3082;0.5952382177041743;1;;;
