Query ID;Query;Retrieved Passage ID;Document Title;Position;Cosine Similarity;Relevance Score;Hits@3;MRR@3;Precision@3
1;Wie aktiviert man George Pro?;1;Get to know George Pro.txt;2687-2980;0.6125250009796964;1;1;1.0;1.0
1;Wie aktiviert man George Pro?;2;Get to know George Pro.txt;1985-2284;0.6079473712610757;1;;;
1;Wie aktiviert man George Pro?;3;Get to know George Pro.txt;1805-2102;0.6043755453606563;1;;;
2;Welche Funktionen bietet das Rechnungs-Management in George Pro?;1;Get to know George Pro.txt;7081-7371;0.6711427440262314;1;1;1.0;1.0
2;Welche Funktionen bietet das Rechnungs-Management in George Pro?;2;Get to know George Pro.txt;6881-7178;0.6591531258567864;1;;;
2;Welche Funktionen bietet das Rechnungs-Management in George Pro?;3;Get to know George Pro.txt;6981-7279;0.6586524465185235;1;;;
3;Was beinhaltet die Cashflow-Prognose bei George Pro?;1;Get to know George Pro.txt;10906-11199;0.621557059948062;1;1;1.0;1.0
3;Was beinhaltet die Cashflow-Prognose bei George Pro?;2;Get to know George Pro.txt;10699-10998;0.5839789017045136;1;;;
3;Was beinhaltet die Cashflow-Prognose bei George Pro?;3;Get to know George Pro.txt;10799-11098;0.6193266871313856;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen?;1;Export Your Search Results.txt;269-566;0.518156275245254;1;1;1.0;1.0
4;Wie funktioniert der Export von Transaktionen und Rechnungen?;2;Export Your Search Results.txt;367-664;0.5213079252868037;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen?;3;Get to know George Pro.txt;12809-13106;0.5107993247714935;1;;;
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt werden?;1;Get to know George Pro.txt;13963-14260;0.646412999592666;1;1;1.0;1.0
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt werden?;2;Get to know George Pro.txt;14067-14364;0.6303445360633735;1;;;
5;Wofür können Labels und Geschäftskontakte in George Pro genutzt werden?;3;Get to know George Pro.txt;5617-5915;0.6194943529098285;1;;;
6;Aktivierung von George Pro Schritt-für-Schritt;1;Get to know George Pro.txt;2687-2980;0.6102483729477556;1;1;1.0;1.0
6;Aktivierung von George Pro Schritt-für-Schritt;2;Get to know George Pro.txt;811-1107;0.6561343894273872;1;;;
6;Aktivierung von George Pro Schritt-für-Schritt;3;Get Started with the George App on a New Device (George ID).txt;3831-4128;0.6107930416134886;1;;;
7;Automatischer Rechnungsabgleich mit George Pro;1;Get to know George Pro.txt;7173-7465;0.6180925433797496;1;1;1.0;1.0
7;Automatischer Rechnungsabgleich mit George Pro;2;Get to know George Pro.txt;8140-8437;0.580912331314561;1;;;
7;Automatischer Rechnungsabgleich mit George Pro;3;Get to know George Pro.txt;10013-10309;0.6003164955900712;1;;;
8;Liquditätsprognose in George Pro Funktionen;1;Get to know George Pro.txt;12382-12681;0.6743574582072898;1;1;1.0;1.0
8;Liquditätsprognose in George Pro Funktionen;2;Get to know George Pro.txt;10799-11098;0.632383463414525;1;;;
8;Liquditätsprognose in George Pro Funktionen;3;Get to know George Pro.txt;11004-11296;0.6442164236062242;1;;;
9;Exportfunktion George Pro Buchhaltungsdaten;1;Get to know George Pro.txt;12611-12905;0.6322263188762531;1;1;1.0;1.0
9;Exportfunktion George Pro Buchhaltungsdaten;2;Get to know George Pro.txt;12709-13007;0.6220465499985983;1;;;
9;Exportfunktion George Pro Buchhaltungsdaten;3;Get to know George Pro.txt;717-1009;0.6468835622315707;1;;;
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;1;Get to know George Pro.txt;13963-14260;0.5901027143819491;1;1;1.0;1.0
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;2;Get to know George Pro.txt;14173-14472;0.5734308951502263;1;;;
10;Nutzung von Labels und Kontakten für Geschäftsvorgänge;3;Get to know George Pro.txt;13208-13501;0.5437808161999704;1;;;
11;George Benachrichtigungen aktivieren;1;Credit Card Notifications from George.txt;1276-1575;0.6448209866498484;1;1;1.0;1.0
11;George Benachrichtigungen aktivieren;2;Credit Card Notifications from George.txt;1388-1685;0.6260210410600763;1;;;
11;George Benachrichtigungen aktivieren;3;How and Where You Receive Notifications.txt;1197-1496;0.6198028586916833;1;;;
12;Push-Benachrichtigungen Themenauswahl;1;How and Where You Receive Notifications.txt;1346-1637;0.5857092808460493;1;1;1.0;1.0
12;Push-Benachrichtigungen Themenauswahl;2;Credit Card Notifications from George.txt;2380-2679;0.5463775641741666;1;;;
12;Push-Benachrichtigungen Themenauswahl;3;How and Where You Receive Notifications.txt;1197-1496;0.5356059938864104;1;;;
13;George Konto Transaktionsbenachrichtigungen;1;How and Where You Receive Notifications.txt;2976-3274;0.6557944063533968;1;1;1.0;1.0
13;George Konto Transaktionsbenachrichtigungen;2;Credit Card Notifications from George.txt;3257-3555;0.5980050359547342;1;;;
13;George Konto Transaktionsbenachrichtigungen;3;How and Where You Receive Notifications.txt;1790-2079;0.6099395612497182;1;;;
14;Benachrichtigungen in Systemeinstellungen aktivieren;1;Credit Card Notifications from George.txt;2861-3159;0.5624031588955982;1;1;1.0;1.0
14;Benachrichtigungen in Systemeinstellungen aktivieren;2;How and Where You Receive Notifications.txt;2624-2923;0.5564117752885835;1;;;
14;Benachrichtigungen in Systemeinstellungen aktivieren;3;How and Where You Receive Notifications.txt;1611-1884;0.5602638914904066;1;;;
15;Benachrichtigung bei Währungsumrechnung George;1;How and Where You Receive Notifications.txt;2091-2389;0.6664303940704865;1;1;1.0;1.0
15;Benachrichtigung bei Währungsumrechnung George;2;How and Where You Receive Notifications.txt;3264-3555;0.664716350446027;1;;;
15;Benachrichtigung bei Währungsumrechnung George;3;How and Where You Receive Notifications.txt;3170-3462;0.6464736729352767;1;;;
16;Wie aktiviere ich Benachrichtigungen in George?;1;Credit Card Notifications from George.txt;1388-1685;0.6098791377171349;1;1;1.0;1.0
16;Wie aktiviere ich Benachrichtigungen in George?;2;Credit Card Notifications from George.txt;2861-3159;0.5874603145594601;1;;;
16;Wie aktiviere ich Benachrichtigungen in George?;3;Credit Card Notifications from George.txt;1276-1575;0.6106166520318228;1;;;
17;Benachrichtigungen über George einstellen;1;Credit Card Notifications from George.txt;4648-4946;0.5501022024286615;1;1;1.0;1.0
17;Benachrichtigungen über George einstellen;2;How and Where You Receive Notifications.txt;554-850;0.5769925850530819;1;;;
17;Benachrichtigungen über George einstellen;3;Credit Card Notifications from George.txt;1388-1685;0.5448890202077836;1;;;
18;Für welche Themen kann man Benachrichtigungen in George erhalten?;1;General Bank Messages.txt;1617-1915;0.6189266395778934;1;1;1.0;1.0
18;Für welche Themen kann man Benachrichtigungen in George erhalten?;2;General Bank Messages.txt;1716-2007;0.5965897806315608;1;;;
18;Für welche Themen kann man Benachrichtigungen in George erhalten?;3;General Bank Messages.txt;1808-2106;0.5841028920982618;1;;;
19;Benachrichtigungsthemen bei George bearbeiten;1;Credit Card Notifications from George.txt;2861-3159;0.5808889639371306;1;1;1.0;1.0
19;Benachrichtigungsthemen bei George bearbeiten;2;How and Where You Receive Notifications.txt;1346-1637;0.6042915193718701;1;;;
19;Benachrichtigungsthemen bei George bearbeiten;3;How and Where You Receive Notifications.txt;1197-1496;0.5957090958709012;1;;;
20;Wie informiert George über Kontobewegungen?;1;Credit Card Notifications from George.txt;3257-3555;0.5772046096169915;1;1;1.0;1.0
20;Wie informiert George über Kontobewegungen?;2;How and Where You Receive Notifications.txt;1790-2079;0.5877954001475647;1;;;
20;Wie informiert George über Kontobewegungen?;3;Account Settings.txt;2933-3230;0.5961050810193467;1;;;
21;George Push bei Transaktionen;1;How and Where You Receive Notifications.txt;1439-1732;0.5705618759982173;1;1;1.0;1.0
21;George Push bei Transaktionen;2;How and Where You Receive Notifications.txt;1197-1496;0.5542581891013674;1;;;
21;George Push bei Transaktionen;3;How and Where You Receive Notifications.txt;1346-1637;0.5223643120529983;1;;;
22;Systemeinstellungen für Benachrichtigungen aktivieren;1;Credit Card Notifications from George.txt;2861-3159;0.5523597443449701;1;1;1.0;1.0
22;Systemeinstellungen für Benachrichtigungen aktivieren;2;How and Where You Receive Notifications.txt;2624-2923;0.5403761882184928;1;;;
22;Systemeinstellungen für Benachrichtigungen aktivieren;3;How and Where You Receive Notifications.txt;1611-1884;0.5485895592768388;1;;;
23;George Benachrichtigungen im Handy aktivieren;1;Credit Card Notifications from George.txt;4648-4946;0.6280239542942545;1;1;1.0;1.0
23;George Benachrichtigungen im Handy aktivieren;2;Credit Card Notifications from George.txt;1388-1685;0.6247672807559799;1;;;
23;George Benachrichtigungen im Handy aktivieren;3;Credit Card Notifications from George.txt;2861-3159;0.6055698818126538;1;;;
24;George Benachrichtigung bei Kartenzahlung mit Fremdwährung;1;How and Where You Receive Notifications.txt;3264-3555;0.6663205468062949;1;1;1.0;1.0
