Query ID;Query;Retrieved Passage ID;Document Title;Position;Cosine Similarity;Relevance Score;Hits@3;MRR@3;Precision@3
1;Wie aktiviert man George kPro;1;Get to know George Pro.txt;3230-3510;0.8376616393802786;1;1;1.0;1.0
1;Wie aktiviert man George kPro;2;Get to know George Pro.txt;2869-3147;0.8250331753637019;1;;;
1;Wie aktiviert man George kPro;3;Get to know George Pro.txt;1965-2247;0.8221966333161506;1;;;
2;Welch Funktionen bietet das Rechnungs-Management in George Pro;1;Get to know George Pro.txt;6840-7128;0.8748684588436565;1;1;1.0;1.0
2;Welch Funktionen bietet das Rechnungs-Management in George Pro;2;Get to know George Pro.txt;1101-1397;0.8702371906945434;1;;;
2;Welch Funktionen bietet das Rechnungs-Management in George Pro;3;Get to know George Pro.txt;704-992;0.8663106437243137;1;;;
3;Was beinhaltet die Cashflow-Prognose bei Geoge Pro ?;1;Get to know George Pro.txt;10329-10624;0.8658027564151449;1;1;1.0;1.0
3;Was beinhaltet die Cashflow-Prognose bei Geoge Pro ?;2;Get to know George Pro.txt;10672-10952;0.8583052686671904;1;;;
3;Was beinhaltet die Cashflow-Prognose bei Geoge Pro ?;3;Get to know George Pro.txt;704-992;0.8561937275649782;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen ?;1;Account Statements.txt;4300-4594;0.8127587901398658;1;1;1.0;1.0
4;Wie funktioniert der Export von Transaktionen und Rechnungen ?;2;Export Your Search Results.txt;165-441;0.8026684463472451;1;;;
4;Wie funktioniert der Export von Transaktionen und Rechnungen ?;3;Account Settings.txt;1969-2227;0.7999792757153689;1;;;
5;oWfür können Labels und Geschäftskontakte in George Pro genutzt werden ?;1;Get to know George Pro.txt;5524-5796;0.8511241092763582;1;1;1.0;1.0
5;oWfür können Labels und Geschäftskontakte in George Pro genutzt werden ?;2;Get to know George Pro.txt;13585-13876;0.8407372901495935;1;;;
5;oWfür können Labels und Geschäftskontakte in George Pro genutzt werden ?;3;Get to know George Pro.txt;704-992;0.8390743666771027;1;;;
6;Aktivierung von George Pro Schrit-für-Schritt;1;Get to know George Pro.txt;890-1155;0.8560823005365173;1;1;1.0;1.0
6;Aktivierung von George Pro Schrit-für-Schritt;2;Get to know George Pro.txt;1965-2247;0.8539376270768508;1;;;
6;Aktivierung von George Pro Schrit-für-Schritt;3;Get to know George Pro.txt;3230-3510;0.8538319304449609;1;;;
7;Automatisccher Rechnungsabgleich mit George Pro;1;Get to know George Pro.txt;1101-1397;0.8790952166722912;1;1;1.0;1.0
