Query ID;Query;Retrieved Passage ID;Document Title;Position;Cosine Similarity;Relevance Score;Hits@3;MRR@3;Precision@3
1;Wi aktiviert man Gorege Pro ?;1;Get to know George Pro.txt;1965-2247;0.8490673040324092;1;1;1.0;1.0
1;Wi aktiviert man Gorege Pro ?;2;Get to know George Pro.txt;3230-3510;0.8389459033354947;1;;;
1;Wi aktiviert man Gorege Pro ?;3;Get to know George Pro.txt;2062-2354;0.8379901965971557;1;;;
2;Welche Funktionen bietet das Rechnuns-Management in Gesorge Pro ?;1;Get to know George Pro.txt;6840-7128;0.8358364296984362;1;1;1.0;1.0
2;Welche Funktionen bietet das Rechnuns-Management in Gesorge Pro ?;2;Get to know George Pro.txt;6669-6948;0.8290858911718828;1;;;
2;Welche Funktionen bietet das Rechnuns-Management in Gesorge Pro ?;3;Get to know George Pro.txt;704-992;0.8245091451791497;1;;;
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro;1;Get to know George Pro.txt;10329-10624;0.8598905248208686;1;1;1.0;1.0
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro;2;Get to know George Pro.txt;704-992;0.8590897467866101;1;;;
3;WasbeinhaltetdieCashflow-PrognosebeiGeorgePro;3;Get to know George Pro.txt;5406-5693;0.8588770318249572;1;;;
4;WiefunktioniertderExportvonTransaktionenundRechnungen ?;1;Account Statements.txt;4300-4594;0.805263203931778;1;1;1.0;1.0
4;WiefunktioniertderExportvonTransaktionenundRechnungen ?;2;Account Settings.txt;1969-2227;0.7958835015233653;1;;;
4;WiefunktioniertderExportvonTransaktionenundRechnungen ?;3;Get to know George Pro.txt;1101-1397;0.7935373703840068;1;;;
5;nWofür können Labels und Geschäftskontakte in George Pro genutzt werden ?;1;Get to know George Pro.txt;5524-5796;0.8508174868697939;1;1;1.0;1.0
5;nWofür können Labels und Geschäftskontakte in George Pro genutzt werden ?;2;Get to know George Pro.txt;704-992;0.8435670226523235;1;;;
5;nWofür können Labels und Geschäftskontakte in George Pro genutzt werden ?;3;Get to know George Pro.txt;13585-13876;0.8412244942430132;1;;;
6;Aktivieurng von George Pro Schritt-für-Schritt;1;Get to know George Pro.txt;890-1155;0.8486651477008227;1;1;1.0;1.0
6;Aktivieurng von George Pro Schritt-für-Schritt;2;Get to know George Pro.txt;14371-14601;0.8451480025823161;1;;;
6;Aktivieurng von George Pro Schritt-für-Schritt;3;Get to know George Pro.txt;798-1075;0.8450789340651733;1;;;
7;Automatischer Rechnungsabgleich mit George Pro;1;Get to know George Pro.txt;1101-1397;0.8868103150823824;1;1;1.0;1.0
7;Automatischer Rechnungsabgleich mit George Pro;2;Get to know George Pro.txt;7796-8070;0.8795504806988862;1;;;
7;Automatischer Rechnungsabgleich mit George Pro;3;Get to know George Pro.txt;7038-7315;0.8751290049370289;1;;;
8;Liquditätsprognose in Georhge Pro Funktionen;1;Get to know George Pro.txt;10579-10850;0.8409495404870457;1;1;1.0;1.0
8;Liquditätsprognose in Georhge Pro Funktionen;2;Get to know George Pro.txt;10329-10624;0.8408207081507436;1;;;
8;Liquditätsprognose in Georhge Pro Funktionen;3;Get to know George Pro.txt;704-992;0.8402326548049293;1;;;
